source_id,ra,dec,redshift,z_bin,class,y_true
083602.06+520824.7,129.008614,52.140204,0.232000,z_0.0-0.3,normal_agn,0
075425.30+343255.8,118.605448,34.548838,0.203316,z_0.0-0.3,normal_agn,0
081542.53+063522.9,123.927224,6.589702,0.243749,z_0.0-0.3,normal_agn,0
084302.49+185612.4,130.760406,18.936784,0.274264,z_0.0-0.3,normal_agn,0
075613.68+391513.4,119.057008,39.253743,0.298793,z_0.0-0.3,normal_agn,0
083237.43+365613.9,128.155994,36.937219,0.266589,z_0.0-0.3,normal_agn,0
084509.29+430226.9,131.288738,43.040820,0.240784,z_0.0-0.3,normal_agn,0
083844.13+541831.9,129.683901,54.308879,0.219000,z_0.0-0.3,normal_agn,0
083923.84+474517.4,129.849347,47.754834,0.081780,z_0.0-0.3,normal_agn,0
080939.35+554506.9,122.413974,55.751940,0.220000,z_0.0-0.3,normal_agn,0
075709.45+185237.9,119.289399,18.877201,0.250529,z_0.0-0.3,normal_agn,0
080956.64+201823.3,122.486022,20.306491,0.297000,z_0.0-0.3,normal_agn,0
075001.55+442845.1,117.506489,44.479202,0.232000,z_0.0-0.3,normal_agn,0
082432.99+514123.3,126.137482,51.689811,0.111000,z_0.0-0.3,normal_agn,0
083353.88+422401.8,128.474500,42.400519,0.249153,z_0.0-0.3,normal_agn,0
083924.60+575230.0,129.852526,57.875006,0.187000,z_0.0-0.3,normal_agn,0
082421.76+542431.0,126.090685,54.408616,0.106234,z_0.0-0.3,normal_agn,0
083753.88+193900.2,129.474513,19.650069,0.242535,z_0.0-0.3,normal_agn,0
080544.73+545349.2,121.436380,54.897021,0.256817,z_0.0-0.3,normal_agn,0
075525.15+492227.0,118.854816,49.374168,0.270152,z_0.0-0.3,normal_agn,0
083443.80+382632.7,128.682517,38.442436,0.288000,z_0.0-0.3,normal_agn,0
084313.41+535718.8,130.805893,53.955242,0.217559,z_0.0-0.3,normal_agn,0
081652.24+425829.3,124.217688,42.974833,0.234476,z_0.0-0.3,normal_agn,0
082127.13+280057.6,125.363069,28.016004,0.221947,z_0.0-0.3,normal_agn,0
083307.86+501000.3,128.282768,50.166770,0.053000,z_0.0-0.3,normal_agn,0
075401.44+262908.8,118.506000,26.485797,0.198080,z_0.0-0.3,normal_agn,0
081904.02+300058.0,124.766768,30.016130,0.254000,z_0.0-0.3,normal_agn,0
081116.70+320935.4,122.819620,32.159838,0.153691,z_0.0-0.3,normal_agn,0
081437.86+433353.6,123.657785,43.564904,0.291450,z_0.0-0.3,normal_agn,0
080411.19+431640.6,121.046660,43.277971,0.132000,z_0.0-0.3,normal_agn,0
074845.39+174836.9,117.189128,17.810267,0.249373,z_0.0-0.3,normal_agn,0
083410.60+353905.5,128.544201,35.651552,0.136061,z_0.0-0.3,normal_agn,0
084411.31+525211.4,131.047160,52.869834,0.239000,z_0.0-0.3,normal_agn,0
080322.48+433307.0,120.843685,43.551966,0.275558,z_0.0-0.3,normal_agn,0
081020.12+073414.6,122.583834,7.570736,0.240043,z_0.0-0.3,normal_agn,0
081808.76+204910.1,124.536536,20.819486,0.235000,z_0.0-0.3,normal_agn,0
080131.96+473616.0,120.383181,47.604463,0.157022,z_0.0-0.3,normal_agn,0
083424.48+572224.1,128.602038,57.373377,0.297000,z_0.0-0.3,normal_agn,0
083453.39+384708.5,128.722481,38.785718,0.184423,z_0.0-0.3,normal_agn,0
