source_id,ra,dec,redshift,bztype,label_source,class,y_true
PKS 2155-304,329.717000,-30.226000,0.116000,BZB,Chadwick+1999,blazar,0
1ES 1959+650,300.001000,65.149000,0.048000,BZB,Nishiyama+1999,blazar,0
1ES 2344+514,356.770000,51.705000,0.044000,BZB,Catanese+1998,blazar,0
W Com,185.382000,28.233000,0.102000,BZB,Neshpor+1998,blazar,0
S5 0716+714,110.473000,71.343000,0.310000,BZB,Nilsson+2008,blazar,0
ON 325,187.557000,39.022000,0.130000,BZB,Rec+1976,blazar,0
1ES 0229+200,38.203000,20.288000,0.140000,BZB,Aharonian+2007,blazar,0
1ES 0347-121,57.348000,-11.991000,0.188000,BZB,Aharonian+2007,blazar,0
RGB J0710+591,107.625000,59.134000,0.125000,BZB,Acciari+2010,blazar,0
1ES 1218+304,185.341000,30.177000,0.182000,BZB,Albert+2006,blazar,0
PKS 1424+240,216.752000,23.800000,0.604000,BZB,Acciari+2010,blazar,0
1ES 1727+502,262.076000,50.220000,0.055000,BZB,Falomo+1994,blazar,0
1ES 1741+196,265.990000,19.588000,0.084000,BZB,Falomo+1994,blazar,0
S4 0954+658,149.704000,65.566000,0.367000,BZB,Mukherjee+1999,blazar,0
PKS 1510-089,228.211000,-9.100000,0.360000,BZQ,Blandford+1978,blazar,0
CTA 102,338.152000,11.731000,1.037000,BZQ,Osterbrock+1977,blazar,0
3C 454.3,343.491000,16.148000,0.859000,BZQ,Hartman+1999,blazar,0
4C 21.35,186.227000,21.379000,0.435000,BZQ,Fermi-LAT+2009,blazar,0
PKS 0454-234,74.270000,-23.415000,1.003000,BZQ,Pian+2005,blazar,0
PKS 0235+164,39.662000,16.616000,0.940000,BZQ,Stickel+1988,blazar,0
B2 1308+326,197.620000,32.346000,0.997000,BZQ,Blandford+1978,blazar,0
NRAO 530,220.169000,-13.079000,0.902000,BZQ,Zhou+1979,blazar,0
TXS 0506+056,77.358000,5.693000,0.336000,BZQ,IceCube+2018,blazar,0
PKS 0537-286,84.711000,-28.670000,3.100000,BZQ,Wright+1978,blazar,0
PKS 0727-11,112.580000,-11.698000,1.591000,BZQ,Stickel+1989,blazar,0
PKS 1502+106,226.104000,10.494000,1.839000,BZQ,Abdo+2010,blazar,0
3C 345,250.446000,39.810000,0.593000,BZQ,Blandford+1978,blazar,0
NRAO 190,57.288000,30.350000,0.629000,BZQ,Condon+1977,blazar,0
PKS 2052-474,313.960000,-47.225000,1.491000,BZQ,Wall+1975,blazar,0
PKS 2142-758,326.560000,-75.618000,1.139000,BZQ,Wright+1996,blazar,0
CGRaBS J0239+0416,39.900000,4.272000,1.115000,BZQ,Healey+2008,blazar,0
PKS 0537-441,84.710000,-44.086000,0.894000,BZQ,Remillard+1991,blazar,0
