source_id,ra,dec,redshift,transition_type,reference,evidence_tier,skipped,skip_reason,n_clean_epochs,n_season_bins_w1,n_season_bins_w2,n_season_bins_total,coverage_pass
SDSS J015957.64+003310.5,29.990000,0.553000,0.312000,turn_off,MacLeod+2019,1,False,,171,22,5,27,True
SDSS J022556.07+003026.7,36.484000,0.507000,0.504000,turn_on,MacLeod+2019,1,False,,223,22,21,43,True
SDSS J100220.17+450927.3,150.584000,45.158000,0.179000,turn_off,MacLeod+2019,1,False,,286,21,21,42,True
SDSS J102152.34+464515.6,155.468000,46.754000,0.204000,turn_on,MacLeod+2019,1,True,already_in_benchmark,0,0,0,0,False
SDSS J141324.27+530527.0,213.351000,53.091000,0.457000,turn_off,MacLeod+2019,1,True,already_in_benchmark,0,0,0,0,False
SDSS J233602.98+001728.7,354.012000,0.291000,0.243000,turn_on,MacLeod+2019,1,True,already_in_benchmark,0,0,0,0,False
SDSS J012648.08-083948.0,21.700000,-8.663000,0.192000,turn_off,MacLeod+2019,1,False,,193,22,21,43,True
SDSS J075958.27+382422.4,119.993000,38.406000,0.236000,turn_on,MacLeod+2019,1,False,,2,0,0,0,False
SDSS J094929.75+195559.0,147.374000,19.933000,0.274000,turn_off,MacLeod+2019,1,False,,1,0,0,0,False
SDSS J124634.65+023809.0,191.644000,2.636000,0.374000,turn_on,MacLeod+2019,1,False,,212,22,22,44,True
SDSS J155440.25+362952.0,238.668000,36.498000,0.194000,turn_off,MacLeod+2019,1,False,,368,22,22,44,True
SDSS J161341.06+343237.9,243.421000,34.544000,0.224000,turn_on,MacLeod+2019,1,False,,2,0,0,0,False
SDSS J214613.30+000930.0,326.556000,0.158000,0.165000,turn_off,MacLeod+2019,1,False,,133,21,16,37,True
Mrk 1018,32.100000,-0.293000,0.042000,turn_off,"Cohen+1986,McElroy+2016",1,False,,1,0,0,0,False
Mrk 590,33.640000,-0.767000,0.026000,turn_off,Denney+2014,1,False,,211,22,22,44,True
NGC 1566,65.002000,-54.938000,0.005000,turn_on,Oknyansky+2019,1,True,already_in_benchmark,0,0,0,0,False
NGC 2617,129.568000,35.818000,0.014000,turn_on,Shappee+2014,1,False,,3,0,0,0,False
NGC 3516,166.698000,72.568000,0.009000,unknown,Shapovalova+2019,1,True,already_in_benchmark,0,0,0,0,False
NGC 4151,182.636000,39.406000,0.003000,turn_on,Shapovalova+2010,1,False,,268,21,21,42,True
NGC 7603,349.722000,0.244000,0.030000,turn_on,Kollatschny+2000,1,False,,11,0,0,0,False
Mrk 1048,37.490000,-0.035000,0.043000,turn_off,Hutsemakers+2019,1,False,,3,0,0,0,False
1ES 1927+654,292.030000,65.565000,0.019000,turn_on,Trakhtenbrot+2019,1,False,,7,1,0,1,False
NGC 1365,53.402000,-36.140000,0.005000,unknown,Rivers+2015,1,False,,218,22,22,44,True
Fairall 9,20.940000,-58.806000,0.047000,turn_off,Lohfink+2014,1,True,already_in_benchmark,0,0,0,0,False
NGC 4395,186.454000,33.547000,0.001000,turn_on,Lira+1999,1,False,,256,22,22,44,True
SDSS J022710.97-080332.0,36.796000,-8.059000,0.289000,turn_off,Sheng+2020,1,False,,0,0,0,0,False
SDSS J080101.41+184840.7,120.256000,18.811000,0.256000,turn_on,Sheng+2020,1,False,,224,21,21,42,True
SDSS J082323.42+042048.1,125.848000,4.347000,0.381000,turn_off,Sheng+2020,1,False,,0,0,0,0,False
SDSS J091709.56+463821.0,139.290000,46.639000,0.264000,turn_on,Sheng+2020,1,False,,0,0,0,0,False
SDSS J100428.43+321847.8,151.118000,32.313000,0.411000,turn_off,Sheng+2020,1,False,,1,0,0,0,False
SDSS J105053.69+525348.4,162.724000,52.897000,0.307000,turn_on,Sheng+2020,1,False,,4,0,0,0,False
SDSS J112358.96+401948.7,170.996000,40.330000,0.197000,turn_off,Sheng+2020,1,False,,1,0,0,0,False
SDSS J115855.80+141402.0,179.732000,14.234000,0.473000,turn_on,Sheng+2020,1,False,,3,0,0,0,False
SDSS J132753.78+565631.4,201.974000,56.942000,0.288000,turn_off,Sheng+2020,1,False,,2,0,0,0,False
SDSS J142536.79+344542.5,216.403000,34.762000,0.359000,turn_on,Sheng+2020,1,False,,4,0,0,0,False
SDSS J150405.78+261305.3,226.024000,26.218000,0.402000,turn_off,Sheng+2020,1,False,,1,0,0,0,False
SDSS J155852.29+103530.3,239.718000,10.592000,0.337000,turn_on,Sheng+2020,1,False,,2,0,0,0,False
SDSS J163350.55+373411.8,248.461000,37.570000,0.271000,turn_off,Sheng+2020,1,False,,3,0,0,0,False
SDSS J165732.15+281106.0,254.384000,28.185000,0.318000,turn_on,Sheng+2020,1,False,,0,0,0,0,False
SDSS J002311.06+003517.5,5.796000,0.588000,0.422000,turn_off,Hon+2022,2,False,,160,22,22,44,True
SDSS J012217.73+052545.4,20.574000,5.429000,0.348000,turn_on,Hon+2022,2,False,,1,0,0,0,False
SDSS J021225.23+010056.5,33.105000,1.016000,0.534000,turn_off,Hon+2022,2,False,,0,0,0,0,False
SDSS J032315.71+411250.0,50.815000,41.214000,0.278000,turn_on,Hon+2022,2,False,,1,0,0,0,False
SDSS J073203.00+435617.4,113.013000,43.938000,0.196000,turn_off,Hon+2022,2,False,,0,0,0,0,False
SDSS J080957.97+181804.3,122.492000,18.301000,0.347000,turn_on,Hon+2022,2,False,,0,0,0,0,False
SDSS J085039.94+241338.5,132.666000,24.227000,0.509000,turn_off,Hon+2022,2,False,,1,0,0,0,False
SDSS J090040.91+245719.2,135.170000,24.955000,0.411000,turn_on,Hon+2022,2,False,,1,0,0,0,False
SDSS J091227.11+065258.5,138.113000,6.883000,0.355000,turn_off,Hon+2022,2,False,,3,0,0,0,False
SDSS J101220.49+632806.3,153.085000,63.468000,0.284000,turn_on,Hon+2022,2,False,,1,0,0,0,False
SDSS J111322.76+212912.3,168.345000,21.487000,0.468000,turn_off,Hon+2022,2,False,,1,0,0,0,False
SDSS J113851.36+405245.7,174.714000,40.879000,0.323000,turn_on,Hon+2022,2,False,,1,0,0,0,False
SDSS J121230.95+295849.2,183.129000,29.980000,0.391000,turn_off,Hon+2022,2,False,,2,0,0,0,False
SDSS J125343.60+122721.6,193.432000,12.456000,0.267000,turn_on,Hon+2022,2,False,,254,22,22,44,True
SDSS J134246.25+284027.4,205.693000,28.674000,0.444000,turn_off,Hon+2022,2,False,,229,22,21,43,True
SDSS J143030.22+353808.4,217.626000,35.636000,0.315000,turn_on,Hon+2022,2,False,,12,0,0,0,False
SDSS J151610.02+404333.3,229.042000,40.726000,0.487000,turn_off,Hon+2022,2,False,,2,0,0,0,False
SDSS J155419.60+391048.9,238.582000,39.180000,0.298000,turn_on,Hon+2022,2,False,,4,1,0,1,False
SDSS J163049.96+281736.7,247.708000,28.293000,0.362000,turn_off,Hon+2022,2,False,,4,0,0,0,False
SDSS J171223.13+320757.5,258.096000,32.133000,0.419000,turn_on,Hon+2022,2,False,,1,1,1,2,False
SDSS J015716.82+010853.7,29.320000,1.148000,0.083000,turn_on,Frederick+2019,1,False,,0,0,0,0,False
SDSS J101152.98+544206.4,152.971000,54.702000,0.076000,turn_off,Frederick+2019,1,False,,258,21,18,39,True
SDSS J120556.03+120900.5,181.483000,12.150000,0.059000,turn_on,Frederick+2019,1,False,,0,0,0,0,False
SDSS J123359.12+084211.5,188.496000,8.703000,0.089000,turn_off,Frederick+2019,1,True,already_in_benchmark,0,0,0,0,False
SDSS J160152.77+331807.8,240.470000,33.302000,0.073000,turn_on,Frederick+2019,1,False,,1,0,0,0,False
SDSS J163459.82+204936.4,248.749000,20.827000,0.091000,turn_off,Frederick+2019,1,False,,304,21,21,42,True
SDSS J030639.57+000343.2,46.665000,0.062000,0.292000,turn_off,Green+2022,1,False,,107,21,21,42,True
SDSS J043443.28-042048.3,68.680000,-4.347000,0.468000,turn_on,Green+2022,1,False,,2,0,0,0,False
SDSS J084035.09+562419.4,130.146000,56.405000,0.339000,turn_off,Green+2022,1,False,,9,1,0,1,False
SDSS J104732.68+472532.0,161.886000,47.425000,0.271000,turn_on,Green+2022,1,False,,211,21,21,42,True
SDSS J130621.19+291656.0,196.588000,29.282000,0.388000,turn_off,Green+2022,1,False,,0,0,0,0,False
SDSS J143450.62+033842.5,218.711000,3.645000,0.325000,turn_on,Green+2022,1,False,,125,22,22,44,True
SDSS J160234.29+335931.5,240.643000,33.992000,0.411000,turn_off,Green+2022,1,False,,2,0,0,0,False
SDSS J172031.25+280501.6,260.130000,28.084000,0.359000,turn_on,Green+2022,1,False,,3,0,0,0,False
NGC 5548,214.498000,25.137000,0.017000,turn_on,Mathur+2017,1,False,,253,22,22,44,True
NGC 4051,180.790000,44.531000,0.002000,turn_off,Lamer+2003,1,False,,218,21,21,42,True
NGC 7469,345.815000,8.874000,0.016000,turn_on,Kollatschny+2018,1,False,,172,21,21,42,True
NGC 3783,174.757000,-37.739000,0.010000,turn_off,Mehdipour+2017,1,False,,177,21,21,42,True
NGC 4593,189.914000,-5.344000,0.009000,turn_on,McHardy+2018,1,False,,133,20,20,40,True
Mrk 817,217.272000,58.794000,0.031000,turn_on,Kaastra+2022,1,False,,2,0,0,0,False
Mrk 335,1.580000,20.203000,0.026000,turn_off,Parker+2019,1,False,,0,0,0,0,False
