source_id,ra,dec,redshift,sn_type,label_source,class,y_true
SN 2006jd,100.670000,19.420000,0.019000,IIn,TYPE_IIn_SN,sn,0
SN 2009kn,148.270000,15.130000,0.013000,IIn,TYPE_IIn_SN,sn,0
SN 2010jl,145.725000,9.496000,0.011000,IIn,TYPE_IIn_SN,sn,0
SN 2011ht,45.790000,51.850000,0.004000,IIn,TYPE_IIn_SN,sn,0
SN 2015da,155.020000,60.290000,0.012000,IIn,TYPE_IIn_SN,sn,0
SN 2017hcc,39.590000,-12.340000,0.017000,IIn,TYPE_IIn_SN,sn,0
SN 2018zd,100.200000,53.110000,0.003000,IIn,TYPE_IIn_SN,sn,0
SN 2019uo,36.840000,12.120000,0.048000,IIn,TYPE_IIn_SN,sn,0
SN 2020oi,184.910000,15.820000,0.005000,Ic,TYPE_IIn_SN,sn,0
SN 2020jfo,202.470000,4.480000,0.005000,IIP,TYPE_IIn_SN,sn,0
SN 2021J,67.650000,32.140000,0.005000,IIn,TYPE_IIn_SN,sn,0
SN 2021dbg,25.470000,19.190000,0.012000,IIn,TYPE_IIn_SN,sn,0
SN 2021hpr,177.680000,26.320000,0.009000,Ia,TYPE_IIn_SN,sn,0
SN 2022acko,53.400000,-37.680000,0.001000,IIP,TYPE_IIn_SN,sn,0
SN 2023bee,149.960000,13.820000,0.005000,Ia,TYPE_IIn_SN,sn,0
SN 2023ixf,210.910000,54.310000,0.001000,IIP,TYPE_IIn_SN,sn,0
ASASSN-14li,192.063000,17.774000,0.021000,TDE,ASASSN,sn,0
ASASSN-15lh,339.002000,-61.210000,0.232000,SLSN-I,ASASSN,sn,0
ASASSN-16fp,230.418000,53.980000,0.009000,Ic-BL,ASASSN,sn,0
ASASSN-17jz,233.281000,50.171000,0.060000,IIn,ASASSN,sn,0
ASASSN-18jd,309.440000,-60.080000,0.107000,IIP,ASASSN,sn,0
ASASSN-19aad,346.821000,-15.623000,0.047000,Ia,ASASSN,sn,0
ASASSN-19bt,128.796000,-19.116000,0.009000,IIP,ASASSN,sn,0
ASASSN-20hx,47.013000,-49.782000,0.036000,IIn,ASASSN,sn,0
