source_id,ra,dec,g_mag,var_type,mag_bin,class,y_true,redshift,label_source
368414254472822272,10.202658,38.965749,10.779903,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
371438465500706688,16.711054,40.817126,11.430572,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370502639370147200,15.386168,37.878694,10.225446,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
371416543987702912,17.007076,40.532109,12.392399,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368260258421289856,9.430447,37.911003,10.964201,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368550976167043840,8.863993,38.866913,12.982570,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368458376671504256,9.169560,38.236916,8.888881,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370482504563457664,15.653235,38.073212,10.571890,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
373849213463922688,14.501622,39.520154,11.408302,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
369116395725654016,10.067199,40.448624,12.877451,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368974975338635648,11.549377,40.425339,8.978558,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
371448872205201024,17.253973,40.912800,12.863958,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
369078673030610816,10.936112,40.406931,12.865159,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
373870550860289024,13.656158,39.169263,7.130053,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368081484702315008,12.873441,39.305857,10.955026,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370657120753814272,15.707284,38.779336,12.538151,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
372098447355051136,19.410683,41.434961,11.525595,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
371257144864952576,17.593968,40.695440,12.434101,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
372964484560907520,17.733977,41.326398,11.581397,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
371202238003035136,17.221865,40.124269,11.961844,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
373835052955488000,14.362455,39.124645,12.255976,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
373071132892351872,17.662118,42.175816,12.521556,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368197414459175168,9.840451,37.670805,12.482528,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
371402215976527616,16.066125,40.777453,12.428251,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368200953512217344,9.761087,37.730828,12.474150,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368386770977357184,10.068735,38.536403,11.680117,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368530115510140032,8.965616,38.538296,11.737446,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368646663743573504,10.113149,39.405114,12.848545,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370707698288719488,14.732497,38.115354,12.026966,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368654433339676032,10.134698,39.529877,7.127412,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
372413938472999168,20.163888,41.376546,10.326287,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368019946411305728,11.966202,39.116188,10.261009,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
373808497173928960,14.263997,38.988198,12.524743,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368033759025610368,12.594123,38.866890,7.590666,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368938416577177216,12.401752,40.440123,11.034661,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370983783082813696,15.457857,40.191266,11.859226,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368358419897987968,10.996204,38.606159,10.704298,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370755703139484672,14.923898,38.548114,11.085437,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368008607697116800,12.039607,39.116601,11.231876,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368495618332815360,9.678234,38.581653,9.053063,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370585480699514880,15.926416,38.325142,11.825914,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368080243456187904,13.152142,39.518953,10.859031,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
369050772923100800,10.918691,39.997127,11.979413,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370745360858230528,15.145315,38.614434,11.696129,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
370550644220699776,15.189894,38.357018,10.337386,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
371281029179433472,16.366912,39.881567,11.783671,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368884712306195328,12.264009,39.838231,12.815206,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
368279392499218304,9.793146,38.057167,12.508750,,bright,star,0,,Gaia DR3 varisum (I/358/varisum)
373182187863084928,17.599500,42.718859,14.664399,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
370752129726681344,15.159846,38.665882,15.667418,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368455146856684160,9.054980,38.021166,15.659451,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371476914047746688,16.506194,40.668443,14.232564,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
373815609639748352,14.152486,39.162935,15.941176,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
370697429023108864,16.200916,39.266291,14.698324,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371512167139444096,16.855798,41.075069,14.477583,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
373070656152355200,17.559993,42.159104,15.286400,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
369167492955489280,11.512508,40.673040,15.088916,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
370969833028925952,15.344597,39.825706,13.376656,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368188515287114624,9.668563,37.465233,15.260928,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368795514425311616,11.589719,39.564122,15.992020,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368034308781423104,12.499755,38.858560,15.609853,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368496997018194176,9.743979,38.616005,15.578887,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
369211542140158592,11.500278,41.088954,15.212073,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
373945833048173696,14.651314,39.676264,15.298315,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371051471767406720,17.067895,39.657765,14.030454,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368929792283497216,12.228942,40.267104,14.207749,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371261237970082176,17.518106,40.755867,15.065387,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368602240897172352,10.008942,39.009595,15.056207,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
372018625387403392,20.170460,41.058153,15.864563,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368917491496569728,12.520983,40.096108,15.527885,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
370894035446252928,16.027680,39.491518,14.295909,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
373070381274452096,17.590979,42.133522,14.459259,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
369000813861876864,11.678014,40.582247,14.474353,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
372214789429002624,20.693240,41.320885,14.234111,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
373030180380491008,17.189200,41.648459,14.156666,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368768095354120320,11.667683,39.139180,15.874829,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368247476597952000,9.464447,37.815793,15.967320,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371150462173677696,17.360387,39.945925,15.232358,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
373982632328044160,15.089537,40.143289,15.741799,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368646942916733056,10.102259,39.422822,15.841724,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371283262562278528,16.027918,39.696440,15.528579,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371528415000726784,17.019312,41.499716,14.540495,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368459235665678848,9.161147,38.272002,15.012996,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371507700373294592,16.423667,41.174154,15.823823,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
369156532198759040,11.260927,40.409982,14.916972,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371149534460748544,17.461191,39.911835,14.633872,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368611174428929920,9.686260,39.044729,14.690676,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
370737217600230528,14.778595,38.613087,14.744521,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
373021453007152512,17.708892,41.993490,15.880816,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371527938259529600,17.104620,41.502966,14.861283,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371249345204325888,17.329555,40.514409,13.152687,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368790807141047552,11.275074,39.450825,14.415242,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368698581307479168,9.806485,39.573646,13.528062,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
370760685301526656,14.895676,38.691616,15.872930,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371519073446803328,16.937880,41.296385,14.452326,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
369090630219083520,10.105526,40.112597,14.536700,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
371032883148990592,17.301221,39.421840,15.934982,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
368397594294996224,10.403726,38.821328,14.852296,,mid,star,0,,Gaia DR3 varisum (I/358/varisum)
