#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:56:11 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:56:11	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F274%2Fbzcat5&-out=Name%2CRAJ2000%2CDEJ2000%2Cz%2CType&-out.max=10000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7274
#Name: VII/274
#Title: The Roma BZCAT - 5th edition (Massaro+, 2015)
#INFO	ivoid=ivo://cds.vizier/vii/274	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/274	    IVOID of underlying data collection
#INFO	creator=Massaro E.	    First author or institution
#INFO	cites=bibcode:2015Ap&SS.357...75M	    Article or Data origin sources
#INFO	journal=Ap&S	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/274	    Dataset landing page
#INFO	publication_date=2020-10-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_274_bzcat5:
#Name: VII/274/bzcat5
#Title: The Roma BZCAT - 5th edition
#Column	Name	(A15)	Source name (based on J2000 position), 5BZA JHHMM+DDMM (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
Name	RAJ2000	DEJ2000	z
 	"h:m:s"	"d:m:s"	
---------------	-----------	------------	------
5BZQ J0000-3221	00 00 20.39	-32 21 01.00	 1.275
5BZQ J0001-1551	00 01 05.29	-15 51 06.98	 2.044
5BZQ J0001+1914	00 01 08.62	+19 14 34.18	 3.100
5BZB J0001-0746	00 01 18.00	-07 46 26.68	 0.000
5BZB J0001-0011	00 01 21.48	-00 11 39.91	 0.462
5BZG J0001-1031	00 01 57.25	-10 31 17.29	 0.252
5BZB J0002-0024	00 02 57.16	-00 24 47.08	 0.523
5BZQ J0003+2129	00 03 19.33	+21 29 44.59	 0.450
5BZB J0004-1148	00 04 04.87	-11 48 57.99	 0.000
5BZQ J0004+4615	00 04 16.17	+46 15 18.21	 1.810
5BZQ J0004-4736	00 04 35.64	-47 36 19.51	 0.884
5BZQ J0004+2019	00 04 35.75	+20 19 42.59	 0.677
5BZQ J0005-1648	00 05 17.93	-16 48 04.71	 0.780
5BZQ J0005+0524	00 05 20.21	+05 24 10.90	 1.900
5BZQ J0005+3820	00 05 57.18	+38 20 15.21	 0.229
5BZB J0006-0623	00 06 13.89	-06 23 35.19	 0.347
5BZQ J0006-4245	00 06 19.73	-42 45 18.61	 1.770
5BZG J0006+1051	00 06 20.28	+10 51 51.69	 0.168
5BZQ J0006+2422	00 06 48.78	+24 22 36.51	 1.684
5BZQ J0007-6113	00 07 20.58	-61 13 06.31	 0.857
5BZB J0007+4712	00 07 59.97	+47 12 07.70	 0.280
5BZQ J0008-2339	00 08 00.36	-23 39 17.89	 1.412
5BZB J0008-2339	00 08 35.38	-23 39 27.79	 0.147
5BZQ J0008-4619	00 08 37.54	-46 19 40.80	 1.850
5BZB J0009+0628	00 09 03.91	+06 28 21.39	 0.000
5BZQ J0009+0625	00 09 17.04	+06 25 54.69	 2.694
5BZB J0009+5030	00 09 22.77	+50 30 28.58	 0.000
5BZQ J0010+2047	00 10 28.74	+20 47 50.09	 0.600
