#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:56:38 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:56:38	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F289%2Fdr16q&-out=SDSS%2CRAJ2000%2CDEJ2000%2Cz&-out.max=120000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7289
#Name: VII/289
#Title: SDSS quasar catalog, sixteenth data release (DR16Q) (Lyke+, 2020)
#INFO	ivoid=ivo://cds.vizier/vii/289	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/289	    IVOID of underlying data collection
#INFO	creator=Lyke B.W.	    First author or institution
#INFO	cites=bibcode:2020ApJS..250....8L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/289	    Dataset landing page
#INFO	publication_date=2021-03-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_289_dr16q:
#Name: VII/289/dr16q
#Title: The SDSS quasar-only catalog from DR16 (DR16Q)
#Column	SDSS	(A18)	SDSS-DR16 designation (HHMMSS.ss+DDMMSS.s; J2000) (SDSS_NAME)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-17.53/84.44] Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F11.6)	[-0.0027/7.03]? Best available redshift	[ucd=src.redshift;pos.heliocentric]
SDSS	RAJ2000	DEJ2000	z
 	deg	deg	
------------------	----------	----------	-----------
095122.60+480303.5	147.844178	+48.050983	   2.540000
095122.75+010613.3	147.844815	+01.103696	   1.202700
095122.76+612137.7	147.844861	+61.360494	   1.154014
095122.90+223059.1	147.845434	+22.516435	   2.239000
095122.92+565510.3	147.845532	+56.919548	   1.340613
095122.95+062404.7	147.845631	+06.401317	   2.456000
095123.21+160047.1	147.846725	+16.013089	   0.611100
095123.22+350702.6	147.846775	+35.117392	   2.451513
095123.34+104035.8	147.847253	+10.676612	   3.116000
095123.34+293050.1	147.847271	+29.513925	   2.159000
095123.36+171514.3	147.847346	+17.253996	   2.349000
095123.49+410411.6	147.847886	+41.069910	   1.826385
095123.61+451648.2	147.848416	+45.280058	   1.365181
095123.64+561855.7	147.848517	+56.315493	   1.707142
095123.67+540855.1	147.848643	+54.148646	   0.593414
095123.71+261020.8	147.848833	+26.172472	   2.463000
095123.84+124452.6	147.849357	+12.747969	   2.209000
095123.88+261124.4	147.849507	+26.190127	   0.749000
095123.89+513622.5	147.849554	+51.606262	   1.379132
095123.92+354248.9	147.849696	+35.713592	   0.398791
095124.08+370718.7	147.850337	+37.121874	   1.349535
095124.09+085216.0	147.850405	+08.871132	   3.040000
095124.10+300924.4	147.850432	+30.156790	   1.834563
095124.27+270314.4	147.851132	+27.054020	   1.478991
095201.07+361555.1	148.004496	+36.265333	   1.518221
095124.30+315746.4	147.851283	+31.962902	   1.718517
095124.40+433650.5	147.851689	+43.614044	   0.533000
095124.44+430832.8	147.851856	+43.142462	   2.301000
095124.55+232255.1	147.852316	+23.381998	   2.712000
095124.63+580740.4	147.852643	+58.127895	   0.836000
095124.66+050026.9	147.852762	+05.007500	   2.223000
095124.67+475800.2	147.852800	+47.966727	   2.248000
095124.71+333032.3	147.852997	+33.508994	   1.642788
095124.78+323710.7	147.853281	+32.619659	   1.547000
095125.03+500629.9	147.854300	+50.108313	   1.298000
095125.09+432903.5	147.854554	+43.484308	   2.197000
095125.18+463043.1	147.854923	+46.511986	   1.894000
095125.21+385115.5	147.855059	+38.854332	   1.096360
095125.26+383908.1	147.855287	+38.652260	   1.224581
095125.27+373423.3	147.855294	+37.573141	   0.945674
095125.31+370957.4	147.855484	+37.165971	   1.391030
095125.34+234410.8	147.855591	+23.736356	   0.772000
095125.34+312254.1	147.855591	+31.381714	   1.267953
095125.35+382032.9	147.855665	+38.342493	   1.769424
095125.39+515354.4	147.855793	+51.898458	   2.308000
095125.75+404842.1	147.857330	+40.811708	   1.508062
095125.77+001012.1	147.857393	+00.170035	   0.560000
095125.87+414056.3	147.857828	+41.682328	   1.818805
095125.88+391228.2	147.857849	+39.207848	   2.691000
095125.88+445336.4	147.857848	+44.893456	   2.152163
095125.92+504559.6	147.858000	+50.766559	   1.363254
095126.02+540030.2	147.858428	+54.008397	   2.321000
095126.13+372354.1	147.858912	+37.398375	   2.417000
095126.14+461750.0	147.858927	+46.297245	   1.776400
095126.16+373737.1	147.859000	+37.626992	   0.808866
095126.17+271246.5	147.859048	+27.212919	   0.992839
095126.20-013931.8	147.859169	-01.658840	   3.852000
095126.22+493218.8	147.859266	+49.538558	   1.830000
095126.27+424142.2	147.859462	+42.695064	   1.782000
095126.38+365702.4	147.859940	+36.950677	   1.324793
095126.41+310939.7	147.860048	+31.161047	   2.140123
095126.48+361507.8	147.860347	+36.252175	   3.322000
095126.56+324601.3	147.860677	+32.767050	   1.553436
095126.57+332133.3	147.860728	+33.359276	   1.893169
095126.68+264607.6	147.861205	+26.768804	   1.933945
095126.71+373545.0	147.861293	+37.595848	   2.312617
095149.55+501545.4	147.956490	+50.262628	   1.209000
095126.77+243409.8	147.861559	+24.569400	   0.809000
095126.80+294049.4	147.861671	+29.680396	   1.315683
095126.99+311854.1	147.862478	+31.315028	   2.248128
095127.07+493247.9	147.862813	+49.546640	   1.737000
095127.23+082500.6	147.863477	+08.416851	   2.130000
095127.23+403907.2	147.863481	+40.652006	   2.369000
