#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:55:47 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:55:47	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F290%2Fcatalog&-out=Name%2CRAJ2000%2CDEJ2000%2Cz%2CType%2CRmag&-out.max=200000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7290
#Name: VII/290
#Title: The Million Quasars (Milliquas) catalogue, version 7.2 (Flesch, 2021)
#INFO	ivoid=ivo://cds.vizier/vii/290	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/290	    IVOID of underlying data collection
#INFO	creator=Flesch E.W.	    First author or institution
#INFO	cites=bibcode:2015PASA...32...10F	    Article or Data origin sources
#INFO	journal=PASA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/290	    Dataset landing page
#INFO	publication_date=2024-02-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_290_catalog:
#Name: VII/290/catalog
#Title: The catalogue (v7.2), 30-April-2021
#Column	Name	(A25)	ID from the literature, or J2000 (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F11.7)	Right ascension J2000 (degrees) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination J2000 (degrees) (1)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	? Redshift from the literature or estimated (7)	[ucd=src.redshift]
#Column	Type	(A4)	Classification of object, and associations (3)	[ucd=meta.code.class;src.class]
#Column	Rmag	(F5.2)	? Red optical magnitude (4)	[ucd=phot.mag;em.opt.R]
Name	RAJ2000	DEJ2000	z	Type	Rmag
 	deg	deg	 	 	mag
-------------------------	-----------	-----------	------	----	-----
SDSS J000000.15+353104.2 	000.0006286	+35.5178439	 0.845	Q   	17.93
UVQSJ000000.15-200427.7  	000.0006575	-20.0743440	 0.291	AX  	17.90
WISEA J000000.23-783204.1	000.0010250	-78.5344920	 1.400	q   	20.35
SDSS J000000.33+310325.3 	000.0014146	+31.0570479	 2.035	Q   	19.95
WISEA J000000.33-412934.9	000.0014297	-41.4929974	 2.400	q   	18.51
SDSS J000000.36+274356.2 	000.0015265	+27.7322834	 1.771	Q   	21.75
SDSS J000000.36+070350.8 	000.0015354	+07.0641294	 1.574	Q   	21.87
SDSS J000000.45+174625.4 	000.0018983	+17.7737392	 2.309	Q   	22.07
SDSS J000000.45+092308.2 	000.0019186	+09.3856563	 2.024	Q   	18.58
SDSS J000000.47-002703.9 	000.0019784	-00.4510884	 0.250	A   	20.51
J000000.50-552137.6      	000.0021174	-55.3604489	      	X   	19.57
SDSS J000000.57+055630.8 	000.0023755	+05.9419031	 2.103	Q   	21.34
SDSS J000000.62+311944.3 	000.0025788	+31.3289781	 1.991	Q   	19.38
SDSS J000000.66+145828.8 	000.0027644	+14.9746807	 2.497	Q   	20.89
SDSS J000000.72+305758.5 	000.0030165	+30.9662772	 1.623	Q   	21.04
WISEA J000000.73-135724.8	000.0030791	-13.9569382	 1.800	q   	19.94
SDSS J000000.76+051545.8 	000.0031742	+05.2627357	 1.548	Q   	22.03
LAMOSTJ000000.77+114227.5	000.0032493	+11.7076422	 0.508	Q   	18.26
WISEA J000000.82-211752.5	000.0034588	-21.2979373	 1.100	q   	18.62
J000000.87-575830.0      	000.0036467	-57.9750214	      	X   	19.51
SDSS J000000.90+011653.6 	000.0037807	+01.2815600	 0.251	N   	18.39
SDSS J000000.97+044947.2 	000.0040756	+04.8297891	 1.619	Q   	19.63
SDSS J000001.01+080422.5 	000.0042343	+08.0729440	 0.857	Q   	19.83
SDSS J000001.08+295225.0 	000.0045285	+29.8736184	 1.496	Q   	18.11
SDSS J000001.20+240354.5 	000.0050258	+24.0651626	 1.616	Q   	20.91
WISEA J000001.17+131813.8	000.0050426	+13.3037501	 1.700	q   	19.15
SDSS J000001.23+360541.5 	000.0051415	+36.0948733	 1.616	Q   	21.81
KX 208                   	000.0052954	+07.0246577	 1.227	Q   	18.22
FBQS J00000-0202         	000.0053239	-02.0332551	 1.360	QR  	19.22
SDSS J000001.33+112029.8 	000.0055688	+11.3416119	 0.538	Q   	21.62
2QZ J000001.3-303627     	000.0057075	-30.6074297	 1.143	Q   	18.96
SDSS J000001.37-011930.0 	000.0057181	-01.3250060	 2.328	Q   	20.16
SDSS J000001.41+200044.1 	000.0059063	+20.0122631	 3.090	Q   	20.76
SDSS J000001.47+290007.0 	000.0061322	+29.0019782	 1.580	Q   	19.33
SDSS J000001.47+211636.1 	000.0061470	+21.2767149	 0.935	Q   	20.57
WISEA J000001.51-455454.9	000.0063954	-45.9152943	 2.100	q   	19.68
SDSS J000001.55-003332.6 	000.0064636	-00.5590659	 2.220	Q   	22.65
SDSS J000001.56+203011.5 	000.0065127	+20.5031984	 2.083	Q   	21.24
WISEA J000001.55-390345.7	000.0065242	-39.0627007	 0.900	q   	20.06
J000001.59-251706.8      	000.0066656	-25.2852451	 1.400	X   	20.61
WISEA J000001.62-425734.6	000.0068134	-42.9596377	 0.200	q   	18.17
SDSS J000001.63+303109.6 	000.0068188	+30.5193562	 2.377	Q   	21.83
SDSS J000001.64+003459.4 	000.0068554	+00.5831839	 2.271	Q   	22.46
J000001.67-420429.5      	000.0069916	-42.0748663	      	R   	19.32
J000001.73+003824.6      	000.0072223	+00.6401667	      	X   	22.43
2QZ J000001.7-312226     	000.0072754	-31.3738125	 1.331	Q   	20.21
WISEA J000001.76-040151.6	000.0073424	-04.0309488	 1.300	q   	19.79
SDSS J000001.76-072909.3 	000.0074036	-07.4859053	 2.538	QR  	20.30
WISEA J000001.78-641449.1	000.0074421	-64.2470199	 0.200	q   	19.59
SDSS J000001.81+141150.5 	000.0075871	+14.1973825	 3.711	Q   	20.67
SDSS J000001.85+140128.2 	000.0077255	+14.0245030	 0.480	N   	19.32
WISEA J000001.89-094652.0	000.0078790	-09.7811013	 0.800	qX  	19.30
J000001.89-321314.5      	000.0078889	-32.2206945	      	X   	20.79
J000001.89+443053.8      	000.0078956	+44.5149450	 2.100	X   	19.45
SDSS J000001.93-001427.4 	000.0080613	-00.2409634	 2.163	Q   	19.93
SDSS J000001.95+052108.7 	000.0081458	+05.3524372	 0.404	Q   	19.35
SDSS J000002.05+344043.2 	000.0085631	+34.6786823	 1.576	Q   	21.87
SDSS J000002.06+192417.7 	000.0085957	+19.4048968	 0.847	Q   	21.16
SDSS J000002.09+272708.5 	000.0086882	+27.4523709	 1.360	Q   	20.53
SDSS J000002.15+151516.6 	000.0089611	+15.2546542	 1.710	Q   	21.16
SDSS J000002.19-021947.2 	000.0091250	-02.3297799	 1.966	Q   	21.06
SDSS J000002.20+114148.5 	000.0092103	+11.6968604	 2.559	Q   	20.39
SDSS J000002.27+003739.1 	000.0094881	+00.6275587	 0.248	NX  	18.29
2QZ J000002.2-320129     	000.0095124	-32.0246628	 0.981	K   	20.05
J000002.33-370755.5      	000.0097223	-37.1320834	      	R   	20.47
SDSS J000002.35+220637.9 	000.0098178	+22.1105500	 2.651	Q   	20.39
J000002.36-473427.8      	000.0098334	-47.5743889	      	R   	19.78
SDSS J000002.36+213619.9 	000.0098522	+21.6055558	 2.766	Q   	21.20
WISEA J000002.41-585154.7	000.0099986	-58.8651667	 1.200	q   	18.82
SDSS J000002.46+214939.3 	000.0102961	+21.8275863	 2.105	Q   	20.33
SDSS J000002.50+021818.9 	000.0104307	+02.3052535	 0.788	Q   	21.12
J000002.55-321531.1      	000.0106307	-32.2586630	      	X   	19.57
SDSS J000002.63+281959.4 	000.0109913	+28.3331769	 1.498	Q   	21.10
XMM J00000-2511          	000.0111783	-25.1936023	 1.314	QX  	21.42
2QZ J000002.8-314741     	000.0118750	-31.7948056	 0.351	K   	19.74
WISEA J000002.89+095700.8	000.0120579	+09.9502336	 2.000	q2  	20.00
WISEA J000002.89+032545.2	000.0120672	+03.4292421	 2.100	q   	18.20
SDSS J000002.92+275904.3 	000.0121789	+27.9845430	 1.533	Q   	19.82
MS 23574-3520            	000.0121868	-35.0590578	 0.508	QX  	17.09
WISEA J000002.92-051940.0	000.0121906	-05.3277633	 0.700	q   	17.55
SDSS J000002.95+194934.2 	000.0123075	+19.8261780	 2.356	Q   	21.34
SDSS J000002.97+225645.9 	000.0124326	+22.9461067	 1.759	Q   	21.16
J000003.12-135200.7      	000.0130201	-13.8668803	 1.800	R   	20.42
WISEA J000003.18-641809.7	000.0132138	-64.3027411	 1.400	q   	18.42
SDSS J000003.17+011510.6 	000.0132290	+01.2529672	 2.354	Q   	20.75
