source_id,canonical_id,split
SDSSJ123359.12+084211.5,SDSSJ123359.12+084211.5,dev
SDSSJJ105058.42+241351.18,SDSSJ105058.42+241351.18,dev
SDSSJJ105325.40+302419.34,SDSSJ105325.40+302419.34,test
SDSSJJ082323.88+422048.2,SDSSJ082323.88+422048.2,dev
SDSSJJ114408.90+424357.5,SDSSJ114408.90+424357.5,dev
SDSSJJ230614.18-010024.45,SDSSJ230614.18-010024.45,dev
SDSSJJ080138.67+423354.1,SDSSJ080138.67+423354.1,test
SDSSJ141213.61+021202.1,SDSSJ141213.61+021202.1,dev
SDSSJ153734.06+461358.9,SDSSJ153734.06+461358.9,dev
SDSSJ153612.80+034245.7,SDSSJ153612.80+034245.7,dev
SDSSJJ141324.27+530527.0,SDSSJ141324.27+530527.0,dev
SDSSJJ081425.89+294115.6,SDSSJ081425.89+294115.6,dev
SDSSJJ101322.43+214021.74,SDSSJ101322.43+214021.74,dev
NGC 5273,NGC 5273,dev
SDSSJJ091407.16+243633.08,SDSSJ091407.16+243633.08,dev
SDSSJJ015653.16-004623.28,SDSSJ015653.16-004623.28,dev
SDSSJJ143040.58+364903.90,SDSSJ143040.58+364903.90,dev
SDSSJJ015726.00-000602.15,SDSSJ015726.00-000602.15,dev
SDSSJJ082942.66+415436.8,SDSSJ082942.66+415436.8,test
SDSSJJ005813.68+001409.09,SDSSJ005813.68+001409.09,test
SDSSJJ113706.93+481943.68,SDSSJ113706.93+481943.68,dev
SDSSJJ233602.98+001728.7,SDSSJ233602.98+001728.7,dev
NGC 7603,NGC 7603,dev
NGC 5548,NGC 5548,dev
SDSSJJ093812.27+074340.0,SDSSJ093812.27+074340.0,dev
NGC 7582,NGC 7582,test
NGC 3516,NGC 3516,dev
SDSSJ161711.42+063833.4,SDSSJ161711.42+063833.4,dev
NGC 1566,NGC 1566,dev
SDSSJ161407.07+513354.5,SDSSJ161407.07+513354.5,dev
SDSSJJ020222.00+010557.11,SDSSJ020222.00+010557.11,dev
SDSSJ074511.98+380911.3,SDSSJ074511.98+380911.3,test
SDSSJJ025410.08+034911.9,SDSSJ025410.08+034911.9,test
SDSSJJ222132.41-010928.70,SDSSJ222132.41-010928.70,dev
SDSSJ210200.42+000501.8,SDSSJ210200.42+000501.8,dev
SDSSJ115355.88+112554.2,SDSSJ115355.88+112554.2,dev
SDSSJJ215130.35+003522.26,SDSSJ215130.35+003522.26,dev
SDSSJJ090258.39+252915.15,SDSSJ090258.39+252915.15,dev
HE 1136-2304,HE 1136-2304,dev
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,test
SDSSJ160111.26+474509.6,SDSSJ160111.26+474509.6,test
SDSSJ231742.68+011425.2,SDSSJ231742.68+011425.2,dev
SDSSJJ081319.34+460849.5,SDSSJ081319.34+460849.5,dev
SDSSJJ094443.08+580953.2,SDSSJ094443.08+580953.2,dev
SDSSJJ012256.19-000252.68,SDSSJ012256.19-000252.68,dev
SDSSJJ100256.22+475027.7,SDSSJ100256.22+475027.7,dev
SDSSJJ110501.26+562724.5,SDSSJ110501.26+562724.5,dev
SDSSJJ120442.10+275411.8,SDSSJ120442.10+275411.8,dev
SDSSJJ124946.13+365204.21,SDSSJ124946.13+365204.21,dev
SDSSJJ022930.91-000845.37,SDSSJ022930.91-000845.37,test
1995bc,1995bc,dev
2000em,2000em,test
1994G,1994G,dev
1999ec,1999ec,dev
1999dp,1999dp,dev
1997Q,1997Q,dev
1988ai,1988ai,dev
2000bk,2000bk,dev
2000bt,2000bt,dev
1998dx,1998dx,dev
1999gd,1999gd,dev
1997K,1997K,dev
1999eo,1999eo,dev
1996bn,1996bn,dev
1998az,1998az,test
1999do,1999do,dev
1984L,1984L,dev
1999dz,1999dz,dev
1999H,1999H,dev
1961Q,1961Q,dev
1999dt,1999dt,test
1995I,1995I,test
1997bt,1997bt,dev
1998dm,1998dm,dev
1987B,1987B,dev
1971G,1971G,dev
1994I,1994I,dev
1991D,1991D,dev
2000fu,2000fu,dev
1997bm,1997bm,dev
1986E,1986E,dev
1996ck,1996ck,dev
1998ex,1998ex,dev
1962E,1962E,dev
2000ao,2000ao,dev
1997bx,1997bx,dev
1997ch,1997ch,dev
1998av,1998av,test
1999el,1999el,dev
1990Q,1990Q,dev
1960R,1960R,dev
1989ae,1989ae,dev
2001ai,2001ai,dev
1998ez,1998ez,dev
1997cc,1997cc,dev
1993G,1993G,dev
1997S,1997S,dev
1960P,1960P,dev
1992bk,1992bk,test
1998ao,1998ao,dev
2000dw,2000dw,test
2000O,2000O,dev
2000dn,2000dn,test
1995T,1995T,dev
1999ee,1999ee,test
1979C,1979C,dev
1998ch,1998ch,dev
1999D,1999D,test
1998L,1998L,test
1994M,1994M,dev
1959C,1959C,dev
2001cl,2001cl,dev
1961N,1961N,dev
1999gq,1999gq,test
2001au,2001au,dev
PKS,PKS,dev
Mrk 501,Mrk 501,dev
PG,PG,dev
3C 279,3C 279,dev
3C 66A,3C 66A,dev
IIZw 136,IIZw 136,dev
4C 34.47,4C 34.47,test
TON 153,TON 153,dev
Mrk 421,Mrk 421,dev
4C 29.45,4C 29.45,test
TON 1542,TON 1542,dev
3C 371,3C 371,dev
Mrk 734,Mrk 734,dev
3C 232,3C 232,dev
HS,HS,dev
MR,MR,dev
B2,B2,dev
BL Lac,BL Lac,dev
IIZw 1,IIZw 1,dev
3C 351,3C 351,dev
3C 446,3C 446,dev
NGC 1275,NGC 1275,dev
OJ 287,OJ 287,test
3C 273,3C 273,test
3C 120,3C 120,dev
Mrk 205,Mrk 205,dev
Fairall 9,Fairall 9,dev
3C 345,3C 345,test
TON 490,TON 490,dev
AKN 120,AKN 120,dev
IIIZw 2,IIIZw 2,dev
Mrk 180,Mrk 180,dev
Mrk 1383,Mrk 1383,dev
3C 382.0,3C 382.0,dev
7017568540477440,7017568540477440,test
7866077983944448,7866077983944448,dev
10035624879191040,10035624879191040,dev
11271506013429504,11271506013429504,test
3555442647201408,3555442647201408,test
11918706045404160,11918706045404160,dev
8797952743613440,8797952743613440,dev
6151771852919552,6151771852919552,test
7451665179765376,7451665179765376,test
10010439191442176,10010439191442176,dev
8902505132032384,8902505132032384,dev
10618228603355008,10618228603355008,dev
6513300724650880,6513300724650880,dev
5856445606238336,5856445606238336,dev
9159172377805696,9159172377805696,dev
8322340949965312,8322340949965312,dev
5054111356737024,5054111356737024,dev
3822937505992960,3822937505992960,test
11997565941688192,11997565941688192,dev
7077144031287808,7077144031287808,dev
9921756706043776,9921756706043776,dev
11346758135829376,11346758135829376,dev
12441214586847872,12441214586847872,test
6258695063604736,6258695063604736,dev
7106010507061632,7106010507061632,dev
8314820462535424,8314820462535424,dev
7627655759471360,7627655759471360,dev
9792426651349120,9792426651349120,dev
6940838949258240,6940838949258240,dev
4613348927136384,4613348927136384,dev
8328117681250688,8328117681250688,test
6062299094282624,6062299094282624,test
13107003236999040,13107003236999040,dev
11434886569349888,11434886569349888,dev
4645750160709248,4645750160709248,dev
5920045482070528,5920045482070528,dev
6827348733385856,6827348733385856,dev
8261936529703936,8261936529703936,dev
10762260330928128,10762260330928128,dev
7388752498494208,7388752498494208,dev
8286538102441600,8286538102441600,dev
8781765011889024,8781765011889024,dev
4952372170242944,4952372170242944,dev
6802059965763456,6802059965763456,dev
3646014917806464,3646014917806464,dev
5928944654308352,5928944654308352,dev
5220790446842240,5220790446842240,dev
6766085319816704,6766085319816704,dev
13464726768753024,13464726768753024,dev
8011419677274240,8011419677274240,dev
3310492072379904,3310492072379904,test
5190760035117568,5190760035117568,dev
8155597434951296,8155597434951296,test
12315256082310144,12315256082310144,dev
3532799579575168,3532799579575168,dev
6111399160366080,6111399160366080,dev
7939161147436672,7939161147436672,dev
6993551083342976,6993551083342976,dev
9517651823494656,9517651823494656,test
5313600395193728,5313600395193728,dev
3885330495346688,3885330495346688,dev
6288970288166784,6288970288166784,test
5714814765676928,5714814765676928,dev
8578802037330816,8578802037330816,dev
12428467123880448,12428467123880448,dev
000026.47+021359.2,000026.47+021359.2,dev
000012.59-014216.7,000012.59-014216.7,dev
