source_id,ra,dec,redshift,spectral_state_1,spectral_state_2,epoch_1,epoch_2,class,label_source,label_method,independent_of_pipeline,confidence,g_mag
SDSSJ123359.12+084211.5,188.49637,8.70323,0.2549999952316284,spec_epoch1,spec_epoch2,53474,57539,clagn,2019ApJ...874....8M,spectroscopic,True,gold,18.71500015258789
SDSSJJ105058.42+241351.18,162.74344,24.23087,0.27000001072883606,B,D,54068,58138,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ105325.40+302419.34,163.35585,30.40536,0.24899999797344208,B,D,53463,58141,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ082323.88+422048.2,125.84955,42.346741,0.15153989,spec_epoch1,spec_epoch2,52266,54524,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJJ114408.90+424357.5,176.03712,42.732643,0.27236447,spec_epoch1,spec_epoch2,53062,57732,clagn,2024ApJS..272...13S,spectroscopic,True,gold,3.0
SDSSJJ230614.18-010024.45,346.55909,-1.0068,0.2669999897480011,D,B,51811,58022,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ080138.67+423354.1,120.41114,42.565039,0.77132714,spec_epoch1,spec_epoch2,55178,57073,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJ141213.61+021202.1,213.05675,2.2006,0.29499998688697815,spec_epoch1,spec_epoch2,51993,57818,clagn,2019ApJ...874....8M,spectroscopic,True,gold,18.229000091552734
SDSSJ153734.06+461358.9,234.39195,46.23301,0.3779999911785126,spec_epoch1,spec_epoch2,52781,57819,clagn,2019ApJ...874....8M,spectroscopic,True,gold,19.474000930786133
SDSSJ153612.80+034245.7,234.05335,3.71272,0.36500000953674316,spec_epoch1,spec_epoch2,52026,57835,clagn,2019ApJ...874....8M,spectroscopic,True,gold,18.41699981689453
SDSSJJ141324.27+530527.0,213.35116,53.09084,0.4562511,spec_epoch1,spec_epoch2,52762,58289,clagn,2024ApJS..272...13S,spectroscopic,True,gold,72.0
SDSSJJ081425.89+294115.6,123.60791,29.687681,0.3739141,spec_epoch1,spec_epoch2,52618,58133,clagn,2024ApJS..272...13S,spectroscopic,True,gold,3.0
SDSSJJ101322.43+214021.74,153.3435,21.67271,0.6399999856948853,B,D,56274,57815,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
NGC 5273,205.471,35.65800094604492,0.0038999998942017555,1.9,nan,1984-02-13,2022-08-24,clagn,1995ApJS...98..477H,spectroscopic,True,gold,
SDSSJJ091407.16+243633.08,138.52984,24.60919,0.6809999942779541,B,D,56009,58137,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ015653.16-004623.28,29.22154,-0.77314,0.6150000095367432,B,D,55182,58080,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ143040.58+364903.90,217.6691,36.81775,0.5699999928474426,D,B,53089,58242,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ015726.00-000602.15,29.35835,-0.10057,0.8019999861717224,B,D,55449,58103,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ082942.66+415436.8,127.42778,41.910244,0.12638536,spec_epoch1,spec_epoch2,52266,54524,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJJ005813.68+001409.09,14.55703,0.23586,0.6790000200271606,B,D,57360,58097,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
