source_id,ra,dec,class,label_source,label_method,independent_of_pipeline,notes,mag,redshift
1995bc,147.93124999999998,40.314055555555555,sn,B/sn,Asiago Supernova Catalog,True,,18.5,
2000em,8.87425,-2.657611111111111,sn,B/sn,Asiago Supernova Catalog,True,,18.299999237060547,
1994G,154.86116666666663,50.872055555555555,sn,B/sn,Asiago Supernova Catalog,True,,21.520000457763672,
1999ec,94.06741666666665,-21.36947222222222,sn,B/sn,Asiago Supernova Catalog,True,,17.899999618530273,
1999dp,67.31941666666665,69.5335,sn,B/sn,Asiago Supernova Catalog,True,,18.200000762939453,
1997Q,164.2145,-3.976916666666667,sn,B/sn,Asiago Supernova Catalog,True,,22.010000228881836,
1988ai,1.5905833333333332,-41.48330555555556,sn,B/sn,Asiago Supernova Catalog,True,,16.0,
2000bk,188.47475,-7.378583333333333,sn,B/sn,Asiago Supernova Catalog,True,,16.979999542236328,
2000bt,154.07524999999998,-5.746472222222223,sn,B/sn,Asiago Supernova Catalog,True,,19.600000381469727,
1998dx,272.7995416666666,49.86130555555556,sn,B/sn,Asiago Supernova Catalog,True,,17.709999084472656,
1999gd,129.60254166666664,25.759194444444443,sn,B/sn,Asiago Supernova Catalog,True,,17.020000457763672,
1997K,118.72954166666665,4.317027777777778,sn,B/sn,Asiago Supernova Catalog,True,,23.729999542236328,
1999eo,40.05499999999999,4.914805555555556,sn,B/sn,Asiago Supernova Catalog,True,,19.600000381469727,
1996bn,93.95408333333332,64.42911111111111,sn,B/sn,Asiago Supernova Catalog,True,,18.0,
1998az,164.34074999999999,-3.4230555555555555,sn,B/sn,Asiago Supernova Catalog,True,,22.700000762939453,
1999do,343.3744583333333,31.64525,sn,B/sn,Asiago Supernova Catalog,True,,18.0,
1984L,38.87716666666667,-7.158463888888889,sn,B/sn,Asiago Supernova Catalog,True,,14.0,
1999dz,24.263499999999997,0.03275,sn,B/sn,Asiago Supernova Catalog,True,,23.399999618530273,
1999H,151.76274999999998,-5.924055555555556,sn,B/sn,Asiago Supernova Catalog,True,,20.600000381469727,
1961Q,21.6725,2.0255277777777776,sn,B/sn,Asiago Supernova Catalog,True,,17.200000762939453,
1999dt,11.426208333333332,0.05616666666666667,sn,B/sn,Asiago Supernova Catalog,True,,23.5,
1995I,200.249375,3.5989444444444447,sn,B/sn,Asiago Supernova Catalog,True,,19.5,
1997bt,166.56291666666664,-11.60686111111111,sn,B/sn,Asiago Supernova Catalog,True,,19.5,
1998dm,21.558208333333333,-6.103888888888888,sn,B/sn,Asiago Supernova Catalog,True,,14.699999809265137,
1987B,226.762375,1.503663888888889,sn,B/sn,Asiago Supernova Catalog,True,,14.5,
1971G,183.04999999999998,13.237777777777778,sn,B/sn,Asiago Supernova Catalog,True,,13.899999618530273,
1994I,202.47529999999995,47.191805555555554,sn,B/sn,Asiago Supernova Catalog,True,,12.899999618530273,
1991D,205.30666666666664,-14.646388888888888,sn,B/sn,Asiago Supernova Catalog,True,,16.399999618530273,
2000fu,222.80279166666665,-20.43563888888889,sn,B/sn,Asiago Supernova Catalog,True,,16.5,
1997bm,173.23804166666665,50.245444444444445,sn,B/sn,Asiago Supernova Catalog,True,,18.0,
1986E,185.4217083333333,14.63195,sn,B/sn,Asiago Supernova Catalog,True,,14.199999809265137,
1996ck,192.14662499999997,-0.7675000000000001,sn,B/sn,Asiago Supernova Catalog,True,,23.079999923706055,
1998ex,115.42616666666665,64.73397222222222,sn,B/sn,Asiago Supernova Catalog,True,,18.5,
1962E,168.77304166666664,25.892138888888887,sn,B/sn,Asiago Supernova Catalog,True,,17.100000381469727,
2000ao,209.45749999999995,-0.018,sn,B/sn,Asiago Supernova Catalog,True,,20.399999618530273,
1997bx,186.29916666666662,0.08177777777777778,sn,B/sn,Asiago Supernova Catalog,True,,23.0,
1997ch,189.3705,62.11188888888889,sn,B/sn,Asiago Supernova Catalog,True,,23.5,
1998av,164.03325,-4.189055555555556,sn,B/sn,Asiago Supernova Catalog,True,,23.299999237060547,
1999el,309.3238333333333,66.10319444444444,sn,B/sn,Asiago Supernova Catalog,True,,14.899999618530273,
1990Q,230.38829166666662,-7.374086111111111,sn,B/sn,Asiago Supernova Catalog,True,,16.0,
1960R,186.35354166666664,18.15544444444444,sn,B/sn,Asiago Supernova Catalog,True,,11.600000381469727,
1989ae,33.67095833333333,43.35763888888889,sn,B/sn,Asiago Supernova Catalog,True,,19.0,
2001ai,205.41404166666663,55.668277777777774,sn,B/sn,Asiago Supernova Catalog,True,,17.600000381469727,
