ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
0.1923789,17.0130489,55375.7592936,15.741,0.17,14.945,0.313,80.12,12.575,66.375,19.146,0h00,1.0,111.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.8915974,15.961,0.255,14.554,0.204,65.393,15.37,95.108,17.832,0h00,1.0,107.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.174449,16.149,0.261,15.107,,55.024,13.234,17.726,19.715,0h00,1.0,86.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.3067534,16.217,0.3,15.079,,51.645,14.264,17.572,20.559,0h00,1.0,129.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.4390577,15.496,0.152,15.26,0.443,100.34,14.086,49.661,20.261,0h00,1.0,87.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.5051462,15.751,0.178,15.303,0.407,79.374,12.987,47.714,17.899,0h00,1.0,68.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.5712348,15.656,0.167,15.471,,86.6,13.358,1.315,19.784,0h00,1.0,52.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.5713621,16.242,0.288,15.029,0.336,50.504,13.376,61.452,19.036,0h00,1.0,52.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.6374506,15.832,0.237,14.928,,73.626,16.054,28.187,19.616,0h00,1.0,42.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.7035391,15.852,0.199,14.886,0.305,72.284,13.229,70.052,19.669,0h00,1.0,35.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.7696276,15.834,0.202,15.243,,73.502,13.675,13.408,18.514,0h00,1.0,25.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.769755,15.608,0.159,14.85,0.282,90.527,13.243,72.419,18.807,0h00,1.0,25.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.6269898,16.145,0.259,14.952,0.306,55.226,13.171,65.942,18.607,0h00,1.0,70.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.4946861,15.56,0.147,15.056,0.338,94.619,12.783,59.922,18.664,0h00,1.0,38.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.4285979,15.891,0.193,14.832,0.259,69.745,12.367,73.677,17.558,0h00,1.0,27.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.4284706,15.536,0.167,14.683,0.227,96.717,14.891,84.476,17.634,0h00,1.0,27.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.3623824,16.127,0.262,14.449,0.218,56.125,13.544,104.847,21.025,0h00,1.0,24.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55554.9019321,16.671,0.445,15.25,0.476,34.021,13.941,50.117,21.97,0h00,1.0,23.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.2300781,15.701,0.179,15.367,0.471,83.066,13.688,45.019,19.525,0h00,1.0,35.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.1639899,15.972,0.215,14.977,,64.715,12.837,25.883,19.282,0h00,1.0,42.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55375.0316862,15.652,0.158,15.141,0.383,86.911,12.669,55.426,19.573,0h00,1.0,65.0,0000,1,allwise,,,,,,,,,,,
0.1923789,17.0130489,55374.8993823,15.8,0.187,14.766,,75.834,13.062,26.16,26.047,0h00,1.0,104.0,0000,1,allwise,,,,,,,,,,,
