ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
0.2402869,-8.9380603,55364.7169583,14.322,0.069,12.913,0.06,295.916,18.911,431.387,23.915,0000,1.0,88.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.3784772,14.465,0.073,12.971,0.071,259.323,17.34,408.976,26.591,0000,1.0,-4.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.444566,14.45,0.067,12.903,0.068,263.091,16.333,435.41,27.267,0000,1.0,7.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.5768697,14.369,0.065,12.983,0.069,283.41,16.927,404.529,25.714,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.7091736,14.343,0.069,12.929,0.071,290.149,18.45,424.923,27.674,0000,1.0,86.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.1339856,14.552,0.097,13.009,0.07,239.546,21.477,394.681,25.498,0000,1.0,58.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.26629,14.327,0.065,12.919,0.064,294.679,17.715,429.033,25.107,0000,1.0,99.0,0011,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.3985944,14.496,0.075,,,252.112,17.48,,,0000,1.0,90.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.5307714,14.422,0.072,,,269.924,18.021,,,0000,1.0,48.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.5308988,14.579,0.092,,,233.502,19.705,,,0000,1.0,48.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.5969873,14.504,0.081,,,250.293,18.621,,,0000,1.0,28.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.3122616,14.31,0.065,13.028,0.075,299.334,17.837,388.149,26.784,0000,1.0,-5.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.2461735,14.292,0.062,12.996,0.063,304.308,17.318,399.518,23.216,0000,1.0,5.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.1799579,14.379,0.073,12.954,0.064,280.782,18.808,415.372,24.655,0000,1.0,13.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55365.1138697,14.694,0.092,12.928,0.066,210.053,17.741,425.226,25.817,0000,1.0,22.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55364.981566,14.565,0.078,12.864,0.068,236.655,16.953,451.119,28.156,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55364.8492621,14.381,0.066,13.047,0.08,280.349,17.121,381.393,28.123,0000,1.0,104.0,0000,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55545.6390969,14.428,0.079,13.048,0.09,268.307,19.525,380.894,31.575,0000,1.0,18.0,0011,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55545.5067925,14.482,0.081,,,255.313,19.131,,,0000,1.0,56.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55545.3744881,14.524,0.082,,,245.675,18.604,,,0000,1.0,98.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.6630759,14.419,0.071,,,270.581,17.736,,,0000,1.0,13.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55545.242311,14.428,0.078,,,268.529,19.364,,,0000,1.0,93.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55545.1760952,14.475,0.089,,,257.1,21.133,,,0000,1.0,72.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.7953802,14.402,0.072,,,274.87,18.345,,,0000,1.0,-3.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.7292917,14.823,0.146,,,186.474,25.106,,,0000,1.0,7.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55542.7291644,14.436,0.074,,,266.501,18.106,,,0000,1.0,6.0,0111,1,allwise,,,,,,,,,,,
0.2402869,-8.9380603,55545.3083995,14.409,0.075,,,273.116,18.956,,,0000,1.0,109.0,0111,1,allwise,,,,,,,,,,,
0.2402159,-8.9380342,58823.02840263,,,,,,,,,0000,1.0,10.71500015258789,11,1,neowise,14.401,0.128,12.569,0.177,8.5,6.1,349.88,41.357,676.07,110.46,BB
0.2404057,-8.9377563,60478.1585349,,,,,,,,,0000,1.0,42.50899887084961,00,1,neowise,14.267,0.076,13.359,0.12,14.3,9.0,395.88,27.65,326.42,36.177,AB
0.2400652,-8.9379706,60477.90258578,,,,,,,,,0000,1.0,121.30999755859375,00,1,neowise,14.806,0.123,13.25,0.121,8.8,9.0,241.01,27.326,360.85,40.111,BB
0.2401081,-8.9379702,60478.03056036,,,,,,,,,0000,1.0,81.78900146484375,00,1,neowise,14.595,0.097,13.12,0.115,11.2,9.4,292.76,26.205,406.78,43.263,AB
0.2403919,-8.9381111,60478.47815275,,,,,,,,,0000,0.5,6.734000205993652,00,1,neowise,14.603,0.097,13.551,0.173,11.2,6.3,290.43,26.038,273.59,43.652,AB
0.2403829,-8.9379409,60478.86182159,,,,,,,,,0000,1.0,109.01000213623047,00,1,neowise,14.539,0.139,13.271,0.112,7.8,9.7,308.08,39.327,353.9,36.598,BB
0.2402757,-8.9380464,60478.41422914,,,,,,,,,0000,1.0,5.822999954223633,00,1,neowise,14.505,0.096,13.212,0.165,11.3,6.6,317.81,28.196,373.93,56.832,AB
0.2403386,-8.938008,60478.28638197,,,,,,,,,0000,1.0,21.6299991607666,00,1,neowise,14.482,0.097,13.134,0.111,11.2,9.7,324.86,28.912,401.78,41.257,AB
0.240276,-8.9379953,60478.35030558,,,,,,,,,0000,1.0,13.173999786376953,00,1,neowise,14.455,0.086,13.293,0.116,12.6,9.4,332.85,26.372,346.9,37.025,AB
0.2402075,-8.9379398,60478.22245841,,,,,,,,,0000,1.0,28.676000595092773,00,1,neowise,14.413,0.083,13.258,0.135,13.0,8.0,346.04,26.543,358.12,44.61,AB
0.2403412,-8.9382012,60478.73397436,,,,,,,,,0000,0.5,68.05799865722656,00,1,neowise,14.595,0.104,13.241,0.13,10.4,8.3,292.78,28.049,364.01,43.748,AB
0.240301,-8.938241,60478.6061272,,,,,,,,,0000,0.5,29.768999099731445,00,1,neowise,14.622,0.102,13.213,0.126,10.7,8.6,285.41,26.792,373.55,43.443,AB
0.2401586,-8.938114,57007.67883125,,,,,,,,,0000,1.0,19.768999099731445,00,1,neowise,14.507,0.082,12.91,0.064,13.3,16.9,316.36,23.761,496.47,29.327,AA
0.2402437,-8.9381107,57007.41587774,,,,,,,,,0000,1.0,94.22899627685547,00,1,neowise,14.413,0.064,12.989,0.078,16.9,13.9,344.91,20.433,461.75,33.167,AA
0.2403225,-8.9381161,57006.82439175,,,,,,,,,0000,1.0,0.3919999897480011,00,1,neowise,14.378,0.07,13.002,0.082,15.4,13.2,356.18,23.083,456.07,34.456,AA
0.2403124,-8.9381091,57007.08721784,,,,,,,,,0000,1.0,38.00699996948242,00,1,neowise,14.245,0.057,13.059,0.084,18.9,12.9,402.58,21.314,432.84,33.435,AA
0.2403275,-8.9380648,57007.21875825,,,,,,,,,0000,1.0,80.93299865722656,00,1,neowise,14.33,0.062,12.846,0.078,17.6,14.0,372.17,21.131,526.62,37.74,AA
0.2402568,-8.9381192,57007.15305175,,,,,,,,,0000,1.0,59.80099868774414,00,1,neowise,14.261,0.061,13.16,0.092,17.9,11.8,396.55,22.175,394.45,33.339,AA
