ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
52.9058361,11.4435601,55424.580041,14.959,0.108,13.898,0.134,164.626,16.434,174.168,21.496,0000,1.0,54.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55233.8881334,15.073,0.127,13.797,0.112,148.159,17.349,191.106,19.739,0000,1.0,16.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.7123451,14.889,0.1,13.826,0.146,175.564,16.233,186.113,25.102,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.8446493,14.822,0.097,13.904,0.126,186.761,16.693,173.091,20.102,0000,1.0,119.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.9769533,14.903,0.102,14.115,0.154,173.281,16.319,142.613,20.202,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55425.1092574,14.699,0.096,14.205,0.167,209.07,18.526,131.167,20.169,0000,1.0,45.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55423.9847363,14.884,0.108,13.959,0.145,176.288,17.595,164.572,21.956,0000,1.0,75.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.1170404,14.782,0.093,13.97,0.149,193.643,16.539,162.923,22.412,0000,1.0,43.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.2493445,14.735,0.09,14.066,0.162,202.373,16.803,149.141,22.233,0000,1.0,27.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.3816486,14.96,0.111,13.992,0.155,164.501,16.847,159.672,22.749,0000,1.0,19.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.447737,14.884,0.119,13.744,0.12,176.432,19.386,200.598,22.163,0000,1.0,26.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.5139527,14.916,0.099,13.934,0.141,171.209,15.638,168.408,21.855,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.0204376,14.798,0.087,13.989,0.14,190.911,15.352,160.114,20.714,0000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.1528691,14.797,0.09,13.852,0.12,191.13,15.804,181.691,20.067,0000,1.0,76.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.2189575,15.109,0.113,13.694,0.124,143.322,14.937,210.032,23.93,0000,1.0,97.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.2851733,15.004,0.1,13.912,0.138,157.836,14.509,171.916,21.881,0000,1.0,119.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.3512617,14.818,0.093,13.695,0.107,187.462,16.126,209.878,20.745,0000,1.0,113.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.3513891,14.803,0.088,14.03,0.14,190.031,15.372,154.151,19.874,0000,1.0,113.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.4174775,14.754,0.088,13.793,0.123,198.702,16.029,191.785,21.771,0000,1.0,92.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.4836932,14.701,0.082,13.754,0.109,208.685,15.755,198.805,19.978,0000,1.0,72.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.6159974,15.211,0.122,13.968,0.159,130.507,14.654,163.3,23.906,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.7483016,15.009,0.105,14.022,0.143,157.112,15.247,155.317,20.476,0000,1.0,23.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55234.8806057,15.132,0.123,13.729,0.106,140.326,15.93,203.395,19.787,0000,1.0,15.0,0000,1,allwise,,,,,,,,,,,
52.9058361,11.4435601,55424.6462567,15.018,0.11,13.718,0.107,155.833,15.843,205.516,20.342,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
52.9058321,11.443586,56889.42110355,,,,,,,,,0000,1.0,21.861000061035156,00,1,neowise,14.874,0.106,14.036,0.156,10.3,7.0,226.18,22.059,174.72,25.065,AB
52.9057856,11.4435827,56889.4869373,,,,,,,,,0000,1.0,30.347999572753906,00,1,neowise,14.967,0.11,14.409,0.225,9.9,4.8,207.49,21.061,123.93,25.671,BB
52.9057648,11.4435812,56888.96064919,,,,,,,,,0000,1.0,89.81800079345703,00,1,neowise,15.012,0.113,13.897,0.152,9.6,7.1,199.08,20.741,198.57,27.885,BB
52.9058123,11.4435187,56699.38239661,,,,,,,,,0000,1.0,107.80899810791016,00,1,neowise,14.851,0.103,14.004,0.165,10.6,6.6,233.28,22.059,184.0,27.906,AB
52.9058954,11.4436123,56699.05297309,,,,,,,,,0000,1.0,44.07500076293945,00,1,neowise,14.891,0.095,14.118,0.223,11.4,4.9,224.79,19.688,165.79,33.997,AB
52.9059881,11.4436024,56699.11893421,,,,,,,,,0000,1.0,62.51300048828125,00,1,neowise,15.081,0.116,14.26,0.263,9.4,4.1,188.7,20.174,145.41,35.215,BB
52.9059857,11.4434709,56699.18476792,,,,,,,,,0000,1.0,82.92500305175781,00,1,neowise,14.694,0.089,14.169,0.196,12.2,5.6,269.47,22.062,158.13,28.489,AB
52.9057138,11.4434445,56699.25060172,,,,,,,,,0000,1.0,104.33999633789062,00,1,neowise,15.118,0.121,14.147,0.21,9.0,5.2,182.35,20.321,161.29,31.233,BB
52.9057571,11.4435431,56698.98713933,,,,,,,,,0000,1.0,29.785999298095703,00,1,neowise,15.131,0.116,13.872,0.146,9.4,7.4,180.19,19.218,207.81,27.995,BB
52.9058672,11.4436799,56698.78951069,,,,,,,,,0000,1.0,19.319000244140625,00,1,neowise,15.073,0.137,13.668,0.139,7.9,7.8,190.13,24.006,250.77,32.148,BB
52.9056131,11.4435773,56698.92130558,,,,,,,,,0000,1.0,19.072999954223633,00,1,neowise,15.055,0.111,13.812,0.171,9.8,6.3,193.36,19.724,219.76,34.62,BB
52.9057873,11.4435886,56698.65784314,,,,,,,,,0000,1.0,36.83599853515625,00,1,neowise,14.875,0.109,13.982,0.14,9.9,7.7,228.1,22.946,187.85,24.262,BB
52.9058478,11.443483,57058.4027311,,,,,,,,,0000,0.5,105.09500122070312,00,1,neowise,14.936,0.099,14.193,0.164,11.0,6.6,212.93,19.404,152.32,23.029,AB
52.9059753,11.4436067,57058.27144547,,,,,,,,,0000,1.0,107.47699737548828,00,1,neowise,15.04,0.099,13.978,0.168,11.0,6.5,193.49,17.649,185.69,28.672,AB
