ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
197.8477798,3.4110058,55379.3690549,14.2,0.068,14.303,0.166,331.218,20.749,119.872,18.36,0000,1.0,107.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.4351431,14.162,0.064,14.05,0.158,343.065,20.327,151.397,22.004,0000,1.0,86.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.5013586,14.157,0.064,14.005,0.151,344.435,20.257,157.815,21.94,0000,1.0,65.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.5674468,14.305,0.071,14.082,0.162,300.71,19.66,146.921,21.952,0000,1.0,47.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.633535,14.152,0.061,14.149,0.154,346.101,19.431,138.108,19.62,0000,1.0,34.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.6336623,14.18,0.063,13.979,0.137,337.376,19.661,161.642,20.401,0000,1.0,35.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.7658387,14.22,0.065,13.97,0.151,325.116,19.327,162.998,22.695,0000,1.0,18.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.8981424,14.162,0.062,13.939,0.134,342.802,19.577,167.575,20.681,0000,1.0,14.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55380.0304462,14.138,0.058,13.93,0.123,350.599,18.631,169.019,19.171,0000,1.0,39.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55566.9663349,14.277,0.089,14.078,0.152,308.583,25.426,147.442,20.704,0000,1.0,76.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.098512,14.168,0.059,13.982,0.144,341.134,18.55,161.202,21.356,0000,1.0,40.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.2308164,14.327,0.07,13.893,0.132,294.465,18.971,174.855,21.274,0000,1.0,23.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55205.1373998,14.222,0.069,14.039,0.166,324.497,20.767,152.955,23.367,0000,1.0,32.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55205.2697044,14.171,0.064,14.049,0.151,339.991,20.191,151.45,21.014,0000,1.0,16.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55205.2698318,14.288,0.069,13.868,0.142,305.349,19.432,178.957,23.387,0000,1.0,15.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55205.4021364,14.279,0.068,13.928,0.133,307.83,19.347,169.346,20.785,0000,1.0,11.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55205.4682251,14.126,0.055,13.855,0.12,354.4,18.029,181.177,19.989,0000,1.0,22.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55205.5344417,13.982,0.068,13.996,0.16,404.584,25.5,159.049,23.377,0000,1.0,37.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55206.1300037,14.087,0.056,13.854,0.119,367.552,18.889,181.279,19.898,0000,1.0,32.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55378.9059283,14.202,0.063,14.004,0.135,330.571,19.217,157.908,19.639,0000,1.0,15.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.0382321,14.205,0.067,14.088,0.153,329.751,20.218,146.163,20.543,0000,1.0,41.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.1705358,14.344,0.076,14.103,0.157,290.001,20.413,144.203,20.788,0000,1.0,81.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55379.3028394,14.144,0.064,13.815,0.126,348.814,20.444,187.91,21.771,0000,1.0,123.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.3631208,14.176,0.062,14.093,0.153,338.491,19.266,145.54,20.457,0000,1.0,12.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.4292093,14.154,0.061,14.201,0.17,345.355,19.399,131.718,20.655,0000,1.0,17.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.4952979,14.031,0.057,13.921,0.146,387.012,20.452,170.411,22.985,0000,1.0,30.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.5615148,14.097,0.058,14.112,0.155,364.215,19.537,142.997,20.453,0000,1.0,45.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.6936918,14.093,0.055,13.933,0.138,365.482,18.662,168.585,21.393,0000,1.0,86.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.8259962,14.19,0.068,14.007,0.142,334.218,21.047,157.463,20.63,0000,1.0,121.0,0000,2,allwise,,,,,,,,,,,
197.8477798,3.4110058,55567.9583006,14.14,0.063,14.061,0.156,349.86,20.297,149.792,21.471,0000,1.0,79.0,0000,2,allwise,,,,,,,,,,,
197.8483554,3.4109288,57758.47385931,,,,,,,,,0000,1.0,8.032999992370605,00,2,neowise,14.486,0.108,14.418,0.24,10.1,4.5,323.8,32.123,123.13,27.177,AB
197.8477312,3.4111562,58282.88429134,,,,,,,,,0000,1.0,10.906999588012695,00,2,neowise,14.16,0.06,13.938,0.141,18.0,7.7,437.08,24.256,191.59,24.953,AB
197.847993,3.4109011,58283.01519471,,,,,,,,,0000,1.0,18.06399917602539,00,2,neowise,14.278,0.061,14.434,0.236,17.7,4.6,391.98,22.187,121.26,26.343,AB
197.8495598,3.4099819,59218.18731186,,,,,,,,,0000,1.0,30.84600067138672,00,1,neowise,15.802,0.209,13.343,,5.2,1.3,96.274,18.516,133.23,98.961,BU
197.8493625,3.4101107,59378.11831309,,,,,,,,,0000,1.0,34.28499984741211,00,1,neowise,15.22,0.124,14.785,0.35,8.8,3.1,164.6,18.738,87.761,28.28,BB
197.8487514,3.4107038,59949.26459613,,,,,,,,,0000,1.0,18.584999084472656,00,2,neowise,14.878,0.099,13.933,0.336,10.9,3.2,225.56,20.658,192.37,59.568,AB
197.8488604,3.4105611,57394.70243699,,,,,,,,,0000,1.0,74.2239990234375,00,1,neowise,15.092,0.125,14.888,,8.7,0.8,185.44,21.378,23.764,27.963,BU
197.8486282,3.4108162,59013.8097127,,,,,,,,,0000,1.0,21.94300079345703,00,1,neowise,14.451,0.17,14.895,0.491,6.4,2.2,334.06,52.356,79.315,35.833,BC
