ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
16.5402393,31.4059997,55397.3882139,13.508,0.042,13.373,0.077,626.06,24.288,282.408,19.922,0000,1.0,40.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55573.2215705,13.612,0.054,,,569.147,28.532,,,0000,1.0,108.0,0111,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55397.5205176,13.578,0.05,13.385,0.072,587.231,26.79,279.235,18.603,0000,1.0,54.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55397.5866058,13.503,0.04,13.259,0.075,629.313,22.904,313.59,21.789,0000,1.0,68.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55397.652694,13.316,0.045,13.42,0.084,747.271,31.162,270.497,20.938,0000,1.0,84.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55397.6528213,13.421,0.042,13.497,0.09,678.733,26.141,251.919,20.96,0000,1.0,83.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55397.7189095,13.524,0.04,13.645,0.113,616.999,22.703,219.724,22.965,0000,1.0,101.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55397.8512133,13.47,0.047,13.57,0.094,648.542,28.243,235.568,20.339,0000,1.0,127.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55210.072913,13.386,0.049,13.378,0.096,701.123,31.415,281.091,24.766,0000,1.0,68.0,0000,1,allwise,,,,,,,,,,,
16.5402393,31.4059997,55210.0730403,13.343,0.039,13.393,0.089,729.02,26.234,277.093,22.627,0000,1.0,69.0,0000,1,allwise,,,,,,,,,,,
