ra,dec,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,cc_flags,ph_qual,qi_fact,saa_sep,moon_masked,nb,source_table
186.3548718,18.1551722,56648.81580536,14.421,0.093,14.586,,11.7,1.0,345.2,29.447,34.636,36.113,0000,AU,0.5,125.56,00,2,neowise
186.3546285,18.1551506,58630.91140765,14.657,0.078,15.187,0.473,13.9,2.3,276.29,19.909,60.593,26.4,0000,AC,1.0,26.193,00,2,neowise
186.3544403,18.1540509,58631.49958093,14.335,0.074,14.714,0.314,14.6,3.5,371.94,25.443,93.738,27.118,0000,AB,1.0,95.888,00,1,neowise
186.3532769,18.1541695,58838.62781313,14.407,0.069,15.21,0.462,15.6,2.3,347.97,22.251,59.329,25.256,0000,AC,1.0,39.423,00,2,neowise
186.3534985,18.1539403,59203.08234711,14.476,0.078,15.055,0.496,14.0,2.2,326.67,23.334,68.432,31.265,0000,AC,1.0,68.5,00,1,neowise
186.3540616,18.1545939,59362.4993141,14.622,0.084,14.896,0.339,13.0,3.2,285.52,22.016,79.283,24.76,0000,AB,0.5,96.742,00,2,neowise
186.3548044,18.1553464,59203.73622765,14.456,0.081,15.148,0.468,13.5,2.3,332.64,24.689,62.826,27.097,0000,AC,0.5,70.823,00,2,neowise
186.3528722,18.1561371,59362.6299627,14.28,0.109,14.269,0.268,10.0,4.1,391.0,39.237,141.21,34.827,0000,AB,1.0,59.377,00,1,neowise
186.3545397,18.1559501,59363.02216328,14.182,0.056,14.727,0.302,19.5,3.6,428.31,21.923,92.558,25.767,0000,AB,1.0,28.486,00,1,neowise
186.3548009,18.1546654,59726.64753285,14.497,0.074,14.567,0.348,14.7,3.1,320.24,21.78,107.29,34.384,0000,AB,0.5,57.232,00,1,neowise
186.3529754,18.1562958,59934.73900655,14.409,0.078,14.554,0.298,13.9,3.6,347.41,24.986,108.6,29.803,0000,AB,1.0,75.139,00,1,neowise
186.3546846,18.1548889,57184.85026919,14.29,0.073,15.026,0.359,14.9,3.0,387.26,26.017,70.433,23.315,0000,AC,0.5,25.445,00,3,neowise
186.3544916,18.1540855,57184.4566683,14.564,0.072,14.835,0.37,15.1,2.9,300.96,19.973,83.916,28.627,0000,AC,1.0,93.019,00,2,neowise
186.3533572,18.1570601,57903.75505444,14.212,0.057,14.267,0.303,19.0,3.6,416.83,21.906,141.55,39.464,0000,AB,1.0,40.076,00,1,neowise
186.3525008,18.154189,58266.9843775,14.473,0.069,15.151,0.414,15.7,2.6,327.32,20.911,62.666,23.901,0000,AC,0.5,27.224,00,2,neowise
186.3530876,18.1545222,58266.85347412,14.428,0.069,14.98,0.421,15.7,2.6,341.34,21.767,73.331,28.469,0000,AC,0.5,26.591,00,1,neowise
186.3524169,18.1544463,59567.66343579,14.371,0.067,14.445,0.396,16.3,2.7,359.87,22.094,120.11,43.833,0000,AC,1.0,51.558,00,2,neowise
186.3537024,18.1543432,59567.40213822,14.58,0.106,15.216,,10.2,0.4,296.67,28.96,9.7335,24.636,0000,AU,1.0,14.75,00,1,neowise
186.3523451,18.1547269,60090.85299822,14.707,0.088,15.127,0.42,12.4,2.6,263.87,21.317,64.039,24.751,0000,AC,1.0,30.137,00,3,neowise
186.3538912,18.155671,60298.49666413,14.59,0.087,14.643,0.269,12.5,4.0,293.92,23.453,100.04,24.744,0000,AB,0.0,18.885,00,1,neowise
186.3534971,18.1548226,58471.9570975,14.31,0.066,15.106,0.379,16.6,2.9,380.54,22.969,65.286,22.799,0000,AC,0.5,108.281,00,1,neowise
186.3537409,18.1542547,58472.61148759,14.509,0.072,14.93,0.41,15.0,2.7,316.69,21.049,76.796,28.975,0000,AC,1.0,39.717,00,2,neowise
186.3539184,18.1562156,58630.78050443,13.977,0.101,14.771,,10.8,1.5,517.28,48.084,37.87,25.514,0000,AU,1.0,40.212,00,3,neowise
186.3539791,18.156187,58631.3038627,14.26,0.062,14.799,0.318,17.5,3.4,398.43,22.706,86.674,25.379,0000,AB,1.0,102.705,00,1,neowise
186.3527207,18.1547926,58995.50108415,14.367,0.08,14.627,0.24,13.6,4.5,361.02,26.487,101.53,22.422,0000,AB,1.0,96.746,00,1,neowise
186.3524839,18.1544935,58995.95924572,14.419,0.07,14.953,0.348,15.6,3.1,344.14,22.074,75.177,24.102,0000,AB,1.0,26.11,00,2,neowise
186.3525533,18.1542766,58995.3053659,14.376,0.065,14.409,0.243,16.7,4.5,357.93,21.453,124.09,27.756,0000,AB,1.0,101.951,00,1,neowise
186.3527898,18.1542915,58995.10862903,14.488,0.076,14.006,,14.2,1.9,323.1,22.718,88.539,45.633,0000,AU,0.5,45.526,00,3,neowise
186.3529614,18.1545499,58995.69769381,14.202,0.079,13.836,0.174,13.7,6.2,420.36,30.663,210.35,33.76,0000,AB,1.0,49.463,00,1,neowise
186.3526005,18.1549618,58839.47817593,14.037,0.067,15.129,0.507,16.3,2.1,489.13,29.982,63.969,29.859,0000,AC,0.5,11.907,00,1,neowise
186.3524275,18.1563099,58838.88949264,14.475,0.077,14.225,,14.1,1.8,326.89,23.235,69.718,38.657,0000,AU,1.0,120.377,00,1,neowise
186.355204,18.155418,58839.3473998,14.594,0.081,14.885,,13.5,0.7,292.79,21.757,21.414,29.327,0000,AU,0.5,18.452,00,2,neowise
186.3522144,18.1547891,59934.60873975,14.317,0.065,14.578,0.289,16.6,3.8,377.9,22.725,106.17,28.293,0000,AB,1.0,37.526,00,1,neowise
186.3542268,18.1545767,59934.28300913,14.451,0.073,15.127,0.474,14.8,2.3,334.17,22.596,64.049,27.956,0000,AC,0.5,28.063,00,1,neowise
186.3532277,18.1541561,59934.54316069,14.534,0.105,14.418,,10.4,1.6,309.45,29.816,55.526,33.768,0000,AU,1.0,25.091,00,1,neowise
186.3539397,18.1559497,60458.09963105,14.449,0.079,14.922,0.378,13.8,2.9,334.75,24.266,77.341,26.92,0000,AC,1.0,44.483,00,1,neowise
186.35426,18.15613,57014.15003382,14.468,0.089,14.237,0.241,12.1,4.5,327.79,27.0,146.23,32.473,0000,AB,1.0,46.186,00,1,neowise
186.3525109,18.1542971,57542.6621069,14.542,0.075,15.288,0.444,14.5,2.4,307.67,21.23,55.26,22.602,0000,AC,1.0,49.552,00,3,neowise
186.3540555,18.1551121,57543.38283918,14.502,0.071,14.66,,15.3,2.0,319.24,20.893,48.976,24.792,0000,AU,1.0,121.306,00,1,neowise
186.3537866,18.1539564,57543.25168123,14.466,0.073,14.879,0.313,14.8,3.5,330.08,22.277,80.567,23.201,0000,AB,0.5,98.225,00,2,neowise
186.3531898,18.1547275,57903.49324774,14.467,0.074,15.186,0.457,14.6,2.4,329.52,22.593,60.67,25.526,0000,AC,1.0,92.001,00,2,neowise
186.3531895,18.155397,56825.90670825,14.437,0.097,14.816,,11.2,0.9,341.9,30.453,27.505,29.922,0000,AU,1.0,26.29,00,2,neowise
186.3550826,18.1561772,56825.77504106,14.316,0.064,14.672,0.323,16.9,3.4,382.15,22.609,99.742,29.692,0000,AB,1.0,29.76,00,1,neowise
186.35251,18.15584,58472.34980794,14.275,0.064,14.524,0.387,16.9,2.8,393.09,23.305,111.61,39.783,0000,AC,0.5,21.043,00,1,neowise
186.3521248,18.1554672,58995.50095684,14.478,0.072,14.805,0.309,15.2,3.5,325.91,21.484,86.196,24.505,0000,AB,1.0,96.612,00,2,neowise
186.3531632,18.1555407,58995.82846976,14.403,0.076,15.338,0.527,14.4,2.1,349.41,24.332,52.728,25.592,0000,AC,1.0,33.285,00,2,neowise
186.3527044,18.156313,58995.23991429,14.088,0.063,14.753,0.442,17.2,2.5,466.87,27.107,90.428,36.85,0000,AC,1.0,81.495,00,2,neowise
186.3549279,18.1561947,58995.3706902,14.269,0.065,13.924,0.181,16.7,6.0,395.06,23.708,193.99,32.266,0000,AB,1.0,122.881,00,2,neowise
186.3540208,18.1554194,60298.75541552,14.071,0.101,14.859,0.343,10.8,3.2,474.22,43.954,81.99,25.915,0000,AB,0.5,80.234,00,2,neowise
186.3548007,18.154304,57183.99736125,14.494,0.103,14.611,0.346,10.6,3.1,320.95,30.384,103.2,32.88,0000,AB,1.0,37.163,00,1,neowise
186.3546153,18.1562726,58267.04982924,14.405,0.073,15.231,0.517,14.8,2.1,348.55,23.519,58.235,27.721,0000,AC,1.0,36.932,00,1,neowise
186.3532092,18.1554372,60458.03608944,14.54,0.09,14.688,0.438,12.1,2.5,307.95,25.41,95.999,38.688,0000,AC,1.0,34.602,00,2,neowise
186.3535038,18.1555538,60457.97203847,14.264,0.064,14.435,0.317,17.1,3.4,397.02,23.267,121.18,35.4,0000,AB,1.0,27.233,00,2,neowise
186.3531267,18.1555183,60094.35746537,14.415,0.07,14.245,,15.5,1.4,345.52,22.23,59.452,42.421,0000,AU,0.0,120.902,01,2,neowise
186.3526776,18.1555938,56648.48638148,14.188,0.056,14.413,0.217,19.4,5.0,427.68,22.068,125.36,25.003,0000,AB,0.0,34.497,00,1,neowise
186.3525093,18.1555279,56648.55221535,14.012,0.074,14.47,0.292,14.7,3.7,502.82,34.284,118.89,31.98,0000,AB,0.5,48.709,00,1,neowise
186.3552562,18.15542,56648.68401035,14.612,0.097,14.884,0.488,11.2,2.2,289.48,25.769,81.224,36.541,0000,AC,0.0,83.382,00,1,neowise
186.3539407,18.1542559,57376.40797929,14.438,0.081,15.295,0.482,13.4,2.3,338.52,25.357,54.741,24.283,0000,AC,1.0,21.792,00,3,neowise
186.3529229,18.1548809,57740.46021032,14.569,0.082,14.377,0.368,13.3,3.0,300.18,22.592,127.85,43.281,0000,AC,0.5,20.442,00,1,neowise
186.3517975,18.1555412,57903.03483139,14.231,0.065,15.043,0.358,16.6,3.0,409.54,24.654,69.264,22.855,0000,AC,1.0,37.436,00,1,neowise
186.3528857,18.1554858,57903.16586207,14.586,0.082,14.32,0.271,13.2,4.0,295.39,22.35,134.71,33.616,0000,AB,0.5,68.076,00,1,neowise
186.3529489,18.1552735,57904.01698906,14.485,0.077,14.571,0.328,14.1,3.3,324.22,22.967,106.95,32.284,0000,AB,1.0,34.456,00,2,neowise
186.3550758,18.1552735,57903.68960273,14.207,0.063,14.39,0.397,17.1,2.7,418.74,24.481,126.4,46.194,0000,AC,1.0,47.333,00,2,neowise
186.3540804,18.1559363,58107.7749538,14.734,0.091,14.345,,11.9,1.9,257.48,21.567,63.462,34.115,0000,AU,0.5,90.941,00,2,neowise
186.3547449,18.1555227,59726.19039,14.347,0.066,14.304,0.465,16.5,2.3,367.63,22.312,136.71,58.574,0000,AC,1.0,67.95,00,1,neowise
186.3536856,18.1570388,59934.67380944,14.089,0.097,,,11.2,,466.45,41.478,,,0000,AX,1.0,55.043,00,1,neowise
186.3545113,18.1549967,60298.62629419,14.167,0.075,14.815,0.527,14.5,2.1,434.14,29.962,85.367,41.473,0000,AC,0.5,41.822,00,2,neowise
186.3528393,18.15669,59203.47467543,14.458,0.078,13.947,0.322,13.9,3.4,331.87,23.822,189.98,56.371,0000,AB,0.5,12.007,00,1,neowise
186.3532007,18.1564415,59203.14767154,14.481,0.074,14.755,0.322,14.7,3.4,325.13,22.085,90.259,26.809,0000,AB,0.5,49.918,00,1,neowise
186.3542464,18.1568217,59362.89151462,14.277,0.101,14.69,0.316,10.7,3.4,392.26,36.57,95.796,27.875,0000,AB,1.0,22.581,00,1,neowise
186.3543219,18.1543472,59567.79408512,14.592,0.081,14.505,0.26,13.5,4.2,293.59,21.806,113.57,27.238,0000,AB,0.5,92.051,00,2,neowise
186.3543778,18.1543417,59567.59811135,14.711,0.087,15.137,0.429,12.5,2.5,262.98,21.043,63.456,25.09,0000,AC,0.0,35.902,00,1,neowise
186.3542508,18.154326,60094.03300843,14.6,0.084,14.693,0.451,12.9,2.4,291.36,22.671,95.541,39.664,0000,AC,1.0,32.839,11,1,neowise
186.3548787,18.1545432,60090.72311351,14.474,0.069,14.819,,15.7,1.3,327.1,20.787,32.791,26.15,0000,AU,1.0,47.364,00,2,neowise
186.35484,18.15506,60457.71596141,14.645,0.092,15.213,,11.8,0.0,279.45,23.713,-0.3664,29.581,0000,AU,1.0,48.446,00,1,neowise
186.354453,18.1562716,57741.04965866,14.393,0.079,14.676,0.451,13.8,2.4,352.81,25.626,97.116,40.354,0000,AC,1.0,73.449,00,2,neowise
186.353821,18.1564342,57743.53861082,14.284,0.068,14.497,0.327,16.0,3.3,390.1,24.436,114.47,34.483,0000,AB,1.0,31.694,11,1,neowise
186.3540948,18.1545604,58107.64405023,14.965,0.116,14.66,,9.4,-0.3,208.14,22.243,-13.776,49.229,0000,BU,1.0,51.081,00,1,neowise
186.3550861,18.1547926,58838.88949264,14.354,0.111,14.558,,9.8,1.4,365.5,37.443,44.099,32.069,0000,BU,1.0,120.377,00,3,neowise
186.3544147,18.1543835,58839.21611447,14.665,0.157,15.058,0.414,6.9,2.6,274.46,39.604,68.251,26.031,0000,BC,1.0,37.097,00,2,neowise
186.353733,18.1559244,58835.74921544,14.158,0.077,14.718,,14.1,0.0,437.73,30.939,-2.1679,46.674,0000,AU,1.0,76.69,11,3,neowise
186.3526088,18.1544738,59727.1691094,14.518,0.075,14.809,0.29,14.4,3.7,314.25,21.76,85.849,22.967,0000,AB,1.0,61.809,00,3,neowise
186.3519859,18.1556283,57184.4566683,14.541,0.077,14.768,0.411,14.1,2.6,307.38,21.77,89.321,33.809,0000,AC,1.0,93.019,00,2,neowise
186.3522941,18.1556864,57376.9980658,14.363,0.072,14.808,0.396,15.2,2.7,362.9,23.91,85.776,31.26,0000,AC,1.0,85.043,00,3,neowise
186.3534631,18.1543831,60298.69085462,14.592,0.081,15.107,0.429,13.4,2.5,293.35,21.82,65.267,25.782,0000,AC,1.0,59.911,00,1,neowise
