ra,dec,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,cc_flags,ph_qual,qi_fact,saa_sep,moon_masked,nb,source_table
185.7455081,15.7988778,57014.93914887,13.931,0.051,13.567,0.119,21.5,9.1,537.44,25.033,270.96,29.614,0000,AB,0.5,97.095,00,1,neowise
185.745519,15.7980156,58267.11477219,14.055,0.053,14.1,0.156,20.6,7.0,481.3,23.341,164.98,23.68,0000,AB,1.0,48.762,00,1,neowise
185.7427678,15.797795,59362.694905,13.974,0.06,13.902,0.195,18.1,5.6,518.64,28.578,197.92,35.542,0000,AB,0.0,44.712,00,1,neowise
185.7430587,15.7975692,59363.15242987,14.088,0.084,14.494,0.235,12.9,4.6,466.69,36.185,114.76,24.849,0000,AB,0.5,52.968,00,1,neowise
185.7447277,15.7964088,58107.7753358,14.24,0.072,15.085,0.393,15.1,2.8,405.87,26.904,66.572,24.104,0000,AC,1.0,90.512,00,1,neowise
185.7458574,15.7974145,58995.6318601,14.159,0.057,13.931,,19.1,1.9,437.46,22.847,94.415,49.175,0000,AU,1.0,59.868,00,1,neowise
185.7436557,15.7989677,57184.39058005,13.446,0.056,13.737,0.124,19.4,8.7,842.89,43.526,230.76,26.385,0000,AB,0.5,112.807,00,1,neowise
185.7441439,15.7978367,57903.95102804,13.797,0.051,14.137,0.169,21.1,6.4,611.05,28.948,159.47,24.89,0000,AB,0.5,23.738,00,1,neowise
185.7456648,15.7979786,57904.40931704,13.939,0.05,13.791,0.156,21.8,6.9,536.18,24.628,219.3,31.601,0000,AB,1.0,117.173,00,1,neowise
185.7434676,15.797031,59727.43015203,14.233,0.064,14.395,0.308,17.1,3.5,408.57,23.919,125.75,35.71,0000,AB,1.0,117.26,00,1,neowise
185.7451531,15.7981516,57377.06402714,13.627,0.054,13.45,0.141,20.3,7.7,714.77,35.249,299.52,38.907,0000,AB,0.5,64.437,00,1,neowise
185.7437122,15.7975023,59575.04738596,14.095,0.064,14.385,0.361,17.1,3.0,463.82,27.136,126.9,42.194,0000,AC,1.0,75.442,11,1,neowise
185.7439271,15.7983911,57185.11233025,13.848,0.05,13.457,0.139,21.6,7.8,581.86,26.963,298.74,38.222,0000,AB,1.0,60.411,00,1,neowise
185.7454796,15.7980367,57185.24361535,14.327,0.067,14.501,0.265,16.2,4.1,374.32,23.068,114.15,27.881,0000,AB,1.0,99.942,00,1,neowise
185.7447604,15.798755,57184.98104502,13.829,0.058,13.79,0.141,18.8,7.7,592.05,31.423,219.75,28.637,0000,AB,1.0,31.627,00,1,neowise
185.7444478,15.7981457,59567.8599189,13.532,0.058,14.359,0.225,18.9,4.8,779.26,41.272,129.96,26.917,0000,AB,1.0,112.554,00,1,neowise
185.7441898,15.7979389,60091.63141485,13.919,0.049,14.617,0.419,22.1,2.6,545.22,24.623,102.44,39.518,0000,AC,1.0,58.83,00,1,neowise
185.7440194,15.7981644,59000.92822392,13.705,0.143,14.048,,7.6,1.6,664.17,87.543,76.88,48.096,0000,BU,1.0,18.757,11,1,neowise
185.7434534,15.7962909,58995.50057479,14.564,0.082,14.277,0.233,13.3,4.7,301.05,22.716,140.19,30.108,0000,AB,1.0,96.005,00,2,neowise
185.7441413,15.7972654,57184.65302307,13.913,0.053,14.072,0.161,20.4,6.7,548.19,26.837,169.45,25.191,0000,AB,1.0,45.448,00,1,neowise
185.745239,15.7974231,59727.16860005,14.077,0.055,14.831,0.474,19.7,2.3,471.72,23.914,84.128,36.729,0000,AC,1.0,59.633,00,1,neowise
185.7453018,15.7970171,60094.16238374,14.15,0.063,14.483,0.529,17.3,2.1,441.08,25.552,115.97,56.516,0000,AC,1.0,59.294,11,1,neowise
185.7457954,15.7980339,56825.44561865,13.836,0.051,13.808,0.143,21.5,7.6,594.56,27.676,221.03,29.032,0000,AB,1.0,90.93,00,1,neowise
185.7430332,15.7985586,57743.86663391,13.767,0.058,13.806,,18.6,1.9,628.03,33.693,106.25,55.057,0000,AU,1.0,124.873,11,1,neowise
185.7449662,15.7970531,57904.14751039,13.951,0.05,14.066,0.259,21.8,4.2,529.97,24.286,170.27,40.674,0000,AB,1.0,61.005,00,1,neowise
185.7447919,15.7980692,58472.61186958,14.017,0.06,14.156,0.184,18.0,5.9,498.31,27.691,156.61,26.594,0000,AB,0.5,38.348,00,1,neowise
185.7442803,15.798239,58840.00191689,14.025,0.052,13.87,0.157,21.0,6.9,494.76,23.582,203.9,29.397,0000,AB,1.0,91.906,00,1,neowise
185.7446815,15.7982184,59362.89100531,14.007,0.054,14.392,0.254,20.2,4.3,502.94,24.873,126.09,29.48,0000,AB,1.0,19.88,00,1,neowise
185.743672,15.7984111,58631.6304842,14.02,0.051,13.376,0.124,21.4,8.7,497.03,23.247,321.35,36.75,0000,AB,1.0,59.292,00,1,neowise
185.744159,15.7988088,58995.82808772,13.836,0.049,14.125,0.169,22.0,6.4,589.06,26.767,161.18,25.088,0000,AB,1.0,31.645,00,2,neowise
185.7437459,15.7989098,58267.70371,13.798,0.047,13.51,0.142,23.0,7.6,609.96,26.558,284.1,37.211,0000,AB,1.0,43.702,00,1,neowise
185.7446614,15.7977834,60299.01416653,14.247,0.065,13.777,0.161,16.7,6.8,403.27,24.116,222.03,32.868,0000,AB,1.0,86.861,00,1,neowise
