ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
38.8783417,-7.1586832,55215.4909123,14.788,0.085,14.616,0.226,192.691,15.113,89.875,18.732,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55581.2815696,14.869,0.102,14.62,0.232,178.869,16.789,89.543,19.131,0000,1.0,105.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55215.6232176,14.685,0.084,14.859,0.285,211.875,16.377,71.868,18.876,0000,1.0,22.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55215.6894337,14.587,0.073,14.688,0.25,231.927,15.693,84.079,19.382,0000,1.0,13.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55215.7555224,14.454,0.066,14.483,0.222,262.005,15.997,101.601,20.733,0000,1.0,5.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55215.8217384,14.657,0.075,14.581,0.22,217.321,15.027,92.853,18.828,0000,1.0,-5.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55215.9540432,14.561,0.072,14.575,,237.494,15.762,42.502,25.393,0000,1.0,7.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55216.0863479,14.785,0.09,14.972,0.339,193.163,16.069,64.739,20.208,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55219.858032,14.791,0.089,14.674,0.268,192.081,15.668,85.198,21.064,0000,1.0,-3.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.0847908,14.733,0.081,14.261,0.184,202.724,15.134,124.666,21.116,0000,1.0,33.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.2170946,14.494,0.067,14.612,0.23,252.67,15.568,90.225,19.146,0000,1.0,12.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.3493984,14.649,0.079,14.635,0.257,219.047,15.91,88.312,20.879,0000,1.0,-1.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.4817022,14.556,0.076,14.603,0.263,238.629,16.608,90.954,22.068,0000,1.0,18.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.5477904,14.745,0.088,14.0,0.166,200.431,16.226,158.429,24.269,0000,1.0,35.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.614006,14.769,0.091,15.05,0.342,195.985,16.504,60.231,18.992,0000,1.0,57.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.6800942,14.561,0.072,14.728,0.257,237.561,15.804,81.039,19.187,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.7463098,14.675,0.088,15.121,0.389,213.718,17.256,56.424,20.231,0000,1.0,99.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.8123981,14.686,0.085,14.608,0.265,211.552,16.563,90.501,22.064,0000,1.0,116.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55403.9447018,14.963,0.106,14.523,0.219,163.977,16.006,97.912,19.77,0000,1.0,76.0,0000,1,allwise,,,,,,,,,,,
38.8783417,-7.1586832,55404.0770057,14.765,0.091,14.612,0.248,196.852,16.535,90.203,20.596,0000,1.0,35.0,0000,1,allwise,,,,,,,,,,,
