ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
33.6701155,43.3574178,55592.7309124,13.599,0.046,13.579,0.111,575.883,24.244,233.629,23.783,0000,1.0,52.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.664824,13.561,0.049,13.36,0.082,596.398,27.133,285.82,21.591,0000,1.0,62.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.8630894,13.59,0.049,13.408,0.083,580.849,26.262,273.312,20.843,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.8632167,13.691,0.058,13.541,0.1,529.364,28.217,241.859,22.305,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.9953936,13.499,0.042,13.379,0.081,631.74,24.234,280.714,21.037,0000,0.5,62.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55593.1276979,13.657,0.055,13.464,0.098,545.77,27.412,259.564,23.491,0000,1.0,90.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55593.2598748,13.397,0.045,13.317,0.08,693.581,28.479,297.234,21.789,0000,1.0,123.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.2703698,13.452,0.044,13.541,0.106,659.375,27.012,241.985,23.657,0000,1.0,126.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.3365856,13.403,0.04,13.263,0.078,690.07,25.73,312.531,22.34,0000,1.0,123.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.4026741,13.533,0.046,13.624,0.093,612.313,26.181,224.089,19.276,0000,1.0,106.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.4688899,13.407,0.036,13.356,0.091,687.322,22.775,286.766,23.94,0000,1.0,91.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.5351057,13.567,0.046,13.4,0.082,593.258,25.13,275.494,20.868,0000,1.0,78.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.66741,13.544,0.044,13.179,0.071,605.664,24.586,337.601,22.201,0000,1.0,62.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.7997143,13.535,0.043,13.209,0.069,610.931,24.322,328.377,20.949,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55417.6281532,13.249,0.047,13.463,0.081,795.099,34.215,259.923,19.366,0000,1.0,83.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55417.6282806,13.57,0.045,13.504,0.084,591.303,24.527,250.178,19.265,0000,1.0,83.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55417.7604571,13.522,0.042,13.435,0.085,618.195,24.165,266.683,20.839,0000,1.0,114.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55417.8927611,13.433,0.04,13.33,0.073,671.053,24.567,293.852,19.843,0000,1.0,119.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.025065,13.509,0.041,13.52,0.09,625.773,23.843,246.548,20.549,0000,1.0,90.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.0912807,13.464,0.048,13.362,0.082,652.249,28.693,285.294,21.48,0000,1.0,79.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.157369,13.568,0.042,13.401,0.082,592.472,22.681,275.175,20.786,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.2235846,13.556,0.045,13.39,0.077,599.495,24.876,277.846,19.679,0000,1.0,62.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.2896728,13.488,0.044,13.412,0.076,638.25,25.709,272.438,19.058,0000,1.0,54.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.3558884,13.422,0.043,13.368,0.086,677.662,26.957,283.751,22.39,0000,1.0,52.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.4219767,13.551,0.041,13.436,0.082,602.211,22.521,266.559,20.112,0000,1.0,53.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.488065,13.356,0.045,13.39,0.078,720.487,30.073,278.06,20.014,0000,1.0,59.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.4881923,13.397,0.042,13.457,0.09,693.84,26.6,261.338,21.609,0000,1.0,58.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.6203689,13.479,0.044,13.464,0.086,643.392,25.984,259.739,20.484,0000,1.0,82.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55418.7526728,13.453,0.045,13.428,0.078,658.792,27.325,268.35,19.297,0000,1.0,112.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.1357342,13.602,0.043,13.704,0.11,574.258,22.917,208.088,21.061,0000,1.0,91.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.2680385,13.427,0.041,13.78,0.116,674.874,25.563,194.03,20.814,0000,1.0,126.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.4002154,13.691,0.049,13.446,0.112,529.227,23.808,263.973,27.127,0000,1.0,106.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.5325196,13.581,0.042,13.309,0.1,585.844,22.632,299.602,27.705,0000,0.5,78.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.5986082,13.528,0.046,13.74,0.111,614.685,26.079,201.432,20.633,0000,1.0,70.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55592.7970009,13.522,0.042,13.385,0.087,618.342,23.706,279.199,22.334,0000,1.0,47.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.1380655,13.499,0.04,13.53,0.084,631.454,23.176,244.245,18.832,0000,1.0,92.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.2042813,13.421,0.04,13.566,0.099,678.673,24.937,236.388,21.495,0000,1.0,109.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55228.0718497,13.541,0.042,13.528,0.086,607.364,23.455,244.896,19.455,0000,1.0,77.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55227.9395454,13.421,0.043,13.317,0.08,678.451,26.863,297.328,21.911,0000,1.0,54.0,0000,2,allwise,,,,,,,,,,,
33.6701155,43.3574178,55227.8072411,13.529,0.044,13.478,0.094,614.383,24.625,256.314,22.142,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
