ra,dec,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,cc_flags,ph_qual,qi_fact,saa_sep,moon_masked,nb,source_table
187.7847503,0.6053242,56657.51618572,15.853,0.206,14.778,0.391,5.3,2.8,92.423,17.497,89.74,32.278,0000,BC,0.5,27.374,00,1,neowise
187.7861802,0.6047498,56657.91157072,15.529,0.162,14.612,,6.7,0.7,124.58,18.534,27.423,38.572,0000,BU,1.0,94.23,00,1,neowise
187.786587,0.6040556,60102.27291922,15.856,0.258,14.752,,4.2,1.9,91.629,21.734,44.257,23.098,0000,BU,1.0,83.721,00,1,neowise
187.7853221,0.6045107,59210.99627782,15.828,0.216,14.488,,5.0,0.6,94.004,18.691,24.902,45.265,0000,BU,1.0,86.901,00,1,neowise
187.7846648,0.6051087,57914.42393193,16.387,0.317,15.329,,3.4,0.2,56.189,16.431,5.5503,23.811,0000,BU,1.0,107.146,00,1,neowise
187.7865721,0.605102,57914.55483515,15.639,0.165,13.901,0.286,6.6,3.8,111.86,17.033,198.2,52.245,0000,BB,1.0,65.284,00,1,neowise
187.7869888,0.6047135,59006.81110502,15.292,0.123,15.291,,8.8,0.6,154.06,17.433,12.13,21.485,0000,BU,1.0,16.239,00,1,neowise
187.786925,0.6060557,58847.0687969,15.62,0.201,14.58,,5.4,1.6,113.82,21.1,47.882,29.06,0000,BU,1.0,61.638,00,1,neowise
187.7848405,0.6064362,58482.6914414,15.347,0.154,14.681,,7.1,1.3,146.42,20.705,37.489,29.556,0000,BU,1.0,53.652,11,1,neowise
187.7854966,0.6053423,60306.69761977,15.899,0.236,14.981,0.435,4.6,2.5,88.054,19.118,73.275,29.333,0000,BC,1.0,56.722,00,1,neowise
187.7869292,0.6046578,58639.41222572,15.433,0.168,15.566,,6.5,0.1,135.23,20.894,2.9792,19.886,0000,BU,0.5,118.095,00,2,neowise
