ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
200.2496105,3.5974255,55207.2546571,15.001,0.1,14.321,0.172,158.361,14.518,117.952,18.639,0000,1.0,18.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.9419752,15.234,0.129,14.766,0.267,127.708,15.145,78.305,19.232,0000,1.0,84.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.0229148,15.095,0.104,15.133,0.33,145.229,13.868,55.846,16.996,0000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.6843059,14.857,0.094,14.577,0.204,180.724,15.687,93.187,17.494,0000,1.0,29.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.6844332,15.268,0.122,14.83,0.288,123.821,13.953,73.805,19.58,0000,1.0,30.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.7505214,15.042,0.102,15.295,0.479,152.521,14.383,48.104,21.209,0000,1.0,20.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.8828252,14.9,0.091,15.193,0.391,173.779,14.506,52.809,19.008,0000,1.0,13.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55382.0151288,15.205,0.137,14.663,0.241,131.264,16.541,86.096,19.137,0000,1.0,36.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55382.1474325,14.867,0.09,15.038,0.327,179.19,14.828,60.927,18.328,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55568.9500106,15.421,0.156,15.009,0.372,107.581,15.495,62.578,21.446,0000,1.0,82.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.082315,15.53,0.182,14.56,0.232,97.241,16.333,94.641,20.242,0000,1.0,43.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.2144921,15.1,0.123,14.576,0.248,144.536,16.385,93.212,21.307,0000,1.0,26.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.1552185,15.157,0.117,14.43,0.23,137.138,14.769,106.677,22.627,0000,1.0,76.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.2875222,14.988,0.102,14.821,0.258,160.213,15.064,74.437,17.688,0000,1.0,118.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.4198259,15.164,0.109,15.054,0.323,136.234,13.679,60.038,17.842,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.485914,15.123,0.118,15.117,0.395,141.56,15.347,56.667,20.627,0000,1.0,70.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.5520022,15.203,0.122,14.935,0.284,131.502,14.825,66.97,17.488,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.5521295,15.253,0.118,14.645,0.233,125.492,13.689,87.458,18.755,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55381.6182177,15.209,0.115,14.315,0.209,130.783,13.883,118.602,22.785,0000,1.0,37.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.3467964,15.019,0.119,15.049,0.378,155.755,17.106,60.306,20.994,0000,1.0,12.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.412885,15.13,0.119,14.822,,140.669,15.359,35.587,19.384,0000,1.0,15.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.4791008,15.109,0.11,15.16,0.376,143.38,14.587,54.473,18.858,0000,1.0,26.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.5451893,15.337,0.138,15.257,0.48,116.24,14.776,49.806,22.017,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.6774938,15.062,0.105,14.782,0.323,149.663,14.507,77.091,22.923,0000,0.5,81.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55569.8096708,15.354,0.165,15.038,0.345,114.439,17.436,60.928,19.338,0000,1.0,123.0,0000,1,allwise,,,,,,,,,,,
200.2496105,3.5974255,55207.3207458,15.12,0.117,14.729,0.272,141.913,15.291,80.956,20.302,0000,1.0,10.0,0000,1,allwise,,,,,,,,,,,
200.2494481,3.5975708,58491.6542595,,,,,,,,,0000,1.0,42.624000549316406,00,1,neowise,14.979,0.122,14.269,0.305,8.9,3.6,205.52,23.169,141.17,39.693,BB
200.249671,3.5974395,58491.71971131,,,,,,,,,0000,1.0,64.00599670410156,00,1,neowise,15.059,0.108,14.681,0.294,10.1,3.7,190.93,18.919,96.637,26.142,AB
200.2496685,3.5974509,58491.98151838,,,,,,,,,0000,0.5,90.4540023803711,00,1,neowise,14.981,0.098,14.684,0.387,11.1,2.8,205.17,18.539,96.328,34.32,AC
200.2495191,3.5973663,58491.85061482,,,,,,,,,0000,1.0,104.76300048828125,00,1,neowise,15.31,0.14,15.117,0.481,7.7,2.3,151.54,19.573,64.643,28.637,BC
200.2495781,3.597766,58491.52297396,,,,,,,,,0000,1.0,10.192999839782715,00,1,neowise,15.03,0.101,14.932,,10.7,-0.1,196.12,18.289,-5.3645,38.338,AU
200.2495884,3.5977622,58491.78516302,,,,,,,,,0000,1.0,84.83000183105469,00,1,neowise,15.116,0.117,14.405,,9.3,1.2,181.06,19.53,45.717,39.432,BU
200.24969,3.5976117,58491.58893507,,,,,,,,,0000,1.0,22.791000366210938,00,1,neowise,15.229,0.139,14.767,,7.8,1.8,163.2,20.861,42.568,23.323,BU
200.2494162,3.5975169,58491.3925798,,,,,,,,,0000,1.0,-1.2489999532699585,00,1,neowise,15.113,0.123,14.572,0.27,8.9,4.0,181.56,20.509,106.78,26.519,BB
200.2494159,3.5973191,59016.75248851,,,,,,,,,0000,1.0,27.858999252319336,00,1,neowise,15.039,0.109,14.698,,10.0,2.0,194.45,19.499,47.214,23.942,AU
200.2494881,3.5976144,59016.49093675,,,,,,,,,0000,1.0,95.13500213623047,00,1,neowise,14.898,0.099,14.803,0.349,10.9,3.1,221.41,20.244,86.338,27.735,AB
200.2496047,3.5974574,59016.0332849,,,,,,,,,0000,1.0,17.358999252319336,00,1,neowise,14.865,0.1,14.968,0.412,10.8,2.6,228.13,21.068,74.188,28.17,AC
200.2495976,3.5974375,59016.09809984,,,,,,,,,0000,1.0,28.57699966430664,00,1,neowise,14.907,0.106,15.296,0.441,10.2,2.5,219.49,21.527,54.812,22.245,AC
200.249552,3.5975708,59016.75261587,,,,,,,,,0000,0.5,28.53700065612793,00,1,neowise,15.009,0.147,15.095,0.373,7.4,2.9,199.85,27.03,65.992,22.659,BC
200.2494924,3.5973427,59016.16406078,,,,,,,,,0000,0.5,48.34400177001953,00,1,neowise,15.295,0.114,14.747,0.314,9.5,3.5,153.65,16.136,90.878,26.296,BB
200.2495715,3.5974052,59015.90250902,,,,,,,,,0000,1.0,9.069999694824219,00,1,neowise,15.092,0.098,14.924,0.373,11.1,2.9,185.22,16.736,77.251,26.551,AC
200.2497279,3.5976739,59016.36016091,,,,,,,,,0000,1.0,110.40699768066406,00,1,neowise,14.884,0.097,14.112,0.259,11.2,4.2,224.35,19.978,163.17,38.982,AB
200.2496955,3.5976585,59016.62171267,,,,,,,,,0000,0.5,54.305999755859375,00,1,neowise,14.817,0.095,15.25,0.385,11.4,2.8,238.49,20.918,57.183,20.266,AC
200.2493933,3.5975828,59016.29483661,,,,,,,,,0000,0.5,89.9990005493164,00,1,neowise,14.94,0.096,15.157,0.377,11.4,2.9,212.98,18.738,62.312,21.665,AC
200.2493438,3.5974717,59015.77173314,,,,,,,,,0000,1.0,26.582000732421875,00,1,neowise,14.915,0.112,14.53,0.263,9.7,4.1,218.03,22.556,110.97,26.876,BB
200.2495505,3.5977874,59222.50241581,,,,,,,,,0000,1.0,4.826000213623047,00,1,neowise,14.985,0.1,14.425,0.272,10.8,4.0,204.26,18.832,122.34,30.691,AB
200.2498798,3.5979842,59222.76435013,,,,,,,,,0000,1.0,76.10700225830078,00,1,neowise,14.867,0.113,14.99,0.407,9.6,2.7,227.73,23.802,72.664,27.209,BC
200.2494472,3.597333,59223.0913542,,,,,,,,,0000,1.0,57.266998291015625,00,1,neowise,15.138,0.154,14.248,,7.1,2.0,177.44,25.166,71.999,36.002,BU
200.2495458,3.5976292,59223.22213039,,,,,,,,,0000,1.0,20.68899917602539,00,1,neowise,14.834,0.091,14.927,0.486,11.9,2.2,234.85,19.659,77.042,34.464,AC
200.2494823,3.5975283,59223.35290644,,,,,,,,,0000,1.0,4.546999931335449,00,1,neowise,15.038,0.106,14.818,0.336,10.2,3.2,194.59,19.001,85.135,26.357,AB
200.2496421,3.5975338,59223.48368262,,,,,,,,,0000,1.0,-0.5490000247955322,00,1,neowise,14.975,0.097,15.126,0.411,11.2,2.6,206.32,18.356,64.121,24.268,AC
200.2495604,3.5975835,59222.76447744,,,,,,,,,0000,0.5,75.87000274658203,00,1,neowise,15.103,0.106,14.651,0.26,10.2,4.2,183.27,17.923,99.352,23.809,AB
200.249638,3.5973937,59222.82980188,,,,,,,,,0000,1.0,96.1259994506836,00,1,neowise,15.147,0.118,14.598,0.267,9.2,4.1,176.09,19.078,104.25,25.646,BB
200.2496715,3.5973928,59222.96057807,,,,,,,,,0000,1.0,98.97699737548828,00,1,neowise,15.042,0.111,15.069,0.412,9.8,2.6,193.91,19.806,67.565,25.609,BC
200.2497607,3.5975989,59222.63370131,,,,,,,,,0000,1.0,33.46699905395508,00,1,neowise,15.075,0.109,14.464,0.282,10.0,3.9,188.02,18.837,117.93,30.62,AB
200.2494074,3.5976306,59222.89512632,,,,,,,,,0000,0.5,113.59600067138672,00,1,neowise,15.214,0.149,14.511,0.254,7.3,4.3,165.45,22.709,112.95,26.468,BB
200.2496884,3.597939,57396.21025161,,,,,,,,,0000,0.5,24.674999237060547,00,1,neowise,14.991,0.106,14.645,0.393,10.2,2.8,203.5,19.86,99.632,36.07,AC
200.2497113,3.5979759,57396.66917932,,,,,,,,,0000,0.5,63.37300109863281,00,1,neowise,14.998,0.1,15.231,,10.9,-0.1,202.19,18.539,-2.2651,29.056,AU
200.2494927,3.5974106,57395.8167758,,,,,,,,,0000,1.0,110.90299987792969,00,1,neowise,15.108,0.113,15.295,0.428,9.6,2.5,182.61,19.015,54.741,21.57,BC
200.2497275,3.5974398,57395.81690313,,,,,,,,,0000,1.0,110.6240005493164,00,1,neowise,15.083,0.126,14.683,,8.6,1.5,186.85,21.675,40.711,27.743,BU
200.249632,3.597504,57396.27583083,,,,,,,,,0000,1.0,16.759000778198242,00,1,neowise,15.202,0.121,14.678,,9.0,1.6,167.5,18.701,42.956,26.836,BU
200.2495975,3.5975758,57396.14467233,,,,,,,,,0000,1.0,33.7869987487793,00,1,neowise,15.058,0.106,14.775,,10.3,1.8,191.27,18.648,41.397,23.487,AU
200.2497212,3.5973733,57396.34128279,,,,,,,,,0000,0.5,7.421999931335449,00,1,neowise,14.898,0.122,15.35,0.495,8.9,2.2,221.54,24.866,52.081,23.753,BC
200.2495247,3.5973635,57396.34141015,,,,,,,,,0000,0.5,6.922999858856201,00,1,neowise,15.004,0.104,15.094,0.43,10.4,2.5,201.02,19.243,65.884,26.077,AC
200.2497256,3.5976151,57396.53802072,,,,,,,,,0000,1.0,26.176000595092773,00,1,neowise,14.955,0.103,14.8,0.285,10.5,3.8,210.3,19.962,86.388,22.702,AB
200.2498407,3.5974831,57396.40686212,,,,,,,,,0000,0.5,6.617000102996826,00,1,neowise,15.182,0.134,15.467,0.541,8.1,2.0,170.59,21.034,46.723,23.286,BC
200.2494539,3.5975996,58124.27173377,,,,,,,,,0000,0.5,19.054000854492188,00,1,neowise,14.961,0.107,14.179,0.257,10.1,4.2,208.86,20.624,153.42,36.33,AB
200.2495916,3.5976184,58125.12273428,,,,,,,,,0000,1.0,45.362998962402344,00,1,neowise,15.148,0.123,14.454,0.322,8.8,3.4,175.8,19.975,119.02,35.282,BB
200.2495489,3.5974771,58124.14083028,,,,,,,,,0000,0.5,40.57500076293945,00,1,neowise,15.089,0.129,14.49,0.294,8.4,3.7,185.69,22.075,115.22,31.224,BB
200.2496163,3.5974771,58124.27186118,,,,,,,,,0000,1.0,18.28700065612793,00,1,neowise,15.047,0.116,14.617,0.342,9.3,3.2,193.08,20.692,102.43,32.276,BB
200.2495272,3.5975226,58124.40276466,,,,,,,,,0000,1.0,2.5989999771118164,00,1,neowise,15.041,0.121,14.667,0.386,8.9,2.8,194.0,21.709,97.829,34.801,BC
200.2497759,3.5977782,58124.99183071,,,,,,,,,0000,1.0,86.31999969482422,00,1,neowise,15.223,0.127,14.325,,8.5,1.6,164.16,19.234,59.223,37.437,BU
200.2497539,3.5976066,58124.59912,,,,,,,,,0000,1.0,30.97100067138672,00,1,neowise,15.261,0.133,14.589,,8.2,1.4,158.54,19.354,42.438,31.353,BU
200.249743,3.5976829,58124.53366825,,,,,,,,,0000,1.0,16.06100082397461,00,1,neowise,14.983,0.098,14.303,,11.0,0.1,204.67,18.549,8.2415,64.319,AU
200.2498435,3.5973855,58124.86092716,,,,,,,,,0000,1.0,112.99600219726562,00,1,neowise,15.032,0.111,14.187,,9.8,2.0,195.77,20.056,75.318,38.462,BU
200.2498147,3.5974504,58124.46821646,,,,,,,,,0000,1.0,4.730999946594238,00,1,neowise,15.34,0.172,14.286,,6.3,1.8,147.37,23.407,65.06,36.952,BU
200.2493682,3.5974876,58124.66457179,,,,,,,,,0000,1.0,50.694000244140625,00,1,neowise,14.981,0.137,14.73,0.395,7.9,2.7,205.03,25.919,92.383,33.635,BC
200.2494577,3.5973055,59380.07969744,,,,,,,,,0000,1.0,27.75,00,1,neowise,15.06,0.147,14.613,,7.4,1.7,190.75,25.816,46.725,28.07,BU
200.2495421,3.597449,59379.94904889,,,,,,,,,0000,1.0,10.208000183105469,00,1,neowise,15.001,0.155,14.942,0.365,7.0,3.0,201.42,28.726,75.95,25.519,BC
200.2494564,3.5975359,59380.9294224,,,,,,,,,0000,0.5,9.954999923706055,00,1,neowise,14.902,0.102,14.365,0.197,10.6,5.5,220.58,20.744,129.24,23.489,AB
200.2496405,3.5975527,59380.47189781,,,,,,,,,0000,0.5,101.197998046875,00,1,neowise,15.262,0.116,14.614,0.218,9.4,5.0,158.38,16.868,102.77,20.625,BB
200.2496425,3.5975003,59380.92929508,,,,,,,,,0000,0.5,9.190999984741211,00,1,neowise,15.041,0.1,14.847,0.326,10.9,3.3,194.13,17.877,82.92,24.897,AB
200.2496024,3.5974262,59380.27579758,,,,,,,,,0000,1.0,84.4260025024414,00,1,neowise,15.095,0.098,15.368,0.475,11.1,2.3,184.65,16.675,51.293,22.434,AC
200.2496822,3.5973834,59380.34112185,,,,,,,,,0000,0.5,105.38899993896484,00,1,neowise,15.29,0.121,14.181,0.239,9.0,4.5,154.37,17.2,153.11,33.688,BB
200.2495332,3.5973837,59380.40644617,,,,,,,,,0000,0.5,121.75900268554688,00,1,neowise,14.962,0.106,14.625,,10.2,1.7,208.69,20.399,46.201,27.746,AU
200.2496436,3.5976981,59380.20996404,,,,,,,,,0000,1.0,61.56800079345703,00,1,neowise,14.891,0.095,14.568,,11.4,0.4,222.89,19.491,18.831,44.17,AU
