ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
336.802692,-9.494925,55342.423072,14.274000,0.098000,14.165000,0.154000,309.177002,27.938000,136.158997,19.325001,0000,1.000000,2.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55342.290768,,,14.142000,0.161000,,,139.084000,20.680000,0000,1.000000,-3.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55522.692502,14.136000,0.063000,13.933000,0.134000,351.286011,20.403000,168.580994,20.813999,0000,1.000000,11.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55522.824679,14.133000,0.062000,14.469000,0.239000,352.140991,20.167000,102.894997,22.611000,0000,1.000000,-7.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55523.089287,14.149000,0.059000,13.931000,0.133000,347.070007,18.891001,168.925003,20.701000,0000,1.000000,45.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55523.221464,14.162000,0.060000,14.000000,0.144000,343.024994,18.969000,158.431000,21.079000,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55523.419857,14.139000,0.060000,13.774000,0.116000,350.141998,19.260000,195.074997,20.778999,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55523.552161,14.185000,0.062000,13.907000,0.133000,335.670990,19.145000,172.720001,21.146999,0000,1.000000,42.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55523.684465,14.224000,0.063000,14.283000,0.188000,323.838989,18.858000,122.096001,21.139999,0000,1.000000,12.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55341.563160,14.071000,0.056000,14.160000,0.186000,373.028015,19.304001,136.826004,23.487000,0000,1.000000,39.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55341.695464,14.147000,0.061000,14.061000,0.161000,347.572998,19.452999,149.806000,22.170000,0000,1.000000,81.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55341.827767,14.078000,0.056000,14.004000,0.145000,370.385010,19.080999,157.903000,21.052999,0000,1.000000,109.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55341.960071,14.227000,0.063000,14.047000,0.154000,322.877014,18.716000,151.841003,21.586000,0000,1.000000,68.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55342.026160,14.176000,0.059000,14.061000,0.157000,338.463013,18.249001,149.878006,21.670000,0000,1.000000,48.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55342.092375,14.304000,0.067000,13.959000,0.129000,300.983002,18.540001,164.572998,19.569000,0000,1.000000,27.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55342.158464,14.236000,0.060000,13.871000,0.127000,320.391998,17.575001,178.473007,20.951000,0000,1.000000,14.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55342.224679,14.104000,0.059000,14.050000,0.135000,361.898987,19.660999,151.373993,18.778999,0000,1.000000,7.000000,0000,1,allwise,,,,,,,,,,,
336.802692,-9.494925,55342.555375,14.173000,0.064000,14.029000,0.139000,339.498993,20.055000,154.343994,19.830000,0000,1.000000,36.000000,0000,1,allwise,,,,,,,,,,,
336.802639,-9.494931,57347.132743,,,,,,,,,0000,1.000000,47.990002,11,1,neowise,14.202000,0.074000,14.026000,0.307000,14.600000,3.500000,420.959991,28.775000,176.270004,49.772999,AB
336.802764,-9.494980,57347.263902,,,,,,,,,0000,1.000000,90.125000,01,1,neowise,14.077000,0.063000,13.688000,0.296000,17.299999,3.700000,472.250000,27.277000,240.639999,65.538002,AB
336.802771,-9.494983,57344.509569,,,,,,,,,0000,1.000000,68.763000,01,1,neowise,14.152000,0.091000,14.113000,0.198000,12.000000,5.500000,440.559998,36.764999,162.630005,29.673000,AB
336.802769,-9.494963,57347.526219,,,,,,,,,0000,1.000000,63.811001,01,1,neowise,14.244000,0.063000,13.993000,0.220000,17.200001,4.900000,404.779999,23.539000,181.630005,36.804001,AB
336.802806,-9.495003,57344.640728,,,,,,,,,0000,0.500000,28.552999,11,1,neowise,14.188000,0.058000,13.822000,0.154000,18.600000,7.100000,426.309998,22.916000,212.559998,30.148001,AB
336.802669,-9.494932,57347.395060,,,,,,,,,0000,1.000000,105.341003,01,1,neowise,14.144000,0.059000,13.797000,0.214000,18.400000,5.100000,443.670013,24.167999,217.580002,42.909000,AB
336.802673,-9.494848,57344.771886,,,,,,,,,0000,0.500000,9.833000,11,1,neowise,14.152000,0.065000,13.943000,0.192000,16.799999,5.700000,440.399994,26.263000,190.149994,33.604000,AB
336.802610,-9.494846,57347.001585,,,,,,,,,0000,1.000000,11.741000,11,1,neowise,14.160000,0.069000,14.372000,0.434000,15.800000,2.500000,437.420013,27.760000,128.130005,51.176998,AC
336.802755,-9.495049,57347.067164,,,,,,,,,0000,1.000000,27.492001,11,1,neowise,14.230000,0.072000,14.282000,0.377000,15.000000,2.900000,409.890015,27.267000,139.149994,48.257999,AC
336.802788,-9.495015,57346.936006,,,,,,,,,0000,1.000000,0.022000,11,1,neowise,14.178000,0.076000,13.546000,0.224000,14.400000,4.900000,430.250000,29.930000,274.269989,56.480000,AB
336.802736,-9.495082,57347.198323,,,,,,,,,0000,1.000000,69.705002,11,1,neowise,14.126000,0.063000,13.544000,0.177000,17.200001,6.100000,451.100006,26.205000,274.790009,44.806000,AB
336.802934,-9.494786,57346.804847,,,,,,,,,0000,1.000000,5.651000,11,1,neowise,14.171000,0.087000,14.090000,0.376000,12.500000,2.900000,432.899994,34.680000,166.089996,57.566002,AC
336.802679,-9.494825,59159.307242,,,,,,,,,0000,1.000000,88.776001,00,1,neowise,14.146000,0.055000,13.811000,0.131000,19.900000,8.300000,442.570007,22.240000,215.270004,25.886999,AB
336.802618,-9.494998,59158.849462,,,,,,,,,0000,0.500000,8.210000,00,1,neowise,14.108000,0.053000,13.583000,0.107000,20.400000,10.200000,458.440002,22.483000,265.559998,26.105000,AA
336.802816,-9.494978,59158.653362,,,,,,,,,0000,1.000000,41.140999,00,1,neowise,14.188000,0.057000,14.085000,0.154000,19.100000,7.000000,425.660004,22.250999,167.300003,23.791000,AB
336.802774,-9.494863,59158.587910,,,,,,,,,0000,1.000000,61.181000,00,1,neowise,14.075000,0.053000,13.808000,0.161000,20.500000,6.800000,472.450012,23.070999,215.809998,31.968000,AB
336.802728,-9.494954,59158.784138,,,,,,,,,0000,1.000000,16.795000,00,1,neowise,14.198000,0.055000,13.972000,0.181000,19.600000,6.000000,421.839996,21.500000,185.639999,30.934999,AB
336.802809,-9.494954,59159.176466,,,,,,,,,0000,0.500000,46.618000,00,1,neowise,14.181000,0.056000,14.094000,0.170000,19.500000,6.400000,428.480011,21.948000,165.869995,25.996000,AB
336.802688,-9.494872,59159.045690,,,,,,,,,0000,0.000000,12.032000,00,1,neowise,14.298000,0.066000,14.039000,0.185000,16.299999,5.900000,384.820007,23.546000,174.529999,29.690001,AB
336.802608,-9.494834,59158.457134,,,,,,,,,0000,1.000000,102.792999,00,1,neowise,14.139000,0.057000,13.912000,0.151000,19.000000,7.200000,445.230011,23.462999,196.059998,27.292999,AB
336.802677,-9.494889,59158.914914,,,,,,,,,0000,1.000000,0.032000,00,1,neowise,14.132000,0.070000,14.087000,0.169000,15.600000,6.400000,448.100006,28.705999,167.020004,26.023001,AB
336.802719,-9.495047,59158.326358,,,,,,,,,0000,1.000000,94.402000,00,1,neowise,14.253000,0.061000,13.924000,0.147000,17.900000,7.400000,401.160004,22.427000,193.949997,26.330000,AB
336.802758,-9.495068,59158.718686,,,,,,,,,0000,1.000000,24.485001,00,1,neowise,14.182000,0.055000,13.920000,0.201000,19.700001,5.400000,428.179993,21.716999,194.789993,36.081001,AB
336.802660,-9.494978,57532.798008,,,,,,,,,0000,1.000000,100.624001,00,1,neowise,14.067000,0.056000,14.621000,0.356000,19.500000,3.100000,476.260010,24.407000,102.110001,33.433998,AB
336.802563,-9.494901,57532.666850,,,,,,,,,0000,1.000000,59.095001,00,1,neowise,14.216000,0.063000,13.790000,0.177000,17.200001,6.100000,415.260010,24.101000,219.559998,35.727001,AB
336.802730,-9.494948,57533.060070,,,,,,,,,0000,1.000000,55.270000,00,1,neowise,14.189000,0.060000,14.108000,0.177000,17.900000,6.100000,425.959991,23.732000,163.860001,26.698000,AB
336.802779,-9.494974,57532.666978,,,,,,,,,0000,1.000000,58.930000,00,1,neowise,14.184000,0.059000,13.970000,0.221000,18.500000,4.900000,427.640015,23.136999,186.039993,37.886002,AB
336.802716,-9.494957,57532.535820,,,,,,,,,0000,1.000000,20.629000,00,1,neowise,14.008000,0.055000,13.922000,0.192000,19.799999,5.700000,503.040009,25.386000,194.509995,34.323002,AB
336.802631,-9.494836,57532.929039,,,,,,,,,0000,1.000000,97.094002,00,1,neowise,14.101000,0.055000,13.913000,0.151000,19.900000,7.200000,461.640015,23.177999,196.000000,27.179001,AB
336.802648,-9.494909,57532.404789,,,,,,,,,0000,1.000000,1.281000,00,1,neowise,14.158000,0.057000,14.049000,0.193000,19.000000,5.600000,438.000000,23.080000,172.889999,30.773001,AB
336.802678,-9.494890,57533.387583,,,,,,,,,0000,1.000000,1.239000,00,1,neowise,14.160000,0.062000,13.960000,0.161000,17.400000,6.700000,437.239990,25.129000,187.679993,27.830000,AB
336.802894,-9.495009,57532.994491,,,,,,,,,0000,1.000000,76.389000,00,1,neowise,14.253000,0.063000,13.976000,0.169000,17.200001,6.400000,401.459991,23.289000,184.929993,28.834000,AB
336.802746,-9.495057,57532.863460,,,,,,,,,0000,1.000000,117.359001,00,1,neowise,14.224000,0.062000,13.759000,0.145000,17.600000,7.500000,412.390015,23.451000,225.960007,30.282000,AB
336.802770,-9.494850,57532.797881,,,,,,,,,0000,1.000000,100.898003,00,1,neowise,14.055000,0.058000,14.184000,0.292000,18.600000,3.700000,481.940002,25.896000,152.800003,41.084000,AB
336.802551,-9.495009,58263.676265,,,,,,,,,0000,1.000000,53.939999,00,1,neowise,14.096000,0.077000,14.014000,0.154000,14.100000,7.100000,463.519989,32.770000,178.610001,25.325001,AB
336.802673,-9.494987,58264.265203,,,,,,,,,0000,1.000000,22.552999,00,1,neowise,14.172000,0.062000,13.971000,0.169000,17.600000,6.400000,432.070007,24.483000,185.779999,28.975000,AB
336.802791,-9.494916,58263.807041,,,,,,,,,0000,0.500000,96.529999,00,1,neowise,14.367000,0.075000,14.111000,0.177000,14.500000,6.100000,360.920013,24.889999,163.229996,26.650000,AB
336.802791,-9.494896,58264.199751,,,,,,,,,0000,1.000000,30.011999,00,1,neowise,14.005000,0.053000,13.971000,0.159000,20.400000,6.800000,504.079987,24.665001,185.720001,27.212000,AB
