ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
192.1460967,-0.7679874,55206.4619751,16.168,0.259,14.983,,54.027,12.9,30.61,16.726,0000,1.0,16.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55564.6528546,16.274,0.282,14.962,,49.023,12.744,25.518,19.906,0000,1.0,72.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.4651435,16.113,,15.617,0.527,26.486,15.189,35.742,17.348,0000,1.0,74.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.5974473,16.738,0.432,15.484,,31.982,12.715,5.666,17.373,0000,1.0,37.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.729751,16.641,0.371,14.898,,34.955,11.932,29.222,20.059,0000,1.0,20.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.7959666,16.862,,15.06,,2.076,13.22,22.175,18.769,0000,1.0,10.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.8620548,16.661,0.397,15.455,,34.319,12.555,-7.196,20.75,0000,1.0,8.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.9282703,16.741,0.397,15.518,,31.898,11.659,2.588,18.291,0000,1.0,14.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.9943586,16.231,0.289,15.089,,50.992,13.569,22.972,17.58,0000,1.0,27.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55376.0605741,16.044,0.217,15.167,,60.61,12.123,16.075,19.004,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55376.1927505,16.529,0.348,15.606,,38.764,12.41,1.134,17.488,0000,1.0,85.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55376.1928779,17.005,0.526,15.539,,25.005,12.121,-1.443,19.198,0000,1.0,86.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55376.3250542,16.558,0.398,15.444,,37.747,13.84,-24.064,20.951,0000,1.0,119.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55376.457358,16.356,0.298,14.99,,45.449,12.483,28.031,17.815,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55563.6608902,16.192,0.284,15.189,,52.863,13.821,16.492,18.271,0000,1.0,74.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55563.7930672,16.278,,14.87,,23.555,12.653,31.632,19.746,0000,1.0,116.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55563.9253716,16.261,,15.365,,23.44,13.094,-1.747,22.542,0000,1.0,87.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55564.057676,16.207,0.324,15.509,,52.146,15.579,2.247,18.613,0000,1.0,46.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55564.1237645,16.66,0.416,14.988,,34.346,13.175,24.34,19.738,0000,1.0,31.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55564.189853,16.427,,15.223,,11.725,15.436,14.0,18.692,0000,1.0,23.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55564.2560688,16.066,0.289,15.543,,59.379,15.781,-10.96,19.126,0000,1.0,14.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55564.3882459,16.15,,15.422,,22.729,16.119,2.912,19.927,0000,1.0,7.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55564.5205503,16.973,0.538,15.491,,25.762,12.754,1.064,19.537,0000,1.0,32.0,0000,1,allwise,,,,,,,,,,,
192.1460967,-0.7679874,55375.3328397,16.893,0.512,15.479,,27.717,13.062,6.231,17.173,0000,1.0,117.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55564.6528546,16.576,0.373,14.92,,37.127,12.738,28.064,19.944,0000,1.0,72.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.7959666,16.945,,14.98,,-10.535,13.216,27.612,18.335,0000,1.0,10.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55564.5205503,16.285,,15.48,,22.999,12.764,1.4,19.568,0000,1.0,32.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.729751,16.634,0.368,14.916,,35.178,11.93,29.552,19.315,0000,1.0,20.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55564.3882459,16.153,,15.416,,22.626,16.09,3.16,19.918,0000,1.0,7.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55564.2560688,16.43,0.405,15.543,,42.463,15.825,-11.55,19.126,0000,1.0,14.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55564.189853,16.415,,15.217,,12.085,15.486,14.272,18.707,0000,1.0,23.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55564.1237645,15.85,0.197,14.992,,72.439,13.171,24.117,19.729,0000,1.0,31.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55564.057676,16.442,0.402,15.46,,42.005,15.559,4.108,18.597,0000,1.0,46.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55563.9253716,16.438,,15.28,,15.941,13.099,-4.883,24.372,0000,1.0,87.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55563.7930672,16.79,,14.858,,5.197,12.648,32.346,19.776,0000,1.0,116.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55563.6608902,16.076,0.255,15.156,,58.848,13.819,18.095,18.274,0000,1.0,74.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55376.457358,16.457,0.327,14.959,,41.41,12.477,29.77,17.875,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55376.3250542,16.87,0.53,15.445,,28.315,13.825,-20.947,20.933,0000,1.0,119.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55376.1928779,17.002,0.525,15.54,,25.084,12.127,-1.403,19.19,0000,1.0,86.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55376.1927505,16.311,0.284,15.539,,47.381,12.411,3.414,17.497,0000,1.0,85.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55376.0605741,15.896,0.19,15.235,,69.43,12.128,12.819,19.003,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.9943586,16.229,0.289,15.087,,51.102,13.604,22.956,17.636,0000,1.0,27.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.9282703,17.08,,15.497,,-1.939,11.667,1.758,19.075,0000,1.0,14.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.8620548,16.65,0.393,15.46,,34.686,12.548,-7.44,20.645,0000,1.0,8.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.3328397,16.936,0.532,15.477,,26.642,13.056,6.321,17.178,0000,1.0,117.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.4651435,16.113,,15.616,0.527,26.426,15.205,35.771,17.353,0000,1.0,74.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55375.5974473,16.738,0.433,15.514,,31.966,12.735,4.536,17.39,0000,1.0,37.0,0000,1,allwise,,,,,,,,,,,
192.1461069,-0.767986,55206.4619751,16.249,,14.992,,24.311,12.916,30.118,16.724,0000,1.0,16.0,0000,1,allwise,,,,,,,,,,,
192.1474607,-0.7663664,56837.54918433,,,,,,,,,0000,1.0,52.61600112915039,00,1,neowise,16.868,0.524,13.645,0.193,2.1,5.6,36.422,17.585,255.53,45.483,CB
192.1456879,-0.7678586,56837.68072404,,,,,,,,,0000,1.0,24.461000442504883,00,1,neowise,15.957,0.309,14.585,,3.5,1.7,84.284,24.025,49.189,29.178,BU
192.1454002,-0.7677528,56838.40451089,,,,,,,,,0000,1.0,98.26599884033203,00,1,neowise,16.035,0.422,15.053,,2.6,0.7,78.452,30.475,17.896,25.983,CU
192.1454943,-0.7680544,56838.00963713,,,,,,,,,0000,1.0,23.61400032043457,00,1,neowise,15.668,0.197,14.701,,5.5,1.5,110.03,19.998,42.04,27.297,BU
192.1463015,-0.767949,56837.81239112,,,,,,,,,0000,1.0,7.514999866485596,00,1,neowise,16.241,0.264,15.335,,4.1,0.0,64.903,15.757,0.10334,26.885,BU
192.1460783,-0.7681688,56838.07547068,,,,,,,,,0000,1.0,40.44599914550781,00,1,neowise,16.508,0.373,14.72,,2.9,1.2,50.749,17.441,35.585,29.66,CU
192.1478505,-0.7676226,57026.70355043,,,,,,,,,0000,1.0,79.20899963378906,00,1,neowise,16.217,0.274,15.33,,4.0,-0.9,65.478,16.518,-24.009,26.733,BU
192.1454065,-0.7680772,57025.98077848,,,,,,,,,0000,1.0,74.35800170898438,00,1,neowise,16.326,0.274,14.655,,4.0,1.7,59.237,14.934,45.766,26.896,BU
