ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
166.5631903,-11.6076024,55355.55094,14.409,0.171,14.257,0.249,273.203,43.145,125.058,28.662,0000,1.0,44.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.4186363,14.467,0.152,14.273,0.23,259.039,36.369,123.301,26.091,0000,1.0,86.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55543.9570864,14.369,0.08,14.21,0.169,283.298,20.938,130.642,20.359,0000,0.5,70.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.0893908,14.283,0.068,14.687,0.266,306.67,19.196,84.197,20.621,0000,1.0,28.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.2216952,14.494,0.08,14.092,0.161,252.636,18.664,145.646,21.619,0000,1.0,8.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.3538723,14.699,0.128,14.48,0.216,209.192,24.736,101.897,20.281,0000,1.0,-5.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.4200881,14.299,0.071,14.347,0.189,302.263,19.735,115.093,20.023,0000,1.0,1.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.4861766,14.399,0.078,14.689,0.283,275.63,19.868,84.061,21.921,0000,1.0,16.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.5522651,14.812,0.127,14.729,0.307,188.533,22.007,80.948,22.869,0000,1.0,36.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.618481,14.461,0.08,14.204,0.197,260.29,19.297,131.3,23.828,0000,1.0,57.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.6845695,14.289,0.071,14.291,0.201,305.168,19.993,121.219,22.466,0000,1.0,78.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.8168739,14.554,0.097,14.549,0.226,239.071,21.26,95.616,19.938,0000,1.0,112.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.9490509,14.28,0.07,14.674,0.263,307.699,19.784,85.202,20.629,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55544.9491783,14.512,0.085,14.755,0.281,248.331,19.374,79.099,20.466,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.6832437,14.397,0.164,14.829,0.41,276.241,41.616,73.842,27.874,0000,1.0,15.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.2863325,14.395,0.136,14.267,0.263,276.606,34.577,123.883,29.975,0000,1.0,108.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.2202443,14.326,0.134,14.281,0.239,294.744,36.431,122.404,26.927,0000,1.0,88.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55354.5587253,14.335,0.126,14.554,0.301,292.526,33.895,95.13,26.338,0000,1.0,41.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55354.6910291,14.389,0.135,14.951,0.446,278.234,34.579,66.005,27.105,0000,1.0,15.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55354.8233329,14.535,0.147,14.173,0.219,243.176,32.819,135.191,27.279,0000,1.0,-2.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55354.9556367,14.309,0.123,14.785,0.347,299.573,33.946,76.895,24.561,0000,1.0,10.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.021725,14.627,0.172,14.442,0.256,223.547,35.388,105.497,24.919,0000,1.0,25.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.0879405,14.339,0.136,14.569,0.349,291.367,36.58,93.833,30.2,0000,1.0,46.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.1540287,14.384,0.068,14.402,0.206,279.418,17.483,109.396,20.779,0000,1.0,67.0,0000,2,allwise,,,,,,,,,,,
166.5631903,-11.6076024,55355.220117,14.394,0.167,14.498,0.301,276.955,42.592,100.156,27.749,0000,1.0,88.0,0000,2,allwise,,,,,,,,,,,
166.5628653,-11.6063662,55544.9491783,13.856,0.055,13.83,0.124,454.468,23.053,185.318,21.156,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
166.5628653,-11.6063662,55544.9490509,13.869,0.054,13.671,0.111,449.212,22.437,214.592,22.025,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
166.5628653,-11.6063662,55544.8168739,14.026,0.061,13.91,0.139,388.802,21.828,172.151,22.068,0000,1.0,112.0,0000,2,allwise,,,,,,,,,,,
166.5628653,-11.6063662,55544.0893908,13.929,0.055,13.773,0.118,425.039,21.402,195.433,21.193,0000,1.0,28.0,0000,2,allwise,,,,,,,,,,,
