ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
151.8094738,-26.3930222,55348.5356571,16.058,0.235,15.578,0.531,59.794,12.968,37.061,18.124,0000,1.0,45.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55348.6678335,15.76,0.17,15.466,0.429,78.732,12.317,41.07,16.217,0000,1.0,3.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55538.471607,15.549,0.152,15.192,,95.548,13.392,17.616,17.624,0000,1.0,8.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55538.3393027,15.838,0.24,14.823,0.268,73.271,16.182,74.283,18.336,0000,1.0,-21.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55538.2071256,15.562,0.154,15.261,0.514,94.487,13.383,49.598,23.472,0000,1.0,-7.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55537.3473385,15.528,0.16,,,97.42,14.312,,,0000,1.0,-21.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55537.4796429,15.657,0.19,14.984,,86.506,15.158,28.72,17.663,0000,1.0,10.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55537.6118199,15.969,0.234,14.94,0.301,64.93,13.981,66.671,18.456,0000,1.0,51.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55537.6119472,15.321,0.124,15.323,0.433,117.874,13.491,46.867,18.685,0000,1.0,51.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55537.6780357,15.913,0.242,15.147,0.361,68.372,15.224,55.089,18.325,0000,1.0,71.0,0000,2,allwise,,,,,,,,,,,
151.8094738,-26.3930222,55537.7441242,15.485,0.152,15.35,0.5,101.417,14.191,45.707,21.049,0000,1.0,87.0,0000,2,allwise,,,,,,,,,,,
