ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
202.3058986,-29.290254,55218.839709,16.453,,15.445,,18.063,11.745,8.472,16.698,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55582.9089451,16.925,0.483,15.285,,26.917,11.982,10.004,19.268,0000,1.0,75.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55218.9720133,15.493,0.14,15.151,,100.639,12.969,16.05,19.417,0000,1.0,57.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55219.1043175,16.817,0.407,15.497,,29.72,11.131,4.859,17.53,0000,1.0,16.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55219.2367492,16.258,,15.157,,23.958,12.897,15.841,19.37,0000,1.0,-11.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55394.7760104,16.092,0.249,,,57.956,13.316,,,0000,1.0,-13.0,0111,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55394.7761377,16.383,,,,17.572,13.375,,,0000,1.0,-12.0,0111,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55397.1573506,16.635,0.481,,,35.151,15.57,,,0000,1.0,57.0,0111,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55397.2896543,16.569,0.375,14.52,,37.351,12.906,44.47,26.831,0000,1.0,90.0,0011,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55397.4219581,16.276,0.29,15.178,,48.922,13.06,0.147,26.705,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55397.5542618,15.906,0.206,14.745,,68.8,13.057,31.808,24.001,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55397.6865655,15.867,0.215,15.033,,71.347,14.152,4.601,28.29,0000,1.0,1.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55397.7526537,16.313,,14.571,,23.301,11.995,44.07,24.801,0000,1.0,-10.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55218.3764529,16.014,,14.223,0.423,24.034,19.124,129.105,50.28,0000,1.0,-19.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55218.5088845,16.579,0.342,15.054,,37.007,11.663,23.988,18.015,0000,1.0,19.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55218.6411889,16.795,0.46,15.496,,30.342,12.848,-11.579,19.979,0000,1.0,59.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55218.7072773,16.226,0.255,15.493,,51.258,12.018,-11.034,20.033,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55218.7074046,16.483,,15.438,0.447,14.543,12.947,42.168,17.36,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55218.7734931,16.729,0.43,15.101,,32.254,12.768,13.631,21.92,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
202.3058986,-29.290254,55397.8188693,15.969,0.233,15.384,,64.898,13.954,-16.002,22.149,0000,1.0,-18.0,0000,1,allwise,,,,,,,,,,,
