ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
272.796321,49.8614728,55464.1773032,14.904,0.114,14.822,0.251,173.126,18.137,74.339,17.199,0000,1.0,105.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55281.2163033,15.045,0.106,14.568,0.214,151.991,14.832,93.944,18.491,0000,1.0,67.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.3096072,14.818,0.107,14.488,0.192,187.451,18.408,101.078,17.889,0000,1.0,129.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.3756955,14.895,0.121,14.925,0.269,174.511,19.49,67.6,16.78,0000,1.0,113.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.4419112,14.911,0.111,14.698,0.212,172.003,17.537,83.321,16.263,0000,1.0,99.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.5079995,14.662,0.098,14.817,0.278,216.293,19.598,74.649,19.107,0000,1.0,87.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.5740878,14.906,0.122,15.03,0.313,172.762,19.406,61.363,17.683,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.5742151,14.976,0.113,15.155,0.411,162.072,16.826,54.679,20.682,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.6403035,14.983,0.121,14.344,0.178,161.02,17.893,115.435,18.916,0000,1.0,71.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.7063918,14.925,0.113,15.018,0.288,169.852,17.689,62.08,16.481,0000,1.0,60.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.0530376,14.862,0.11,14.645,0.224,179.99,18.272,87.503,18.016,0000,1.0,78.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.1191259,14.968,0.119,15.058,0.299,163.19,17.866,59.827,16.449,0000,1.0,92.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.1853416,15.011,0.116,14.565,0.192,156.826,16.771,94.173,16.668,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.2514299,14.871,0.11,14.849,0.233,178.415,18.022,72.511,15.591,0000,1.0,123.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.3175182,15.029,0.125,14.478,0.185,154.326,17.776,102.039,17.386,0000,0.5,127.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.3176455,14.911,0.108,14.896,0.258,172.07,17.113,69.429,16.491,0000,1.0,127.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.3837339,15.087,0.147,14.851,0.245,146.298,19.759,72.346,16.306,0000,1.0,111.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.4498222,14.907,0.115,14.996,0.303,172.724,18.316,63.324,17.666,0000,1.0,97.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.5160379,15.073,0.131,14.576,0.191,148.181,17.874,93.209,16.37,0000,1.0,86.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.5821262,15.094,0.129,14.865,0.242,145.303,17.27,71.45,15.935,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.6482145,14.984,0.131,14.983,0.28,160.84,19.418,64.105,16.532,0000,1.0,69.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.7144302,14.968,0.112,14.923,0.252,163.278,16.862,67.751,15.706,0000,1.0,60.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.7805185,15.025,0.154,14.574,,154.937,22.039,46.06,23.668,0000,1.0,54.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.8466069,15.06,0.126,14.579,0.19,150.036,17.472,92.979,16.308,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.9128225,14.917,0.108,14.383,0.198,171.138,16.954,111.401,20.287,0000,1.0,58.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55463.9789108,14.989,0.117,14.508,0.177,160.067,17.266,99.291,16.206,0000,1.0,66.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.0451265,15.004,0.119,14.725,0.249,157.935,17.337,81.254,18.646,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.1112149,15.165,0.138,14.769,0.235,136.172,17.302,78.086,16.866,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55281.2823916,15.229,0.127,14.498,0.196,128.358,15.002,100.141,18.065,0000,1.0,58.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55281.3486074,14.881,0.086,14.43,0.207,176.797,14.062,106.666,20.304,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55281.5471271,15.155,0.121,15.165,0.369,137.465,15.271,54.178,18.414,0000,1.0,69.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.7726075,15.177,0.138,14.596,0.194,134.607,17.12,91.538,16.329,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.8386958,14.913,0.126,14.965,0.281,171.757,19.885,65.138,16.886,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.9047842,15.012,0.138,14.69,0.219,156.733,19.994,83.954,16.908,0000,1.0,57.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55464.9709998,14.986,0.125,14.741,0.233,160.56,18.497,80.121,17.182,0000,1.0,65.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55465.0370882,14.923,0.112,14.721,0.215,170.15,17.586,81.587,16.125,0000,1.0,75.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55465.1031765,14.938,0.118,14.547,0.182,167.74,18.264,95.793,16.054,0000,1.0,89.0,0000,1,allwise,,,,,,,,,,,
272.796321,49.8614728,55465.3677845,15.084,0.13,15.129,0.345,146.698,17.524,56.019,17.821,0000,1.0,115.0,0000,1,allwise,,,,,,,,,,,
