ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
59.3874517,-27.2051045,55230.9034672,15.543,0.144,15.432,,96.135,12.755,6.763,17.804,0000,1.0,-17.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.7507359,15.43,0.126,15.727,0.52,106.636,12.358,32.289,15.476,0000,1.0,89.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55419.8908178,15.452,0.129,14.998,0.279,104.548,12.428,63.241,16.274,0000,1.0,82.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.0231218,15.546,0.141,15.019,,95.858,12.482,27.582,17.201,0000,1.0,42.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.0892101,15.118,0.148,15.203,0.312,142.229,19.446,52.327,15.017,0000,1.0,21.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.1554257,15.912,0.224,15.677,0.542,68.435,14.105,33.811,16.868,0000,1.0,0.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.221514,15.673,0.169,15.032,,85.272,13.245,28.032,16.624,0000,1.0,-7.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.2877297,15.863,0.19,15.522,0.413,71.602,12.541,39.028,14.837,0000,1.0,-17.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.353818,14.498,0.129,15.458,0.501,251.661,29.969,41.388,19.105,0000,1.0,-20.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.4200335,15.561,0.139,12.319,,94.536,12.071,342.701,201.307,0000,1.0,-9.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.4861219,16.093,0.22,15.183,0.34,57.923,11.76,53.318,16.701,0000,1.0,12.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.5522162,15.983,0.218,15.516,0.451,64.077,12.869,39.239,16.31,0000,1.0,33.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.5523435,15.524,0.136,15.138,0.298,97.817,12.286,55.562,15.275,0000,1.0,33.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.6184319,15.817,0.171,15.644,,74.665,11.776,-6.967,17.433,0000,1.0,53.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.6845202,16.179,0.236,15.75,0.508,53.493,11.626,31.612,14.791,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55230.7711628,15.706,0.164,15.101,,82.707,12.502,23.278,17.103,0000,1.0,-11.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55230.6388585,15.305,0.118,15.225,0.351,119.677,13.043,51.298,16.59,0000,1.0,13.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55230.5726427,15.902,0.186,15.15,,69.06,11.854,22.545,16.21,0000,1.0,33.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55421.015344,15.667,0.161,15.341,,85.767,12.751,16.895,14.6,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
59.3874517,-27.2051045,55420.88304,15.317,0.115,15.471,0.39,118.413,12.595,40.873,14.695,0000,1.0,84.0,0000,1,allwise,,,,,,,,,,,
