ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
151.7619503,-5.9220835,55527.6222689,14.773,0.102,,,195.32,18.41,,,0000,1.0,60.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.6223962,14.467,0.076,,,259.005,18.172,,,0000,1.0,60.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55530.2677173,14.464,0.075,14.309,0.18,259.695,17.891,119.226,19.782,0000,1.0,6.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55530.0031088,14.602,0.078,14.203,0.177,228.611,16.422,131.492,21.421,0000,1.0,58.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55530.1354131,14.407,0.067,14.347,0.2,273.553,16.916,115.142,21.242,0000,1.0,22.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.7545731,14.561,0.086,,,237.512,18.756,,,0000,1.0,102.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.490092,14.495,0.094,,,252.454,21.89,,,0000,0.5,21.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55338.8149562,14.571,0.076,,,235.183,16.464,,,0000,1.0,3.0,0111,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.4238762,14.705,0.098,14.216,0.218,207.929,18.736,129.867,26.044,0000,1.0,7.0,0011,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.3577877,14.529,0.082,14.716,0.355,244.472,18.399,81.968,26.798,0000,1.0,1.0,0011,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.2916993,14.563,0.079,14.166,0.201,236.944,17.337,136.079,25.154,0000,1.0,3.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.2254835,14.635,0.088,14.169,0.206,221.786,17.98,135.682,25.717,0000,0.5,14.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.159395,14.828,0.098,14.212,0.232,185.708,16.816,130.432,27.822,0000,0.5,21.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55527.0270907,14.716,0.12,13.935,0.161,205.925,22.733,168.339,25.033,0000,1.0,51.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55526.8949138,14.626,0.095,13.968,0.157,223.731,19.671,163.243,23.644,0000,1.0,93.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55526.7626096,14.79,0.095,14.614,0.28,192.281,16.753,90.023,23.248,0000,1.0,105.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.9394758,14.516,0.073,13.797,0.142,247.432,16.728,191.143,24.972,0000,1.0,11.0,0011,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.8071719,14.525,0.072,14.368,0.245,245.544,16.309,112.89,25.461,0000,1.0,4.0,0011,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.674868,14.428,0.069,14.953,0.406,268.46,17.021,65.916,24.651,0000,1.0,22.0,0011,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.542564,14.527,0.079,14.356,0.24,245.003,17.833,114.148,25.215,0000,0.5,49.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.4764758,14.535,0.082,14.363,0.254,243.223,18.358,113.484,26.507,0000,1.0,69.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.4102601,14.366,0.076,14.081,0.185,284.269,20.012,147.048,25.092,0000,1.0,90.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.2779562,14.46,0.08,14.286,0.243,260.607,19.106,121.83,27.278,0000,1.0,109.0,0000,2,allwise,,,,,,,,,,,
151.7619503,-5.9220835,55339.2118679,14.544,0.091,14.814,0.409,241.121,20.216,74.853,28.191,0000,1.0,89.0,0000,2,allwise,,,,,,,,,,,
