ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
343.3726866,31.6450967,55547.7633545,11.407,0.031,11.283,0.027,4335.995,125.297,1935.58,48.544,0000,1.0,40.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.8955316,11.382,0.023,11.267,0.029,4439.817,94.317,1963.646,52.512,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55543.7953666,11.437,0.028,11.323,0.03,4217.955,108.146,1865.075,52.276,0000,1.0,36.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55546.7712624,11.369,0.029,11.302,0.03,4492.538,118.039,1902.565,52.768,0000,0.5,39.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55546.9035668,11.41,0.025,11.357,0.031,4325.873,99.35,1807.275,51.141,0000,1.0,40.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.0358712,11.323,0.024,11.235,0.034,4686.167,101.914,2023.356,62.908,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.6310501,11.484,0.024,11.242,0.028,4038.44,89.794,2009.461,52.487,0000,1.0,58.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.1680483,11.464,0.03,11.238,0.026,4114.817,112.322,2017.474,48.457,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.3003527,11.391,0.023,11.206,0.028,4400.85,92.219,2077.292,53.883,0000,1.0,133.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.3664412,11.402,0.028,11.3,0.032,4356.035,110.878,1904.675,56.198,0000,0.5,114.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.3665686,11.312,0.026,11.277,0.029,4732.519,112.948,1945.73,52.203,0000,0.5,114.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.4326571,11.372,0.026,11.3,0.03,4477.772,106.679,1905.482,53.141,0000,1.0,95.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55547.1019597,11.33,0.022,11.318,0.026,4654.001,95.447,1874.342,44.629,0000,0.5,76.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.2886693,11.283,0.032,11.208,0.027,4860.65,142.042,2074.379,52.199,0000,1.0,42.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.2225811,11.335,0.025,11.225,0.028,4635.453,107.174,2041.855,52.144,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.3548848,11.366,0.023,11.242,0.029,4504.94,95.827,2009.484,53.511,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.4209731,11.247,0.03,11.217,0.028,5027.425,140.931,2056.846,53.23,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.4211005,11.343,0.029,11.223,0.03,4598.611,121.844,2044.908,57.411,0000,1.0,40.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.4871887,11.351,0.023,11.214,0.027,4568.498,96.231,2061.68,51.087,0000,1.0,49.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.5532768,11.328,0.025,11.23,0.027,4666.194,105.542,2031.823,50.209,0000,1.0,61.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.6194924,11.392,0.025,11.196,0.028,4397.377,102.397,2097.194,54.625,0000,1.0,75.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.6855806,11.389,0.025,11.275,0.029,4410.03,100.015,1949.797,51.184,0000,1.0,92.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.8178844,11.38,0.029,11.18,0.032,4445.498,119.379,2128.27,62.107,0000,1.0,130.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.9501882,11.362,0.026,11.264,0.026,4520.163,106.658,1968.838,47.959,0000,1.0,99.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55368.082492,11.403,0.023,11.233,0.024,4351.611,92.159,2026.05,45.359,0000,1.0,69.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55366.8256698,11.353,0.022,11.261,0.029,4556.209,93.569,1974.311,52.565,0000,1.0,133.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55366.9579736,11.365,0.023,11.229,0.032,4507.053,97.096,2033.806,59.324,0000,1.0,96.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.0902774,11.388,0.024,11.261,0.028,4414.079,97.826,1975.966,50.55,0000,1.0,67.0,0000,1,allwise,,,,,,,,,,,
343.3726866,31.6450967,55367.2887966,11.368,0.025,11.218,0.032,4495.927,102.782,2054.93,60.032,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
343.3726543,31.6452018,57558.21235168,,,,,,,,,0000,1.0,66.072998046875,00,1,neowise,11.511,0.021,11.464,0.032,52.2,33.7,5017.6,96.169,1870.3,55.479,AA
343.3725684,31.645134,57558.08132104,,,,,,,,,0000,1.0,84.052001953125,00,1,neowise,11.482,0.021,11.359,0.026,50.7,41.1,5155.0,101.77,2061.0,50.103,AA
343.3726819,31.645117,57557.95029041,,,,,,,,,0000,1.0,115.1709976196289,00,1,neowise,11.449,0.018,11.28,0.028,59.8,38.6,5313.4,88.803,2215.0,57.412,AA
343.3726697,31.645163,57558.27780322,,,,,,,,,0000,1.0,57.4370002746582,00,1,neowise,11.407,0.019,11.271,0.026,58.0,41.0,5519.5,95.127,2234.0,54.437,AA
343.3726781,31.6451566,57558.34338222,,,,,,,,,0000,1.0,48.5099983215332,00,1,neowise,11.396,0.022,11.359,0.033,49.9,33.3,5576.0,111.82,2060.3,61.864,AA
343.3726519,31.6451279,57558.40883385,,,,,,,,,0000,1.0,47.54899978637695,00,1,neowise,11.464,0.018,11.327,0.028,59.4,38.2,5237.7,88.153,2121.5,55.489,AA
343.3726509,31.6451619,57558.67089508,,,,,,,,,0000,1.0,80.38500213623047,00,1,neowise,11.44,0.021,11.328,0.027,52.0,40.4,5354.9,103.01,2119.2,52.393,AA
