ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
67.3177044,69.5336122,55451.5562133,13.525,0.06,13.43,0.093,616.67,33.969,268.036,23.042,ddO0,1.0,81.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55260.2981308,13.343,0.041,13.355,0.085,729.099,27.312,287.002,22.357,ddO0,0.5,118.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.2996426,13.479,0.06,13.329,0.079,643.179,35.747,294.078,21.472,ddO0,1.0,77.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55260.1656995,13.309,0.044,13.333,0.075,752.168,30.529,292.889,20.3,ddO0,0.5,107.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55259.9673072,13.333,0.04,13.297,0.078,735.944,26.943,302.919,21.787,ddO0,1.0,82.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55259.9010915,13.377,0.039,13.228,0.072,706.951,25.37,322.68,21.266,ddO0,1.0,76.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55259.8350032,13.294,0.044,13.308,0.076,762.888,30.851,299.885,20.909,ddO0,1.0,74.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55259.5702678,13.334,0.04,13.175,0.067,735.352,26.856,338.7,20.91,ddO0,1.0,88.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55259.5041795,13.31,0.043,13.294,0.086,751.67,29.553,303.751,23.998,ddO0,1.0,97.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55259.4379697,13.423,0.047,13.088,0.065,677.408,29.39,367.032,22.046,ddO0,1.0,105.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55259.3056656,13.44,0.043,13.388,0.077,666.855,26.546,278.552,19.771,ddO0,1.0,118.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55451.4239092,13.451,0.058,13.337,0.079,660.135,35.107,291.957,21.241,ddO0,1.0,76.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55451.2917324,13.317,0.053,13.332,0.08,746.808,36.538,293.202,21.716,ddO0,1.0,77.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55451.2255166,13.471,0.059,13.343,0.091,647.82,35.213,290.392,24.321,ddO0,1.0,83.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55451.1594283,13.41,0.054,13.222,0.075,685.78,33.959,324.571,22.455,ddO0,1.0,91.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55451.0932126,12.664,0.059,13.334,0.082,1363.262,74.41,292.6,22.078,ddO0,1.0,99.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55451.0271242,13.342,0.055,13.385,0.086,729.672,37.185,279.308,22.107,ddO0,1.0,107.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.8287316,13.461,0.066,13.369,0.085,654.165,39.845,283.497,22.251,ddO0,1.0,113.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.762516,13.367,0.056,13.193,0.076,713.098,37.018,333.268,23.333,ddO0,1.0,105.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.6964276,13.374,0.049,13.209,0.081,708.681,32.237,328.285,24.431,ddO0,1.0,97.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.6303392,13.412,0.069,13.385,0.083,683.922,43.751,279.257,21.46,ddO0,1.0,89.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.9610358,13.395,0.056,13.547,0.106,695.319,35.75,240.631,23.429,ddO0,1.0,113.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.89482,13.425,0.053,12.909,0.092,675.921,33.256,432.79,36.529,ddO0,1.0,117.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.5641235,13.339,0.053,13.365,0.082,732.118,36.026,284.368,21.41,ddO0,1.0,82.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55450.4318194,13.402,0.061,13.244,0.076,690.572,38.977,317.969,22.227,ddO0,1.0,76.0,0000,2,allwise,,,,,,,,,,,
67.3177044,69.5336122,55260.1658268,13.305,0.044,13.156,0.069,754.915,30.552,344.814,22.066,ddO0,1.0,107.0,0000,2,allwise,,,,,,,,,,,
67.3166539,69.5339413,56912.76216102,,,,,,,,,0000,1.0,102.72699737548828,00,1,neowise,13.489,0.038,13.48,0.106,28.2,10.3,809.39,28.662,291.7,28.393,AA
