ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
11.4256248,0.0563585,55557.4774743,15.691,0.247,15.259,,83.88,19.08,9.985,19.862,0000,1.0,69.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.6734097,16.133,0.325,15.285,,55.817,16.707,-20.531,24.259,0000,1.0,78.0,0011,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.6096513,16.422,0.34,14.952,,42.783,13.4,28.813,18.57,0000,0.5,30.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.6097787,16.106,0.246,15.564,0.529,57.222,12.974,37.532,18.297,0000,0.5,31.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.6758671,16.016,0.3,14.977,,62.17,17.153,19.311,22.555,0000,0.5,21.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.7419557,15.766,0.191,15.314,0.442,78.29,13.795,47.233,19.225,0000,1.0,13.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.8080442,15.851,0.219,15.222,0.402,72.372,14.603,51.439,19.066,0000,1.0,3.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.8081715,16.382,0.322,15.012,,44.37,13.167,25.43,18.479,0000,1.0,4.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.9403486,15.874,0.213,14.79,,70.847,13.93,34.497,21.021,0000,1.0,11.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55558.072653,16.719,0.45,14.846,,32.544,13.503,32.972,19.866,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.9380171,16.099,0.258,14.749,0.299,57.574,13.664,79.483,21.884,0000,1.0,82.0,0011,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55379.0703208,15.666,0.169,15.118,,85.821,13.346,11.727,22.424,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55379.2026246,15.606,0.161,15.41,,90.675,13.422,-15.16,21.629,0000,1.0,20.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.2128655,16.321,0.328,15.425,0.493,46.967,14.188,42.661,19.374,0000,1.0,89.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55557.3451699,15.66,0.17,14.966,,86.307,13.512,28.727,18.173,0000,1.0,111.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.7394979,15.894,0.234,14.827,0.362,69.579,15.0,74.011,24.69,0000,1.0,99.0,0011,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.7396252,15.713,0.202,15.017,0.462,82.196,15.281,62.111,26.452,0000,1.0,99.0,0011,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.8057134,15.837,0.21,14.553,,73.331,14.184,43.908,25.657,0000,1.0,119.0,0011,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.0781112,16.285,0.299,15.212,,48.55,13.371,14.443,18.736,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.210415,16.013,0.227,14.742,0.264,62.326,13.045,79.991,19.475,0000,1.0,19.0,0000,1,allwise,,,,,,,,,,,
11.4256248,0.0563585,55378.3427187,16.318,0.313,15.225,,47.054,13.577,11.662,19.823,0000,1.0,5.0,0011,1,allwise,,,,,,,,,,,
