ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
24.2634538,0.0325803,55568.45441,15.223,0.123,14.947,0.309,129.101,14.586,66.269,18.863,0000,1.0,76.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.5204985,15.136,0.115,14.95,0.304,139.848,14.789,66.079,18.529,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.652803,15.141,0.163,14.516,0.231,139.174,20.85,98.494,20.944,0000,1.0,23.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.3881941,15.611,0.213,14.944,0.321,90.315,17.678,66.462,19.624,0000,1.0,97.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.9172844,15.191,0.123,14.927,0.306,132.907,15.012,67.468,19.007,0000,1.0,7.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.3221056,15.154,0.119,15.44,0.509,137.491,15.117,42.061,19.725,0000,1.0,117.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.78498,15.156,0.116,14.834,0.283,137.334,14.687,73.487,19.122,0000,1.0,6.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55567.9253198,15.173,0.118,14.979,0.316,135.18,14.703,64.343,18.737,0000,1.0,8.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55392.9620864,15.221,0.134,14.995,0.439,129.342,15.989,63.372,25.644,0000,1.0,75.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.1898012,15.485,0.187,15.441,0.477,101.347,17.439,42.017,18.453,0000,1.0,81.0,0000,1,allwise,,,,,,,,,,,
24.2634538,0.0325803,55568.2560171,15.304,0.129,14.906,0.297,119.787,14.223,68.824,18.833,0000,1.0,102.0,0000,1,allwise,,,,,,,,,,,
