ra,dec,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,cc_flags,ph_qual,qi_fact,saa_sep,moon_masked,nb,source_table
129.6037433,25.7602713,60403.10859826,14.95,0.095,14.637,0.278,11.4,3.9,210.99,18.496,100.56,25.79,0000,AB,1.0,56.424,00,1,neowise
129.6032078,25.7590994,60402.91568117,14.696,0.144,15.126,0.542,7.5,2.0,266.59,35.328,64.116,32.029,0000,BC,1.0,34.585,00,1,neowise
129.6039214,25.7602875,59307.98443183,15.173,0.12,15.022,0.355,9.0,3.1,171.83,19.034,70.55,23.042,0000,BB,1.0,32.484,00,1,neowise
129.603533,25.7587724,57690.15677751,14.507,0.089,14.879,0.472,12.1,2.3,317.75,26.169,80.534,34.975,0000,AC,1.0,53.776,00,1,neowise
129.6032673,25.7578288,57690.2878088,14.588,0.094,13.621,,11.5,1.3,294.83,25.578,101.6,77.509,0000,AU,1.0,37.413,00,1,neowise
129.6028907,25.7599417,58418.95659795,14.896,0.095,14.925,0.504,11.4,2.2,221.79,19.405,77.189,35.865,0000,AC,1.0,112.216,00,1,neowise
129.6035348,25.7602141,59671.55553025,15.171,0.107,14.44,0.219,10.1,5.0,172.16,17.018,120.57,24.29,0000,AB,1.0,82.815,00,1,neowise
129.6031037,25.7606782,58212.60111807,15.066,0.122,14.895,0.296,8.9,3.7,189.69,21.272,79.29,21.611,0000,BB,1.0,69.141,00,1,neowise
129.6036718,25.7603054,57487.6192136,15.05,0.137,14.244,,8.0,2.0,192.73,24.237,71.688,36.236,0000,BU,1.0,60.804,00,1,neowise
129.6033953,25.7600651,57488.20904536,15.282,0.167,15.189,0.485,6.5,2.2,155.56,23.904,60.399,26.969,0000,BC,1.0,90.278,00,2,neowise
129.6035308,25.7605299,59517.41803541,15.262,0.137,14.794,0.332,7.9,3.3,158.26,19.945,87.04,26.652,0000,BB,1.0,19.37,11,1,neowise
129.6039863,25.7600823,59514.01938794,14.934,0.114,14.38,,9.5,1.8,214.15,22.528,59.478,33.981,0000,BU,1.0,94.316,01,1,neowise
129.6032803,25.7598178,56961.30239272,14.893,0.093,12.302,0.108,11.7,10.1,222.15,19.011,863.0,85.562,0000,AA,1.0,33.012,00,1,neowise
129.6037774,25.7603625,57851.63485041,14.792,0.101,14.395,0.291,10.8,3.7,244.43,22.654,125.76,33.742,0000,AB,1.0,60.33,00,1,neowise
129.6039013,25.7602145,58576.67894684,14.815,0.109,14.89,0.353,10.0,3.1,239.0,24.012,79.657,25.89,0000,AB,1.0,59.102,00,1,neowise
129.6029648,25.7590955,60038.43711899,14.441,0.096,14.301,0.247,11.4,4.4,337.13,29.663,137.06,31.184,0000,AB,1.0,115.758,00,1,neowise
129.6037259,25.7602733,59881.83285955,15.123,0.111,14.633,0.299,9.8,3.6,179.88,18.375,100.98,27.803,0000,BB,1.0,107.636,00,1,neowise
129.6040636,25.7600577,59881.24621396,15.016,0.11,14.501,0.32,9.9,3.4,198.58,20.107,113.97,33.616,0000,BB,1.0,40.242,00,1,neowise
129.6030305,25.7599798,59881.96312625,15.048,0.133,15.041,0.438,8.2,2.5,192.85,23.636,69.333,27.956,0000,BC,1.0,108.602,00,1,neowise
129.603719,25.7602631,57323.29234377,15.517,0.169,14.637,,6.4,1.1,125.33,19.508,35.886,32.261,0000,BU,1.0,36.593,00,1,neowise
129.6036265,25.7596018,57323.62036677,14.992,0.099,15.008,0.361,11.0,3.0,203.26,18.518,71.306,23.727,0000,AC,1.0,60.925,00,1,neowise
129.6030195,25.7599237,58785.97191269,14.881,0.095,14.538,0.301,11.4,3.6,224.78,19.666,110.22,30.554,0000,AB,0.5,107.65,00,1,neowise
129.6035268,25.760345,59150.05283321,14.978,0.101,14.517,0.275,10.8,4.0,205.68,19.117,112.34,28.423,0000,AB,1.0,84.808,00,1,neowise
