ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
188.4516517,15.1819764,55552.8789127,16.161,0.268,14.842,,54.4,13.426,33.473,19.765,0000,1.0,111.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.9450013,16.316,,15.464,,17.342,14.905,1.68,19.74,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.9451286,16.725,0.443,15.515,,32.36,13.208,1.624,18.817,0000,1.0,90.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55553.2756987,16.395,0.323,15.301,,43.839,13.059,10.633,18.601,0000,1.0,28.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55553.1433942,15.9,0.215,15.552,,69.168,13.691,-2.135,18.976,0000,1.0,46.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55553.1435216,16.35,0.302,14.863,,45.713,12.699,33.147,19.228,0000,1.0,45.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55553.0112172,16.254,0.293,15.377,,49.93,13.478,-48.238,22.293,0000,1.0,71.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55363.4286853,16.463,0.306,15.423,,41.189,11.607,7.318,17.7,0000,1.0,93.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.8128242,16.552,0.422,15.315,,37.936,14.752,-6.216,23.593,0000,1.0,129.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55363.6932929,15.849,0.208,14.89,,72.54,13.888,26.18,21.813,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55363.8255967,16.206,,15.465,,25.005,13.602,-28.42,20.557,0000,1.0,27.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55363.891685,16.417,0.345,15.367,,42.988,13.658,10.249,17.366,0000,1.0,27.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55363.9579006,15.778,0.174,14.968,,77.38,12.422,28.939,18.021,0000,1.0,36.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55364.0239887,16.571,0.378,15.637,,37.306,12.989,-32.909,17.541,0000,1.0,49.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55364.0902044,16.292,0.287,15.291,,48.214,12.757,13.917,17.166,0000,1.0,65.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55364.1562926,16.803,0.466,15.525,0.522,30.107,12.928,38.909,18.719,0000,1.0,84.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55364.2885963,16.188,0.346,15.312,,53.068,16.917,11.483,17.925,0000,1.0,126.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55364.4209001,15.543,0.153,15.618,,96.092,13.517,-5.349,17.863,0000,1.0,95.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55366.8022394,16.551,0.369,15.425,,37.995,12.914,-3.665,21.33,0000,1.0,25.0,0011,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.2837339,14.243,0.515,13.498,,318.412,151.058,37.559,107.009,0000,1.0,27.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.4160383,16.032,0.235,15.567,,61.279,13.287,-6.126,18.71,0000,1.0,26.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.5482153,16.152,0.263,15.118,,54.866,13.309,11.473,22.554,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.6805198,16.266,0.285,14.87,0.348,49.396,12.961,71.109,22.825,0000,1.0,86.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.7466083,16.762,0.455,15.533,,31.264,13.089,-6.489,19.314,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55552.7467357,16.727,0.473,,,32.312,14.086,,,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
188.4516517,15.1819764,55363.560989,16.259,0.309,15.547,,49.704,14.168,-37.35,19.057,0000,1.0,58.0,0000,1,allwise,,,,,,,,,,,
188.450639,15.1813792,57379.49007966,,,,,,,,,0000,1.0,25.288000106811523,00,1,neowise,15.873,0.464,15.259,,2.3,-1.5,90.307,38.581,-41.263,28.299,CU
188.4513371,15.1817019,58842.22587463,,,,,,,,,0000,0.5,30.445999145507812,00,1,neowise,16.0,0.214,14.873,,5.1,-1.4,80.259,15.799,-56.465,40.457,BU
188.4516386,15.1808162,58841.50577852,,,,,,,,,0000,1.0,15.107999801635742,00,1,neowise,16.147,0.257,15.18,,4.2,0.1,70.099,16.563,2.1922,29.402,BU
188.4517227,15.1814589,58842.35665061,,,,,,,,,0000,1.0,14.397000312805176,00,1,neowise,16.363,,14.891,,1.4,0.0,23.817,16.81,0.087917,39.746,UU
188.4515073,15.1802642,58841.83329169,,,,,,,,,0000,1.0,102.05000305175781,00,1,neowise,16.649,0.491,14.987,,2.2,1.1,44.135,19.955,25.443,23.703,CU
188.4524307,15.1793533,58841.76796738,,,,,,,,,0000,1.0,80.7030029296875,00,1,neowise,16.13,,14.964,0.541,1.9,2.0,34.831,18.187,74.461,37.121,UC
188.4520371,15.1812721,59206.61355789,,,,,,,,,0000,1.0,33.525001525878906,00,1,neowise,16.168,,15.008,,1.9,0.9,33.579,17.585,22.374,24.538,UU
188.4503634,15.1812143,59937.73565837,,,,,,,,,0000,1.0,73.1050033569336,00,1,neowise,15.862,0.452,15.404,,2.4,-0.6,91.084,37.956,-14.349,24.808,CU
188.4520174,15.1814273,57546.65835157,,,,,,,,,0000,0.5,46.64099884033203,00,1,neowise,16.076,0.244,15.395,,4.5,0.4,74.88,16.819,8.0969,20.994,BU
188.4521005,15.1812203,57546.26513183,,,,,,,,,0000,1.0,100.9489974975586,00,1,neowise,15.325,0.171,14.904,,6.4,0.8,149.58,23.556,22.191,28.27,BU
188.4509047,15.1800958,59729.45304168,,,,,,,,,0000,0.5,110.03500366210938,00,1,neowise,15.808,0.2,13.937,0.312,5.4,3.5,95.749,17.682,191.68,55.083,BB
188.4509196,15.1812971,56650.46343388,,,,,,,,,0000,1.0,29.014999389648438,00,1,neowise,16.281,0.341,14.93,,3.2,-0.6,62.228,19.544,-21.452,38.937,BU
188.4511103,15.1814709,57746.94491144,,,,,,,,,0000,1.0,103.625,00,1,neowise,16.056,0.24,15.511,,4.5,-0.8,76.27,16.832,-18.57,22.488,BU
188.4528652,15.1796412,57746.29001095,,,,,,,,,0000,1.0,26.19499969482422,00,1,neowise,15.85,0.418,15.537,,2.6,-0.3,92.248,35.525,-6.1241,21.963,CU
188.4527649,15.179845,57746.09352816,,,,,,,,,0000,1.0,58.112998962402344,00,1,neowise,16.212,,14.86,0.391,0.5,2.8,12.471,26.795,81.932,29.498,UC
188.4522533,15.1805328,57746.81388044,,,,,,,,,0000,0.5,108.25,00,1,neowise,16.551,0.427,15.257,,2.5,0.0,48.366,19.027,-0.0079235,28.416,CU
188.450438,15.1800488,60460.66090581,,,,,,,,,0000,1.0,54.167999267578125,00,1,neowise,16.446,0.316,14.923,,3.4,-0.5,53.182,15.481,-19.092,38.655,BU
188.4502026,15.1791707,57910.03994787,,,,,,,,,0000,0.5,34.608001708984375,00,1,neowise,15.513,0.153,15.049,,7.1,0.3,125.63,17.686,9.4287,29.704,BU
188.4505923,15.1798413,60096.62891993,,,,,,,,,0000,1.0,56.7599983215332,00,1,neowise,16.809,0.527,14.953,,2.1,0.4,38.092,18.478,12.352,31.43,CU
188.450884,15.180659,60097.34290354,,,,,,,,,0000,1.0,114.78600311279297,00,1,neowise,15.782,0.189,15.271,,5.8,-0.7,98.115,17.035,-18.787,28.046,BU
188.4505999,15.1811375,57746.09352816,,,,,,,,,0000,1.0,58.112998962402344,00,1,neowise,16.007,0.248,15.564,,4.4,0.0,79.79,18.252,-0.30487,21.425,BU
188.4526337,15.1806768,59001.45132769,,,,,,,,,0000,1.0,110.9229965209961,11,1,neowise,15.573,0.266,14.714,,4.1,-0.1,118.86,29.08,-2.7298,46.851,BU
188.4512766,15.1816669,59206.48278179,,,,,,,,,0000,0.5,9.255000114440918,00,1,neowise,16.367,,15.362,,1.7,-1.4,26.369,15.417,-35.527,25.794,UU
188.4513431,15.1814189,59205.76344936,,,,,,,,,0000,0.5,79.02200317382812,00,1,neowise,15.858,0.229,14.91,,4.7,0.8,91.472,19.292,23.158,27.547,BU
188.4523259,15.1812071,58633.92001824,,,,,,,,,0000,1.0,22.663000106811523,00,1,neowise,16.257,,15.05,,2.0,0.7,31.338,15.979,16.922,25.923,UU
188.4502779,15.1797191,58841.8334191,,,,,,,,,0000,0.0,101.7959976196289,00,1,neowise,16.182,0.297,14.861,0.433,3.6,2.5,67.873,18.598,81.813,32.636,BC
188.4502327,15.1799255,58841.89874345,,,,,,,,,0000,1.0,121.94000244140625,00,1,neowise,16.312,,14.139,0.33,1.0,3.3,19.793,20.21,159.12,48.405,UB
188.4518181,15.1809516,59937.01912645,,,,,,,,,0000,0.5,84.4280014038086,00,1,neowise,15.801,0.192,15.278,,5.6,-0.9,96.412,17.066,-24.131,27.863,BU
188.4520604,15.1795233,59937.86592519,,,,,,,,,0000,1.0,114.85600280761719,00,1,neowise,16.237,0.272,14.537,,4.0,1.4,64.503,16.154,44.978,32.681,BU
188.4515229,15.1813912,58269.60142215,,,,,,,,,0000,1.0,62.888999938964844,00,1,neowise,16.325,0.356,15.056,,3.1,0.9,59.483,19.49,21.096,23.656,BU
188.4515258,15.1812653,58270.05958438,,,,,,,,,0000,0.5,36.255001068115234,00,1,neowise,16.53,0.338,14.331,,3.2,1.4,49.244,15.309,55.317,38.997,BU
188.4520317,15.1812751,59365.44005475,,,,,,,,,0000,1.0,114.44300079345703,00,1,neowise,16.084,0.305,15.558,,3.6,-1.0,74.232,20.841,-21.813,21.529,BU
188.4518662,15.1816383,59365.3094061,,,,,,,,,0000,0.5,100.44100189208984,00,1,neowise,15.992,0.221,14.982,,4.9,1.4,80.864,16.493,29.551,21.83,BU
188.4511035,15.1814977,56653.49446397,,,,,,,,,0000,0.5,33.25199890136719,00,1,neowise,16.308,,14.644,,1.9,1.7,29.799,15.469,47.174,27.138,UU
188.4515118,15.1816402,56650.52939501,,,,,,,,,0000,1.0,41.54199981689453,00,1,neowise,16.246,0.276,14.789,,3.9,-0.9,64.305,16.358,-38.871,44.365,BU
188.4514271,15.1814517,56653.23087406,,,,,,,,,0000,1.0,33.731998443603516,00,1,neowise,16.065,0.253,14.586,,4.3,1.7,75.996,17.722,48.811,29.108,BU
188.4515198,15.1813796,56650.72702389,,,,,,,,,0000,0.5,96.03900146484375,01,1,neowise,15.954,0.315,14.58,,3.4,1.0,84.133,24.424,35.615,35.985,BU
