ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
333.4564303,39.2386545,55363.1195091,13.082,0.036,12.628,0.048,927.212,30.934,560.94,24.677,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.1855974,13.127,0.035,12.524,0.043,889.672,28.584,616.909,24.252,0000,1.0,65.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.8874714,13.051,0.035,12.673,0.068,954.531,31.175,538.142,33.753,0000,0.5,47.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.8212556,13.137,0.035,12.764,0.056,881.517,28.262,494.589,25.687,0000,1.0,46.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.7551671,13.12,0.039,12.615,0.052,895.387,31.822,567.804,27.085,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.6890785,13.101,0.038,12.694,0.052,911.11,32.216,527.657,25.223,0000,1.0,57.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.6228626,13.034,0.037,12.595,0.046,969.519,33.3,578.349,24.488,0000,1.0,65.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55544.2601511,13.071,0.038,12.653,0.055,936.38,32.556,547.866,27.605,0000,1.0,123.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55541.4164344,13.139,0.046,12.744,0.058,879.962,36.914,504.182,26.749,0000,1.0,102.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55541.2842573,13.211,0.043,12.794,0.055,823.558,32.326,481.25,24.463,0000,1.0,130.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55541.1519529,13.015,0.033,12.692,0.058,986.039,30.175,528.637,28.237,0000,1.0,94.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55541.0858644,13.044,0.047,12.723,0.054,959.967,41.352,513.902,25.743,0000,1.0,79.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55541.0196485,13.14,0.037,12.701,0.051,878.734,30.048,524.373,24.716,0000,0.5,64.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.9535599,13.131,0.038,12.698,0.052,886.598,31.382,525.703,25.072,0000,1.0,54.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.0532936,13.063,0.034,12.504,0.053,943.367,29.557,628.768,30.511,0000,1.0,81.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55362.9872054,13.106,0.036,12.657,0.055,907.09,30.227,546.237,27.748,0000,1.0,94.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55362.8549016,13.1,0.034,12.582,0.051,911.989,28.217,585.014,27.359,0000,1.0,128.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55362.7225977,13.008,0.035,12.49,0.048,992.208,31.873,636.946,28.038,0000,1.0,104.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55362.5902939,13.129,0.037,12.538,0.044,887.683,30.002,609.288,24.627,0000,1.0,73.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.5567741,13.083,0.039,12.739,0.061,926.241,33.288,506.367,28.242,0000,1.0,73.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.2922926,13.058,0.04,12.729,0.059,947.676,34.787,510.78,27.926,0000,1.0,132.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.2921653,12.968,0.036,12.599,0.053,1029.566,33.828,575.786,27.857,0000,1.0,132.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55540.1599882,13.031,0.039,12.661,0.053,971.876,35.228,543.982,26.346,0000,1.0,96.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.9794202,13.13,0.038,12.605,0.048,887.557,30.752,572.842,25.14,0000,1.0,97.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.8471164,13.155,0.044,12.694,0.058,867.311,35.025,527.545,28.419,0000,1.0,130.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.7148126,13.198,0.038,12.733,0.062,833.138,29.48,509.294,29.264,0000,1.0,102.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.5825087,13.155,0.037,12.659,0.051,867.284,29.688,545.234,25.595,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.5164205,13.1,0.043,12.791,0.063,912.293,36.241,482.806,27.976,0000,1.0,59.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.450205,13.135,0.038,12.574,0.045,883.229,31.056,589.268,24.582,0000,1.0,51.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.3841167,13.139,0.041,12.629,0.047,879.508,33.05,560.089,24.079,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.3179011,13.079,0.035,12.648,0.051,929.711,30.086,550.442,26.099,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
333.4564303,39.2386545,55363.2518129,13.113,0.043,12.689,0.049,901.112,35.286,530.286,23.859,0000,1.0,54.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.1599882,12.212,0.032,12.276,0.047,2065.803,60.537,775.799,33.303,0000,1.0,96.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.7148126,12.269,0.029,12.194,0.039,1961.212,52.044,836.162,30.08,0000,1.0,102.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.5825087,12.29,0.027,12.186,0.04,1923.973,48.648,842.313,30.89,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.5164205,12.052,0.033,12.087,0.045,2395.002,72.831,922.838,37.981,0000,1.0,59.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.450205,12.179,0.031,12.178,0.04,2130.952,60.466,849.078,31.384,0000,1.0,51.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.3841167,12.289,0.032,12.232,0.042,1925.51,57.229,807.648,31.556,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.3179011,12.271,0.028,12.203,0.041,1956.653,51.125,829.515,31.288,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.2518129,12.227,0.035,12.263,0.042,2038.808,65.876,784.66,30.006,0000,1.0,54.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.1855974,12.278,0.026,12.158,0.039,1943.927,46.435,864.69,31.393,0000,1.0,65.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.1195091,12.184,0.029,12.186,0.038,2119.761,55.866,842.38,29.598,0000,1.0,72.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55363.0532936,12.242,0.028,12.146,0.043,2009.302,51.599,873.926,34.959,0000,1.0,81.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55362.9872054,12.224,0.029,12.197,0.041,2042.847,55.04,834.052,31.382,0000,1.0,94.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55362.8549016,12.261,0.026,12.144,0.039,1974.635,48.126,875.799,31.61,0000,1.0,128.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55362.7225977,12.205,0.029,12.142,0.039,2080.039,55.994,877.589,31.602,0000,1.0,104.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55362.5902939,12.285,0.027,12.162,0.037,1931.552,47.797,861.162,29.353,0000,1.0,73.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55544.2601511,12.313,0.035,12.192,0.044,1883.529,61.419,837.853,33.592,0000,1.0,123.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55541.4164344,12.199,0.034,12.113,0.039,2090.701,66.329,901.29,32.513,0000,1.0,102.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55541.2842573,12.223,0.03,12.271,0.04,2045.529,55.734,778.999,28.606,0000,1.0,130.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55541.1519529,12.34,0.031,12.316,0.05,1836.381,51.807,747.456,34.641,0000,1.0,94.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55541.0858644,12.202,0.033,12.304,0.046,2085.07,63.425,755.806,32.3,0000,1.0,79.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55541.0196485,12.237,0.028,12.221,0.039,2019.129,52.38,815.932,29.096,0000,0.5,64.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.9535599,12.26,0.029,12.175,0.041,1977.773,53.528,851.518,32.294,0000,1.0,54.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.8874714,12.281,0.032,12.268,0.041,1939.635,57.433,781.248,29.376,0000,0.5,47.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.8212556,12.263,0.026,12.206,0.041,1971.751,47.066,826.825,31.267,0000,1.0,46.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.7551671,12.294,0.033,12.211,0.043,1916.812,59.074,823.709,32.626,0000,1.0,48.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.6890785,12.139,0.032,12.211,0.04,2210.289,64.461,823.523,30.21,0000,1.0,57.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.6228626,12.171,0.03,12.241,0.041,2146.01,58.98,800.719,30.517,0000,1.0,65.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.5567741,12.202,0.029,12.211,0.043,2086.364,56.222,823.448,32.831,0000,1.0,73.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.4906856,12.338,0.032,12.333,0.054,1840.257,54.463,736.168,36.702,0000,1.0,85.0,0000,2,allwise,,,,,,,,,,,
333.4536597,39.2367312,55540.2922926,12.159,0.03,12.088,0.05,2168.744,58.929,922.189,42.862,0000,1.0,132.0,0000,2,allwise,,,,,,,,,,,
