ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
8.8756943,-2.6581668,55374.771026,12.386,0.034,12.359,0.045,1759.663,55.173,718.558,30.042,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.0355063,12.384,0.029,12.317,0.04,1763.954,46.604,746.992,27.755,0000,1.0,50.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55374.9033299,12.384,0.034,12.318,0.045,1763.28,55.482,746.285,30.695,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.6995916,12.393,0.035,12.486,0.052,1749.818,56.059,639.16,30.648,0000,0.5,16.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.6335031,12.461,0.03,12.578,0.054,1642.388,45.92,587.257,29.425,0000,0.5,24.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.8979845,12.488,0.034,12.444,0.048,1602.293,49.715,664.188,29.317,0000,1.0,2.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55555.0302889,12.402,0.029,12.476,0.048,1734.947,46.467,645.022,28.316,0000,1.0,29.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.0356336,12.341,0.032,12.393,0.049,1834.097,53.818,696.376,31.687,0000,1.0,49.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.16781,12.283,0.028,12.36,0.046,1934.901,50.413,717.929,30.267,0000,1.0,21.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.1679374,12.324,0.029,12.353,0.045,1864.035,49.935,722.331,30.119,0000,1.0,21.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.2340256,12.371,0.03,12.288,0.046,1784.482,49.754,767.043,32.288,0000,1.0,13.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.3001137,12.382,0.032,12.494,0.054,1766.667,51.507,634.267,31.798,0000,0.5,4.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.3663292,12.376,0.026,9.688,,1776.66,42.366,3435.787,2487.862,0000,1.0,2.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.4324175,12.358,0.029,12.35,0.043,1807.088,48.171,724.219,28.7,0000,1.0,10.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.498633,12.372,0.029,12.433,0.048,1782.702,47.354,671.117,29.55,0000,1.0,24.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.6309367,12.386,0.031,12.353,0.044,1760.632,49.692,722.449,29.577,0000,1.0,63.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.7632411,12.421,0.031,12.429,0.049,1703.965,49.413,673.568,30.356,0000,1.0,105.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55375.8955449,12.4,0.034,12.405,0.053,1737.943,54.079,688.671,33.665,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.1706288,12.477,0.034,12.475,0.051,1618.319,50.365,645.825,30.443,0000,0.5,74.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.3028059,12.468,0.029,12.312,0.047,1632.914,43.331,750.404,32.347,0000,1.0,114.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.4351102,12.461,0.029,12.475,0.053,1642.889,44.589,645.571,31.734,0000,0.5,81.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.5011987,12.405,0.029,12.526,0.049,1730.503,46.604,615.986,27.876,0000,0.5,60.0,0000,1,allwise,,,,,,,,,,,
8.8756943,-2.6581668,55554.5674146,12.423,0.035,12.522,0.055,1701.354,55.205,618.145,31.579,0000,0.5,40.0,0000,1,allwise,,,,,,,,,,,
