ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
229.2044502,-0.1297684,55412.8408886,15.833,0.206,14.995,,73.603,13.98,27.331,18.038,0000,1.0,7.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55412.7085848,16.594,,15.226,,8.693,13.91,13.179,19.036,0000,1.0,21.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55412.5762809,16.325,0.288,15.643,,46.787,12.431,-0.519,17.446,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.7358669,15.834,0.198,14.563,,73.525,13.397,38.759,27.788,0000,1.0,99.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.8020827,16.038,0.253,14.814,,60.951,14.21,19.045,27.905,0000,1.0,119.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.8681711,16.425,0.337,15.175,,42.644,13.248,8.232,22.725,0000,1.0,106.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.9343869,16.033,0.24,14.954,,61.223,13.521,16.159,24.829,0000,1.0,85.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.2065322,16.302,0.306,14.79,,47.777,13.483,24.995,25.777,0000,1.0,23.0,0011,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.3388365,15.967,0.251,14.856,,65.021,15.011,-24.166,36.006,0000,1.0,8.0,0011,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.4712682,16.634,0.41,15.246,,35.176,13.282,-1.274,25.151,0000,1.0,22.0,0011,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.6035627,15.894,0.223,14.979,,69.556,14.294,16.809,23.772,0000,1.0,56.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55231.6697785,16.098,0.26,15.08,,57.657,13.827,7.735,25.437,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55232.0666911,15.918,0.215,15.175,,68.044,13.49,-17.872,26.863,0000,1.0,45.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55232.1991226,16.518,0.397,14.806,,39.171,14.326,25.191,25.131,0000,1.0,23.0,0011,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55233.4562032,16.298,0.33,,,47.952,14.582,,,0000,1.0,18.0,0111,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55233.5886347,16.328,0.285,,,46.627,12.261,,,0000,1.0,51.0,0111,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55233.7209389,16.549,0.402,14.656,,38.042,14.073,40.832,22.898,0000,1.0,94.0,0011,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55233.8532431,16.709,0.533,14.918,,32.83,16.126,23.37,22.327,0000,1.0,110.0,0011,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55233.9194589,16.243,,14.963,,22.31,14.06,16.962,24.175,0000,1.0,89.0,0011,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55233.9855473,16.407,0.335,14.956,,43.383,13.39,25.159,20.285,0000,1.0,68.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55234.0517631,15.895,,15.412,,13.574,27.973,-22.534,21.583,0000,1.0,48.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55234.1178515,16.234,0.271,14.894,,50.857,12.688,25.817,21.883,0000,1.0,33.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55234.1179788,16.247,0.275,15.501,,50.237,12.729,-5.977,19.889,0000,1.0,32.0,0000,1,allwise,,,,,,,,,,,
229.2044502,-0.1297684,55234.1840672,16.055,0.236,15.431,,60.005,13.051,-39.874,21.218,0000,1.0,25.0,0000,1,allwise,,,,,,,,,,,
