ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
149.5873068,32.4006242,55512.9343298,12.738,0.034,11.896,0.04,1272.758,39.565,1100.681,40.379,0000,1.0,103.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55321.6218055,12.696,0.029,11.84,0.037,1323.53,34.973,1159.067,39.584,0000,1.0,63.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55513.0665067,12.717,0.034,11.831,0.036,1297.585,40.572,1168.316,38.332,0000,1.0,72.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55513.1327224,12.741,0.036,11.898,0.043,1269.421,41.955,1098.283,43.702,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55513.1988108,12.738,0.034,11.918,0.039,1272.906,39.759,1078.33,38.879,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55513.331115,12.795,0.033,12.005,0.04,1207.373,36.738,995.659,37.073,0000,1.0,40.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55321.7541097,12.699,0.031,11.9,0.037,1319.722,38.218,1096.634,37.216,0000,1.0,45.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55321.8864139,12.651,0.028,11.802,0.034,1378.667,36.136,1200.525,37.459,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55321.9526297,12.739,0.033,11.832,0.044,1271.907,38.986,1167.14,46.886,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55322.0187181,12.723,0.029,11.773,0.031,1290.135,34.792,1231.988,35.605,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55322.0849339,12.717,0.033,11.862,0.035,1297.7,39.093,1135.526,37.102,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55322.1510224,12.688,0.03,11.827,0.034,1332.671,36.658,1172.629,37.166,0000,1.0,92.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55322.2172381,12.731,0.032,11.849,0.037,1280.818,37.422,1149.141,38.986,0000,1.0,110.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55322.3495423,12.685,0.031,11.825,0.032,1336.597,37.681,1174.543,34.864,0000,1.0,119.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55322.4818465,12.738,0.033,11.867,0.038,1272.927,38.281,1130.511,39.922,0000,1.0,85.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55322.6141506,12.775,0.036,11.79,0.035,1229.928,41.097,1213.564,38.589,0000,1.0,64.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55512.471329,12.751,0.031,11.861,0.035,1257.475,35.878,1136.124,36.192,0000,0.5,47.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55512.6036331,12.677,0.031,11.891,0.038,1346.776,38.019,1105.803,38.411,0000,1.0,72.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55512.7359373,12.737,0.035,11.864,0.037,1273.799,40.515,1133.736,38.409,0000,1.0,106.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55512.8681141,12.863,0.04,11.864,0.037,1134.915,42.056,1133.705,38.753,0000,1.0,122.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55321.4895013,12.682,0.031,11.848,0.031,1340.507,38.663,1149.921,32.945,0000,1.0,84.0,0000,1,allwise,,,,,,,,,,,
149.5873068,32.4006242,55513.0004182,12.742,0.033,11.927,0.036,1268.519,38.323,1069.573,35.461,0000,0.5,86.0,0000,1,allwise,,,,,,,,,,,
149.5872434,32.4006748,56786.88713429,,,,,,,,,0000,0.0,41.513999938964844,00,1,neowise,12.783,0.029,11.885,0.037,37.8,29.7,1567.6,41.434,1299.1,43.795,AA
149.5872732,32.4006279,56786.75546692,,,,,,,,,0000,0.0,45.263999938964844,00,1,neowise,12.63,0.025,11.717,0.039,43.5,27.8,1805.7,41.495,1516.1,54.569,AA
149.5871788,32.4005837,56787.01867435,,,,,,,,,0000,0.0,56.76100158691406,00,1,neowise,12.744,0.024,11.689,0.034,44.5,31.9,1626.0,36.539,1555.6,48.826,AA
149.5872908,32.4005948,56787.21617547,,,,,,,,,0000,0.0,104.38800048828125,00,1,neowise,12.496,0.026,11.669,0.035,42.3,30.8,2042.7,48.265,1584.8,51.488,AA
149.5872596,32.4006361,56787.34771549,,,,,,,,,0000,0.0,124.14800262451172,00,1,neowise,12.739,0.025,11.788,0.036,44.2,30.0,1632.6,36.961,1419.7,47.332,AA
149.587351,32.4006507,56786.62379954,,,,,,,,,0000,0.0,62.516998291015625,00,1,neowise,12.547,0.027,11.757,0.036,39.6,30.0,1948.2,49.252,1461.5,48.66,AA
149.587311,32.4006133,56787.15034177,,,,,,,,,0000,0.0,86.54000091552734,00,1,neowise,12.512,0.023,11.591,0.028,46.3,38.8,2012.1,43.432,1703.4,43.942,AA
149.5873269,32.4006118,56786.49225954,,,,,,,,,0000,1.0,85.34600067138672,00,1,neowise,12.492,0.026,11.635,0.033,41.6,33.2,2049.7,49.258,1634.6,49.288,AA
149.5872978,32.4006055,56787.08450806,,,,,,,,,0000,1.0,71.10900115966797,00,1,neowise,12.544,0.037,11.611,0.029,29.6,37.2,1953.9,66.121,1671.3,44.969,AA
149.5873348,32.4006053,56786.95284068,,,,,,,,,0000,0.0,46.32500076293945,00,1,neowise,12.599,0.027,11.778,0.034,40.5,31.9,1858.0,45.843,1433.2,44.87,AA
149.587307,32.4006052,56787.47938292,,,,,,,,,0000,0.5,88.27100372314453,00,1,neowise,12.488,0.024,11.62,0.029,46.1,37.5,2057.2,44.601,1658.4,44.219,AA
149.5873118,32.4006157,56786.82130058,,,,,,,,,0000,1.0,40.49300003051758,00,1,neowise,12.536,0.025,11.585,0.035,43.4,31.3,1969.5,45.341,1711.4,54.761,AA
149.587289,32.4005691,58232.5633978,,,,,,,,,0000,1.0,81.56500244140625,11,1,neowise,12.596,0.026,11.757,0.039,41.4,27.9,1844.9,44.524,1428.2,51.144,AA
149.5872547,32.4006545,59688.07483711,,,,,,,,,0000,1.0,53.39699935913086,00,1,neowise,12.555,0.028,11.652,0.029,38.9,37.6,1915.1,49.223,1573.0,41.821,AA
149.5872646,32.4006235,59688.53172571,,,,,,,,,0000,1.0,91.81700134277344,00,1,neowise,12.54,0.03,11.58,0.029,36.6,38.0,1942.8,53.054,1680.6,44.246,AA
149.5872987,32.4006733,59687.94418832,,,,,,,,,0000,1.0,39.36899948120117,00,1,neowise,12.558,0.032,11.592,0.031,34.1,34.8,1910.0,56.035,1662.4,47.82,AA
149.5873298,32.4006399,59687.81366694,,,,,,,,,0000,1.0,45.79800033569336,00,1,neowise,12.51,0.025,11.6,0.031,42.9,35.2,1996.8,46.542,1649.5,46.849,AA
149.5873165,32.4006472,59687.94431568,,,,,,,,,0000,1.0,40.132999420166016,00,1,neowise,12.585,0.031,11.623,0.031,34.5,34.7,1863.9,53.948,1614.7,46.539,AA
149.5873333,32.4006343,59688.20535853,,,,,,,,,0000,1.0,82.11699676513672,00,1,neowise,12.566,0.026,11.547,0.038,41.3,28.2,1896.1,45.934,1731.9,61.311,AA
149.5873184,32.4006062,59688.2706829,,,,,,,,,0000,1.0,99.70099639892578,00,1,neowise,12.526,0.027,11.572,0.034,40.9,32.3,1967.4,48.134,1692.5,52.33,AA
149.587281,32.4006457,59688.33587992,,,,,,,,,0000,1.0,118.40799713134766,00,1,neowise,12.524,0.025,11.607,0.035,43.2,30.8,1971.3,45.632,1639.1,53.25,AA
149.5872922,32.4006428,59688.40120433,,,,,,,,,0000,1.0,128.74200439453125,00,1,neowise,12.589,0.028,11.605,0.043,39.3,25.2,1856.6,47.199,1642.5,65.221,AA
149.5872945,32.4006105,59688.46652875,,,,,,,,,0000,1.0,109.73899841308594,00,1,neowise,12.562,0.026,11.597,0.027,42.6,40.1,1903.6,44.716,1653.5,41.184,AA
149.5873028,32.4005989,59688.66237446,,,,,,,,,0000,1.0,65.0780029296875,00,1,neowise,12.563,0.026,11.59,0.03,41.2,36.6,1901.7,46.131,1665.5,45.537,AA
149.5872955,32.4006149,59688.79289588,,,,,,,,,0000,1.0,48.952999114990234,00,1,neowise,12.554,0.024,11.555,0.033,44.8,33.0,1917.3,42.793,1719.2,52.13,AA
149.5873035,32.4005574,57145.67314603,,,,,,,,,0000,1.0,59.15299987792969,00,1,neowise,12.512,0.029,11.683,0.032,37.8,34.0,1991.9,52.689,1530.8,44.989,AA
149.5873214,32.4006077,57146.39515347,,,,,,,,,0000,1.0,114.39600372314453,00,1,neowise,12.544,0.033,11.544,0.027,33.4,39.7,1934.3,57.937,1739.7,43.831,AA
149.5873113,32.4006306,57146.13258222,,,,,,,,,0000,1.0,79.24500274658203,00,1,neowise,12.449,0.024,11.541,0.037,45.4,29.6,2111.4,46.469,1744.6,58.884,AA
149.5872825,32.4006322,57145.80443172,,,,,,,,,0000,1.0,41.72700119018555,00,1,neowise,12.504,0.024,11.603,0.03,45.2,36.2,2007.6,44.457,1647.1,45.468,AA
149.5873409,32.4006262,57145.87001089,,,,,,,,,0000,1.0,40.98400115966797,00,1,neowise,12.495,0.026,11.552,0.031,41.3,34.6,2023.3,49.034,1726.5,49.902,AA
149.5872832,32.4006249,57146.26386782,,,,,,,,,0000,1.0,114.41400146484375,00,1,neowise,12.499,0.026,11.586,0.028,41.9,38.6,2017.0,48.109,1673.2,43.312,AA
149.5873097,32.4006311,57145.93571742,,,,,,,,,0000,1.0,43.380001068115234,00,1,neowise,12.527,0.026,11.577,0.028,41.6,39.1,1964.0,47.267,1686.9,43.16,AA
149.5873314,32.4006322,57145.54186043,,,,,,,,,0000,1.0,77.3479995727539,00,1,neowise,12.49,0.027,11.585,0.03,40.5,35.6,2033.4,50.173,1674.6,47.036,AA
149.5873215,32.4006271,57145.7387252,,,,,,,,,0000,1.0,49.78799819946289,00,1,neowise,12.43,0.028,11.588,0.031,39.3,35.1,2147.6,54.679,1669.9,47.516,AA
149.5872963,32.4006296,57145.41057478,,,,,,,,,0000,1.0,110.02799987792969,00,1,neowise,12.495,0.029,11.58,0.032,36.9,34.4,2023.8,54.836,1683.0,48.858,AA
149.5872945,32.4006314,57146.39502611,,,,,,,,,0000,1.0,114.35199737548828,00,1,neowise,12.442,0.026,11.551,0.029,41.2,37.6,2125.2,51.564,1728.3,45.928,AA
149.5872976,32.4006034,57146.00129659,,,,,,,,,0000,1.0,51.84400177001953,00,1,neowise,12.493,0.027,11.567,0.03,40.9,36.5,2027.7,49.576,1703.2,46.626,AA
149.5872601,32.4005961,58225.36523171,,,,,,,,,0000,1.0,130.76699829101562,00,1,neowise,12.585,0.033,11.724,0.032,32.6,34.4,1863.9,57.137,1471.6,42.77,AA
149.587264,32.4006288,58225.62703872,,,,,,,,,0000,1.0,71.98500061035156,00,1,neowise,12.583,0.025,11.663,0.031,43.4,35.2,1866.2,43.022,1557.3,44.292,AA
149.5872633,32.4006294,58225.95429758,,,,,,,,,0000,1.0,44.36199951171875,00,1,neowise,12.591,0.028,11.675,0.031,39.0,35.2,1853.8,47.481,1539.6,43.739,AA
149.5872606,32.4005987,58226.34688078,,,,,,,,,0000,1.0,125.4729995727539,00,1,neowise,12.57,0.024,11.648,0.029,44.7,37.3,1889.3,42.229,1577.7,42.303,AA
149.5873178,32.4006742,58225.82339407,,,,,,,,,0000,1.0,46.39699935913086,00,1,neowise,12.63,0.027,11.663,0.033,39.9,32.9,1787.4,44.759,1556.6,47.275,AA
149.5873913,32.4006414,58225.4956259,,,,,,,,,0000,1.0,99.5009994506836,00,1,neowise,12.64,0.033,11.699,0.033,32.8,32.8,1771.6,53.939,1505.5,45.905,AA
149.5872734,32.4006573,58225.69249052,,,,,,,,,0000,1.0,64.2239990234375,00,1,neowise,12.512,0.027,11.739,0.029,40.1,37.5,1992.9,49.648,1451.9,38.717,AA
149.5873161,32.4005944,58225.75794227,,,,,,,,,0000,1.0,56.194000244140625,00,1,neowise,12.569,0.025,11.67,0.031,43.5,35.5,1891.3,43.465,1546.7,43.598,AA
