ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
278.764124,32.6963467,55471.3166246,9.405,0.018,8.453,0.019,27420.248,447.825,26229.443,447.361,0000,1.0,129.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55288.6954943,9.417,0.023,8.435,0.019,27102.094,580.478,26664.691,472.139,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.8537517,9.386,0.023,8.48,0.017,27902.973,591.419,25580.49,390.124,0000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.9198401,9.397,0.022,8.544,0.026,27611.607,558.513,24114.89,579.922,0000,1.0,42.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.4568397,9.403,0.022,8.455,0.016,27468.55,562.218,26180.438,388.856,0000,1.0,89.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.5230554,9.451,0.02,8.564,0.022,26288.764,488.13,23687.701,479.388,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.5891437,9.372,0.02,8.445,0.021,28249.459,518.161,26432.889,521.784,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.6552321,9.417,0.025,8.495,0.02,27111.97,630.873,25243.123,466.282,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.6553594,9.426,0.026,8.429,0.02,26881.398,637.177,26827.117,482.369,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.7214477,9.419,0.025,8.457,0.021,27055.309,628.984,26143.502,514.443,0000,1.0,46.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.3907514,9.382,0.022,8.435,0.018,27994.004,566.839,26660.719,452.044,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55470.9859284,9.4,0.02,8.496,0.019,27546.924,513.545,25214.166,451.959,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55471.0521441,9.432,0.03,8.501,0.024,26739.941,730.313,25103.922,550.188,0000,1.0,66.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55471.1843207,9.384,0.021,8.463,0.019,27939.035,550.477,25983.254,462.054,0000,1.0,98.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55288.8277984,9.452,0.029,8.473,0.028,26243.973,710.374,25740.236,656.842,0000,1.0,133.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55288.9601024,9.434,0.026,8.472,0.018,26688.377,632.53,25771.492,432.46,0000,1.0,95.0,0000,1,allwise,,,,,,,,,,,
278.764124,32.6963467,55292.5326939,9.413,0.023,8.465,0.02,27215.756,565.026,25931.12,483.23,0000,1.0,56.0,0000,1,allwise,,,,,,,,,,,
