ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
35.6650363,43.0355101,55419.9435356,9.631,0.021,8.719,0.022,22254.656,422.768,20524.934,420.647,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55420.0758395,9.66,0.03,8.785,0.031,21686.941,599.127,19312.758,543.661,0000,1.0,81.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55593.4581401,9.533,0.022,8.692,0.02,24364.295,482.738,21049.88,381.188,0000,1.0,92.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.0836237,9.639,0.025,8.783,0.023,22094.936,513.25,19362.33,411.946,0000,1.0,79.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.2159276,9.64,0.024,8.739,0.018,22071.838,490.393,20158.197,329.52,0000,1.0,63.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.3482315,9.62,0.024,8.742,0.021,22492.51,488.084,20101.623,384.987,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.8112316,9.659,0.021,8.767,0.028,21696.047,413.9,19639.998,498.103,0000,1.0,126.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.4805354,9.648,0.024,8.76,0.018,21918.295,484.26,19762.25,330.089,0000,1.0,57.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.5466237,9.648,0.021,8.777,0.024,21920.79,433.98,19465.771,437.681,0000,1.0,67.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.6128393,9.648,0.023,8.797,0.024,21915.084,466.077,19102.174,425.175,0000,1.0,80.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.6789276,9.652,0.022,8.792,0.021,21829.988,442.196,19188.207,369.797,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.7450159,9.679,0.038,8.785,0.019,21301.326,753.648,19313.498,339.783,0000,1.0,110.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.7451433,9.707,0.024,8.75,0.029,20765.686,464.887,19957.777,529.798,0000,1.0,110.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55419.4143198,9.582,0.025,8.771,0.021,23288.025,529.793,19576.361,375.389,0000,1.0,52.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55228.9981071,9.582,0.022,8.683,0.021,23294.736,480.293,21220.408,407.871,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55229.1304114,9.545,0.019,8.637,0.019,24099.365,412.233,22151.156,379.347,0000,1.0,90.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55229.2627157,9.552,0.025,8.66,0.021,23939.12,548.627,21676.531,422.567,0000,1.0,124.0,0000,1,allwise,,,,,,,,,,,
35.6650363,43.0355101,55229.3951473,9.57,0.027,8.695,0.024,23541.201,583.279,20998.764,457.898,0000,1.0,108.0,0000,1,allwise,,,,,,,,,,,
