ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table
41.6543133,5.4939457,55587.8304356,13.987,0.063,14.191,0.171,402.894,23.528,132.951,20.888,0000,1.0,9,0000,1,allwise
41.6543133,5.4939457,55587.565827,14.138,0.057,14.026,0.148,350.72,18.391,154.752,21.128,0000,1.0,45,0000,1,allwise
41.6543133,5.4939457,55587.4997385,14.065,0.057,13.987,0.138,374.974,19.787,160.428,20.345,0000,0.5,64,0000,1,allwise
41.6543133,5.4939457,55587.43365,14.076,0.058,14.292,0.178,371.217,19.847,121.113,19.831,0000,1.0,85,0000,1,allwise
41.6543133,5.4939457,55587.2352573,14.136,0.073,14.409,0.199,351.116,23.715,108.755,19.892,0000,0.5,100,0000,1,allwise
41.6543133,5.4939457,55587.102953,14.199,0.074,14.048,0.147,331.477,22.738,151.611,20.586,0000,1.0,57,0000,1,allwise
41.6543133,5.4939457,55586.9706487,14.044,0.059,14.151,0.162,382.261,20.894,137.945,20.543,0000,1.0,22,0000,1,allwise
41.6543133,5.4939457,55413.2032912,14.07,0.06,14.245,0.172,373.22,20.493,126.46,20.057,0000,1.0,28,0000,1,allwise
41.6543133,5.4939457,55413.0709874,14.093,0.055,13.972,0.141,365.264,18.391,162.614,21.086,0000,1.0,48,0000,1,allwise
41.6543133,5.4939457,55412.9386836,14.046,0.072,13.748,0.113,381.688,25.244,199.958,20.793,0000,1.0,86,0000,1,allwise
41.6543133,5.4939457,55412.8725954,14.009,0.053,14.247,0.224,394.781,19.201,126.214,26.06,0000,1.0,107,0000,1,allwise
41.6543133,5.4939457,55412.8063798,14.015,0.056,14.103,0.158,392.549,20.406,144.121,21.011,0000,1.0,123,0011,1,allwise
41.6543133,5.4939457,55412.7402915,14.108,0.058,14.099,0.165,360.473,19.108,144.711,21.994,0000,1.0,102,0011,1,allwise
41.6543133,5.4939457,55412.6742033,14.239,0.079,13.787,0.113,319.428,23.338,192.798,20.134,0000,1.0,80,0011,1,allwise
41.6543133,5.4939457,55412.6740759,14.057,0.062,,,377.654,21.577,,,0000,1.0,80,0111,1,allwise
41.6543133,5.4939457,55412.6079877,13.928,0.05,,,425.558,19.647,,,0000,1.0,59,0111,1,allwise
41.6543133,5.4939457,55412.4756839,13.902,0.048,,,435.818,19.225,,,0000,1.0,26,0111,1,allwise
41.6543133,5.4939457,55412.3433801,13.995,0.053,,,400.032,19.454,,,0000,1.0,13,0111,1,allwise
41.6543133,5.4939457,55410.2928622,14.085,0.058,,,368.03,19.575,,,0000,1.0,14,0111,1,allwise
41.6543133,5.4939457,55410.2266466,14.099,0.068,,,363.267,22.607,,,0000,1.0,24,0111,1,allwise
41.6543133,5.4939457,55587.9626125,14.005,0.053,14.309,0.182,396.376,19.173,119.198,19.981,0000,0.5,21,0000,1,allwise
41.6543133,5.4939457,55587.6981313,14.15,0.063,13.954,0.136,346.743,20.159,165.315,20.678,0000,1.0,24,0000,1,allwise
41.6543133,5.4939457,55222.7715281,14.195,0.066,14.239,0.166,332.771,20.199,127.169,19.441,0000,0.5,14,0000,1,allwise
41.6543133,5.4939457,55223.1023525,14.14,0.064,14.076,0.151,349.826,20.659,147.727,20.576,0000,1.0,57,0000,1,allwise
41.6543133,5.4939457,55223.0361367,14.04,0.053,14.294,0.208,383.542,18.892,120.915,23.189,0000,0.5,37,0000,1,allwise
41.6543133,5.4939457,55222.9038324,14.172,0.062,14.298,0.192,339.901,19.442,120.431,21.291,0000,0.5,11,0000,1,allwise
41.6543133,5.4939457,55410.1605584,13.978,0.056,,,406.164,21.023,,,0000,1.0,32,0111,1,allwise
41.6543133,5.4939457,55410.0943428,14.016,0.059,,,392.125,21.16,,,0000,1.0,41,0111,1,allwise
41.6543133,5.4939457,55409.9621664,13.973,0.057,,,407.98,21.317,,,0000,1.0,78,0111,1,allwise
41.6543133,5.4939457,55409.9620391,14.068,0.065,,,373.807,22.451,,,0000,1.0,78,0111,1,allwise
41.6543133,5.4939457,55409.8298626,14.123,0.066,14.406,0.299,355.568,21.645,109.016,30.065,0000,1.0,120,0011,1,allwise
41.6543133,5.4939457,55223.631697,13.936,0.052,14.401,0.215,422.124,20.035,109.582,21.669,0000,1.0,32,0000,1,allwise
41.6543133,5.4939457,55223.4993928,14.076,0.063,14.112,0.17,371.267,21.588,142.901,22.325,0000,1.0,65,0000,1,allwise
41.6543133,5.4939457,55223.3669612,14.18,0.059,14.122,0.162,337.415,18.485,141.703,21.166,0000,1.0,106,0000,1,allwise
41.6543133,5.4939457,55223.2346568,14.155,0.061,14.105,0.168,345.143,19.244,143.885,22.213,0000,0.5,99,0000,1,allwise
41.6543133,5.4939457,55223.1685683,14.097,0.063,14.006,0.164,364.179,20.992,157.668,23.87,0000,1.0,78,0000,1,allwise
41.6543133,5.4939457,55223.168441,14.148,0.063,14.254,0.173,347.446,20.289,125.417,20.018,0000,0.5,77,0000,1,allwise
