ra,dec,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,cc_flags,ph_qual,qi_fact,saa_sep,moon_masked,nb,source_table
42.6356973,7.2902853,57238.08826168,15.441,0.156,14.126,0.246,7.0,4.4,134.14,19.282,161.24,36.504,0000,BB,1.0,55.175,00,1,neowise
42.6357816,7.2901304,57238.48186263,15.785,0.229,14.704,,4.7,0.4,97.731,20.618,15.611,39.57,0000,BU,1.0,24.963,00,1,neowise
42.6361184,7.289512,57605.25945808,15.916,0.236,15.345,0.537,4.6,2.0,86.812,18.892,52.405,25.912,0000,BC,1.0,33.239,00,1,neowise
42.6358257,7.289902,57605.7180014,16.148,0.261,15.11,0.396,4.2,2.7,70.099,16.854,65.09,23.753,0000,BC,0.5,80.173,00,1,neowise
42.6359143,7.2912667,57605.19387912,15.894,,14.746,0.489,1.4,2.2,35.81,26.391,91.023,40.988,0000,UC,1.0,40.622,00,1,neowise
42.6363346,7.2892524,58333.17138946,15.739,0.251,15.05,,4.3,-0.9,102.02,23.623,-29.555,34.39,0000,BU,1.0,48.629,01,1,neowise
42.6358107,7.2897437,57771.67147938,15.495,0.153,14.855,0.293,7.1,3.7,127.86,17.973,82.304,22.211,0000,BB,1.0,38.703,00,1,neowise
42.6361241,7.2891323,59064.71717468,16.473,0.366,14.77,,3.0,1.7,51.884,17.511,41.422,23.8,0000,CU,0.5,68.302,00,1,neowise
42.6360391,7.2893161,59064.8479505,16.033,0.268,14.345,0.248,4.0,4.4,77.863,19.245,131.63,30.016,0000,BB,0.5,109.704,00,1,neowise
42.636715,7.2900569,59795.96004381,15.608,0.233,14.968,,4.7,0.5,115.15,24.692,15.698,29.225,0000,BU,0.5,108.471,00,1,neowise
42.6363182,7.2902192,59796.09056498,15.783,0.207,14.348,,5.2,0.9,97.976,18.699,41.9,44.691,0000,BU,0.5,68.014,00,1,neowise
