ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
79.0475232,-0.1497602,55450.1801998,8.629,0.028,7.752,0.023,56029.47,1461.761,50041.43,1062.133,0h00,1.0,24.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55258.8958922,8.6,0.024,7.7,0.018,57552.63,1260.291,52468.547,891.172,0h00,1.0,6.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.3785923,8.663,0.024,7.719,0.022,54315.645,1218.761,51562.656,1030.521,0h00,1.0,7.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.4446806,8.659,0.023,7.735,0.019,54476.777,1168.687,50818.445,897.789,0h00,1.0,15.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.510769,8.768,0.034,7.731,0.021,49299.973,1541.874,50994.242,1000.582,0h00,1.0,30.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.5108964,8.641,0.027,7.757,0.024,55420.0,1366.425,49803.38,1079.551,0h00,1.0,30.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.5769847,8.62,0.02,7.764,0.014,56496.14,1031.441,49499.336,649.586,0h00,1.0,47.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.6430731,8.651,0.023,7.822,0.021,54894.69,1163.504,46886.54,917.615,0h00,1.0,69.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.7753772,8.633,0.03,7.769,0.02,55811.438,1565.084,49227.496,897.313,0h00,1.0,111.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.9076813,8.662,0.029,7.756,0.029,54339.918,1470.677,49823.242,1325.046,0h00,1.0,92.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.0281963,8.608,0.021,7.729,0.02,57117.453,1112.524,51104.01,937.393,0h00,1.0,32.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.0942847,8.607,0.022,7.692,0.013,57168.137,1163.133,52859.13,642.86,0h00,1.0,52.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.1605004,8.539,0.02,7.746,0.023,60867.56,1115.968,50285.156,1043.604,0h00,1.0,73.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.2265893,8.591,0.026,7.705,0.021,58033.355,1375.955,52261.043,1031.966,0h00,1.0,94.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.2267166,8.606,0.025,7.71,0.024,57234.53,1336.831,51989.39,1144.831,0h00,1.0,95.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.292805,8.604,0.024,7.75,0.02,57341.71,1262.368,50106.855,921.726,0h00,1.0,115.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.3590207,8.605,0.024,7.755,0.018,57301.63,1283.908,49882.027,849.375,0h00,1.0,108.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.4913247,8.628,0.023,7.734,0.025,56078.72,1206.064,50841.727,1158.37,0h00,1.0,65.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.6236228,8.591,0.021,7.755,0.02,57997.316,1114.793,49897.793,902.631,0h00,1.0,29.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55259.7559268,8.636,0.021,7.76,0.021,55663.41,1087.995,49646.785,970.211,0h00,1.0,13.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55449.9155916,8.676,0.02,7.75,0.019,53651.555,1003.641,50104.395,860.562,0h00,1.0,90.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.0478957,8.656,0.024,7.754,0.024,54641.516,1206.695,49922.61,1104.659,0h00,1.0,49.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55258.6311567,8.625,0.019,7.733,0.016,56256.59,1010.109,50910.684,738.246,0h00,1.0,28.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55258.7634607,8.589,0.027,7.72,0.02,58125.6,1464.571,51506.4,941.87,0h00,1.0,12.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55258.8957649,8.61,0.024,7.731,0.021,57001.652,1275.683,51025.195,995.483,0h00,1.0,6.0,0000,1,allwise,,,,,,,,,,,
79.0475232,-0.1497602,55450.3123765,8.667,0.025,7.744,0.021,54108.695,1255.828,50376.777,982.558,0h00,1.0,7.0,0000,1,allwise,,,,,,,,,,,
79.0475643,-0.1497709,58005.13517237,,,,,,,,,0000,1.0,43.106998443603516,00,1,neowise,9.061,0.014,8.168,0.012,77.8,89.5,47850.0,615.2,38929.0,434.9,AA
79.0475458,-0.1497736,58005.2660756,,,,,,,,,0000,1.0,22.246000289916992,00,1,neowise,9.044,0.016,8.161,0.014,66.6,78.1,48599.0,730.01,39160.0,501.38,AA
79.0475297,-0.149765,58005.26620292,,,,,,,,,0000,1.0,21.479999542236328,00,1,neowise,9.036,0.018,8.148,0.015,61.6,74.5,48954.0,795.04,39659.0,532.57,AA
79.0475285,-0.1497708,58005.39710619,,,,,,,,,0000,1.0,6.051000118255615,00,1,neowise,9.058,0.015,8.149,0.012,72.3,87.5,47985.0,663.3,39604.0,452.67,AA
79.0475134,-0.1497628,59104.02174019,,,,,,,,,0000,1.0,82.33100128173828,00,1,neowise,8.94,0.017,8.133,0.013,64.2,86.3,53507.0,833.34,40185.0,465.64,AA
79.0475157,-0.1497642,59104.15213398,,,,,,,,,0000,1.0,43.387001037597656,00,1,neowise,8.967,0.018,8.161,0.016,61.4,67.4,52165.0,849.44,39174.0,581.26,AA
79.0475014,-0.1497438,59104.21796755,,,,,,,,,0000,1.0,25.985000610351562,00,1,neowise,8.985,0.014,8.132,0.013,75.5,85.2,51334.0,680.14,40222.0,472.16,AA
