ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
187.104044,31.477125,55354.699688,12.758000,0.035000,11.842000,0.037000,1249.145996,40.164001,1156.644043,39.383999,0000,1.000000,54.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55545.072696,12.836000,0.038000,11.887000,0.043000,1163.354004,40.386002,1109.238037,44.013000,0000,1.000000,72.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55354.964296,12.826000,0.032000,11.819000,0.033000,1174.128052,35.146999,1181.406982,35.942001,0000,1.000000,54.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.096600,12.758000,0.033000,11.853000,0.036000,1250.128052,37.879002,1144.991943,37.812000,0000,1.000000,80.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.162688,12.772000,0.030000,11.803000,0.030000,1233.567017,34.083000,1198.995972,33.078999,0000,1.000000,96.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.228903,12.818000,0.037000,11.809000,0.037000,1182.437012,40.828999,1191.840942,40.154999,0000,1.000000,114.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.294991,12.750000,0.031000,11.872000,0.036000,1259.036987,35.477001,1125.248047,37.252998,0000,1.000000,132.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.361080,12.806000,0.036000,11.801000,0.036000,1195.409058,39.368999,1201.156982,39.400002,0000,1.000000,116.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.361207,12.745000,0.037000,11.817000,0.031000,1264.338013,42.750999,1183.862061,34.243999,0000,1.000000,116.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.427295,12.783000,0.031000,11.834000,0.038000,1220.686035,34.374001,1165.444946,40.374001,0000,1.000000,99.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.493383,12.771000,0.041000,11.799000,0.033000,1235.004028,46.409000,1203.535034,36.566002,0000,1.000000,83.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.493511,12.871000,0.035000,11.853000,0.040000,1126.461060,36.793999,1144.890991,41.765999,0000,1.000000,83.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.559599,12.791000,0.029000,11.793000,0.036000,1212.201050,32.657001,1209.683960,40.019001,0000,1.000000,71.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.691903,12.762000,0.028000,11.857000,0.036000,1244.766968,32.231998,1141.295044,37.696999,0000,1.000000,55.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.824207,12.787000,0.032000,11.829000,0.034000,1217.185059,36.257999,1170.958984,36.680000,0000,1.000000,44.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55355.956510,12.841000,0.034000,11.836000,0.038000,1157.568970,36.036999,1162.746948,41.014000,0000,1.000000,53.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.213036,12.782000,0.033000,11.816000,0.035000,1222.609985,37.658001,1184.444946,38.262001,0000,0.500000,54.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.345213,12.795000,0.034000,11.849000,0.033000,1208.103027,37.938999,1148.708984,35.389000,0000,1.000000,42.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.477518,12.788000,0.035000,11.942000,0.038000,1215.235962,39.523998,1054.475952,37.021000,0000,1.000000,49.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.543606,12.799000,0.043000,11.870000,0.036000,1203.530029,47.702000,1127.321045,36.895000,0000,1.000000,60.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.609822,12.821000,0.034000,11.994000,0.039000,1178.694946,37.160999,1005.594971,36.264999,0000,0.500000,74.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.675911,12.786000,0.030000,11.812000,0.034000,1217.489990,33.970001,1189.149048,37.660000,0000,1.000000,90.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.741999,12.793000,0.035000,11.826000,0.039000,1210.332031,38.627998,1173.818970,42.435001,0000,1.000000,108.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.742126,12.825000,0.037000,11.818000,0.038000,1174.463013,40.261002,1182.769043,41.231998,0000,1.000000,108.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.808215,12.841000,0.036000,11.992000,0.045000,1157.588989,38.422001,1007.302979,41.401001,0000,1.000000,127.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.874303,12.789000,0.030000,11.873000,0.031000,1213.958008,34.019001,1124.594971,32.612000,0000,0.500000,120.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.940392,12.827000,0.037000,11.887000,0.037000,1173.041016,39.931999,1109.703003,37.678001,0000,0.500000,102.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55544.940519,12.808000,0.036000,11.885000,0.044000,1193.417969,39.415001,1111.219971,44.536999,0000,1.000000,102.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55354.831992,12.825000,0.033000,11.819000,0.043000,1174.598999,35.533001,1181.078979,46.410000,0000,1.000000,45.000000,0000,1,allwise,,,,,,,,,,,
187.104044,31.477125,55545.205001,12.824000,0.038000,11.849000,0.043000,1176.191040,41.202999,1149.151001,45.883999,0000,0.500000,55.000000,0000,1,allwise,,,,,,,,,,,
