ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
330.6803744,42.2777574,55362.1927458,8.345,0.017,7.287,0.015,72759.47,1142.983,76802.71,1055.46,hh00,1.0,66.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55540.7558037,8.943,0.027,8.015,0.024,41957.965,1034.525,39248.32,871.004,hh00,1.0,50.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.4573535,8.432,0.018,7.376,0.018,67170.71,1143.142,70754.65,1198.147,hh00,1.0,54.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.5896572,8.434,0.019,7.437,0.014,67073.875,1201.452,66862.336,840.308,hh00,1.0,74.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.6557454,8.417,0.018,7.411,0.014,68078.47,1149.956,68479.305,886.442,hh00,1.0,89.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55540.8220196,9.097,0.034,7.907,0.03,36423.523,1156.907,43377.926,1191.787,hh00,1.0,50.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55540.8881081,8.912,0.028,7.961,0.031,43181.164,1122.243,41281.043,1196.397,hh00,1.0,51.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55541.0204125,8.922,0.038,7.947,0.029,42790.01,1483.912,41800.594,1135.577,hh00,1.0,68.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55541.1525895,8.871,0.024,7.88,0.023,44825.453,979.453,44467.383,949.266,hh00,1.0,97.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55544.2609151,8.937,0.031,8.006,0.022,42192.504,1199.237,39598.56,818.589,hh00,1.0,124.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55540.8218922,8.938,0.039,8.021,0.028,42164.3,1509.263,39049.008,1005.272,hh00,1.0,49.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.721961,8.408,0.019,7.39,0.014,68690.33,1226.471,69853.8,932.297,hh00,1.0,104.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.7880493,8.392,0.016,7.395,0.015,69714.41,1059.116,69483.56,932.368,hh00,1.0,121.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.8541375,8.491,0.021,7.496,0.018,63632.54,1234.896,63352.836,1067.861,hh00,1.0,129.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.8542648,8.457,0.019,7.415,0.015,65659.58,1177.187,68249.87,913.839,hh00,1.0,129.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.9203531,8.468,0.018,7.439,0.018,64967.566,1103.779,66750.04,1082.261,hh00,1.0,112.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.9864413,8.496,0.022,7.435,0.017,63325.207,1306.402,66972.24,1068.819,hh00,1.0,97.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55362.9865687,8.467,0.021,7.435,0.02,65029.11,1272.063,66973.45,1241.976,hh00,1.0,97.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.0526569,8.492,0.019,7.432,0.016,63580.246,1137.207,67181.54,969.284,hh00,1.0,84.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.1187451,8.438,0.019,7.455,0.022,66787.33,1185.373,65770.945,1307.333,hh00,1.0,76.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.1849607,8.487,0.019,7.387,0.017,63852.316,1115.27,70041.914,1093.051,hh00,1.0,68.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.2510489,8.538,0.019,7.467,0.015,60939.74,1065.644,65045.543,905.184,hh00,1.0,58.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.3172645,8.541,0.02,7.504,0.017,60750.71,1142.887,62840.0,987.516,hh00,1.0,51.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.4495682,8.525,0.02,7.454,0.017,61641.242,1137.437,65819.67,1039.877,hh00,1.0,54.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.581872,8.55,0.017,7.544,0.025,60279.26,966.738,60615.598,1396.107,hh00,1.0,73.0,0000,1,allwise,,,,,,,,,,,
330.6803744,42.2777574,55363.7141758,8.675,0.028,7.565,0.025,53713.8,1382.138,59402.074,1374.223,hh00,1.0,102.0,0000,1,allwise,,,,,,,,,,,
