ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
20.9407193,-58.8057752,55528.3691063,9.089,0.031,7.994,0.023,36668.64,1043.829,40038.18,848.723,0000,1.0,59.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.3028905,9.133,0.023,7.997,0.025,35225.867,741.748,39936.637,912.757,0000,1.0,54.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.567499,9.037,0.023,8.027,0.018,38476.99,809.684,38815.273,644.806,0000,1.0,49.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.6335875,9.019,0.022,8.037,0.02,39112.89,801.338,38481.605,715.716,0000,0.5,41.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.699676,9.056,0.024,8.016,0.019,37806.965,833.875,39230.13,697.089,0000,1.0,33.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.8319802,9.05,0.021,7.979,0.019,38007.074,725.769,40588.51,705.737,0000,1.0,20.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.9642844,9.014,0.02,8.056,0.027,39291.875,730.335,37812.53,927.671,0000,1.0,17.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55346.6013981,9.024,0.023,7.952,0.019,38928.176,806.793,41613.715,717.631,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55346.8660057,9.061,0.021,7.981,0.022,37636.527,715.464,40513.473,823.102,0000,1.0,59.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55346.9983096,9.071,0.022,7.941,0.021,37300.3,770.571,42036.453,821.24,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.2629172,9.058,0.02,7.972,0.024,37736.02,684.526,40867.98,908.228,0000,1.0,18.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.3290054,9.084,0.032,8.01,0.022,36855.66,1098.115,39461.535,801.846,0000,1.0,16.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.3291327,9.07,0.027,7.97,0.023,37322.617,927.605,40925.633,876.293,0000,1.0,17.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.395221,9.058,0.02,8.011,0.022,37755.81,695.751,39410.63,809.608,0000,1.0,19.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.5275248,9.045,0.021,8.005,0.019,38197.195,723.169,39632.555,688.776,0000,1.0,34.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.5936131,9.033,0.025,7.995,0.018,38620.832,885.535,39976.477,656.087,0000,1.0,43.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.7259168,9.092,0.023,7.981,0.019,36563.945,769.251,40524.395,715.664,0000,1.0,57.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.7921324,9.071,0.029,7.953,0.027,37306.06,983.215,41558.03,1045.524,0000,1.0,60.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.8582207,9.118,0.026,8.026,0.023,35713.74,862.017,38886.465,814.068,0000,0.5,60.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.9244363,9.079,0.023,7.927,0.019,37019.203,787.079,42585.91,749.364,0000,1.0,54.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55347.9905246,9.044,0.026,7.993,0.019,38231.63,901.073,40062.3,715.728,0000,1.0,45.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55348.2551321,9.056,0.024,7.975,0.017,37808.598,821.532,40743.34,655.59,0000,1.0,18.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55348.387436,9.149,0.024,7.983,0.014,34716.137,772.507,40447.293,515.113,0000,1.0,18.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55352.0257255,9.086,0.024,8.018,0.018,36784.957,815.577,39144.25,649.151,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55527.7738008,9.037,0.033,7.959,0.018,38473.902,1154.771,41326.527,680.326,0000,1.0,25.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55527.8400166,9.103,0.027,8.018,0.019,36193.637,902.591,39163.55,671.051,0000,1.0,20.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55527.9721935,9.094,0.03,7.988,0.02,36506.05,1006.843,40270.305,749.692,0000,0.5,19.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.1044978,9.058,0.025,8.095,0.024,37725.902,880.272,36462.195,821.552,0000,0.5,31.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.1707135,9.039,0.025,7.983,0.018,38410.44,886.237,40454.344,677.917,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.236802,9.031,0.02,8.007,0.022,38677.637,700.315,39549.75,800.213,0000,1.0,48.0,0000,1,allwise,,,,,,,,,,,
20.9407193,-58.8057752,55528.5012832,9.056,0.021,8.003,0.02,37798.02,742.81,39702.51,737.492,0000,0.5,57.0,0000,1,allwise,,,,,,,,,,,
20.9406587,-58.8057625,57174.06349366,,,,,,,,,0000,1.0,39.90599822998047,00,1,neowise,9.025,0.015,8.009,0.012,70.1,92.2,49423.0,705.04,45111.0,489.22,AA
20.9406661,-58.80576,57173.66976516,,,,,,,,,0000,0.5,49.88399887084961,00,1,neowise,9.016,0.014,7.975,0.013,78.9,83.8,49870.0,632.38,46570.0,555.54,AA
20.9406512,-58.8057668,57173.93220839,,,,,,,,,0000,1.0,60.39099884033203,00,1,neowise,9.03,0.016,8.009,0.011,69.0,95.1,49238.0,713.57,45148.0,474.79,AA
20.9406494,-58.8057657,57173.86662936,,,,,,,,,0000,1.0,64.46900177001953,00,1,neowise,9.01,0.015,8.007,0.012,73.3,92.5,50135.0,684.42,45211.0,488.73,AA
