ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
255.252566,64.202533,55380.573286,12.975000,0.035000,12.151000,0.036000,1023.723999,32.759998,870.221008,29.173000,0000,1.000000,88.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.506943,13.029000,0.037000,12.142000,0.039000,973.442017,32.846001,877.765015,31.222000,0000,1.000000,93.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.771551,12.998000,0.039000,12.121000,0.036000,1002.085022,35.696999,894.234009,29.716000,0000,1.000000,83.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.903854,13.008000,0.041000,12.127000,0.038000,992.557983,37.425999,889.567017,30.923000,0000,1.000000,87.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55381.036031,12.996000,0.045000,12.091000,0.036000,1003.518005,41.195000,919.208008,30.448000,0000,1.000000,96.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55381.036158,13.090000,0.037000,12.112000,0.041000,920.778992,31.302999,902.127991,33.910000,0000,1.000000,96.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55381.168334,12.955000,0.043000,12.136000,0.042000,1042.616943,41.375999,882.187012,34.264999,0000,1.000000,106.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55563.381765,12.951000,0.032000,12.168000,0.039000,1046.192017,30.462000,856.791992,30.398001,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55563.514069,13.018000,0.036000,12.189000,0.042000,983.958984,32.772999,840.237976,32.830002,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55563.646373,13.232000,0.052000,12.191000,0.041000,807.552002,38.323002,838.955994,31.698999,0000,1.000000,90.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55563.910855,13.074000,0.034000,12.188000,0.038000,934.151978,29.450001,840.895996,29.318001,0000,1.000000,108.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55564.043159,13.158000,0.047000,12.198000,0.038000,864.961975,37.521000,833.208008,29.055000,0000,1.000000,105.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55564.307641,12.979000,0.034000,12.213000,0.041000,1019.284973,31.929001,821.500977,31.395000,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55564.572122,13.023000,0.034000,12.114000,0.037000,979.377991,30.857000,900.174011,30.361000,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55564.704427,12.987000,0.034000,12.216000,0.043000,1011.833008,31.368000,819.728027,32.311001,0000,0.500000,95.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55564.836731,12.991000,0.039000,12.195000,0.043000,1008.310974,35.851002,835.630005,33.168999,0000,1.000000,105.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55564.968908,13.019000,0.036000,12.198000,0.039000,983.062012,32.826000,833.039001,30.118999,0000,1.000000,108.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.215053,12.976000,0.043000,12.077000,0.035000,1022.450989,40.884998,931.918030,29.761000,0000,1.000000,108.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.215180,12.961000,0.034000,12.188000,0.046000,1036.556030,32.208000,840.908997,35.340000,0000,1.000000,107.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.347356,12.957000,0.033000,12.169000,0.040000,1040.621948,31.959999,855.507019,31.674999,0000,1.000000,103.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.479660,12.966000,0.038000,12.138000,0.037000,1031.984009,36.480999,880.310974,30.372999,0000,1.000000,94.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.611964,12.997000,0.036000,12.228000,0.042000,1002.507019,32.952999,810.343018,31.667999,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.744268,12.974000,0.036000,12.089000,0.035000,1023.885010,34.202999,920.960022,29.899000,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.876571,12.931000,0.032000,12.064000,0.037000,1066.103027,31.122999,942.723022,32.319000,0000,1.000000,87.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55376.008875,13.023000,0.034000,12.095000,0.043000,978.815002,30.462000,916.340027,36.280998,0000,1.000000,95.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55376.141179,13.028000,0.034000,12.203000,0.043000,974.101013,30.945000,829.721008,33.168999,0000,1.000000,105.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55376.273483,12.935000,0.032000,12.113000,0.042000,1061.667969,31.641001,901.293030,35.277000,0000,1.000000,107.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55376.405786,12.937000,0.031000,12.106000,0.040000,1060.130981,30.719999,907.344971,33.431999,0000,1.000000,100.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55379.779464,13.036000,0.035000,12.194000,0.042000,967.401001,30.837999,835.991028,32.091000,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55379.845425,12.988000,0.034000,12.125000,0.041000,1011.530029,31.382999,891.056030,33.345001,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55379.911768,13.027000,0.034000,12.244000,0.042000,975.015991,30.951000,798.807007,30.738001,0000,1.000000,88.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55203.932906,12.978000,0.031000,12.094000,0.037000,1020.455017,29.400000,916.926025,31.549000,0000,1.000000,110.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55204.065338,12.986000,0.035000,12.195000,0.038000,1013.359985,32.263000,835.765991,29.389999,0000,1.000000,103.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55204.329947,12.987000,0.032000,12.117000,0.036000,1012.383972,29.742001,898.255005,29.642000,0000,1.000000,82.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55204.594684,12.957000,0.033000,12.143000,0.040000,1040.248047,31.930000,876.218018,32.664001,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55204.726988,12.968000,0.032000,12.137000,0.042000,1030.119995,29.997000,881.533020,34.056000,0000,1.000000,98.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55204.859293,12.963000,0.033000,12.122000,0.037000,1034.629028,31.230000,893.424011,30.849001,0000,1.000000,109.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55204.991725,12.983000,0.039000,12.178000,0.039000,1015.710022,36.813000,848.445007,30.430000,0000,1.000000,109.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55205.124030,13.005000,0.036000,12.150000,0.046000,995.083984,32.702999,870.978027,36.608002,0000,0.500000,98.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55205.256334,12.949000,0.033000,12.193000,0.042000,1047.869019,31.871000,837.031982,32.237000,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55205.388639,13.041000,0.037000,12.138000,0.040000,962.585022,32.841000,880.239990,32.117001,0000,1.000000,81.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55206.182722,12.948000,0.031000,12.120000,0.040000,1048.917969,29.806000,895.387024,33.318001,0000,1.000000,92.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55206.315026,12.979000,0.036000,12.132000,0.037000,1019.489990,33.953999,885.124023,30.525000,0000,1.000000,82.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55207.373718,12.998000,0.031000,12.112000,0.036000,1002.236023,29.066999,902.193970,29.864000,0000,1.000000,80.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55374.818269,13.020000,0.040000,12.221000,0.047000,981.976990,36.514999,815.633972,35.080002,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55374.950572,12.975000,0.040000,12.179000,0.046000,1022.994019,37.286999,847.684021,35.867001,0000,1.000000,92.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.082749,12.991000,0.046000,12.186000,0.039000,1007.932007,42.369999,842.252014,30.205999,0000,1.000000,101.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55375.082876,13.101000,0.039000,12.121000,0.044000,911.005005,32.706001,894.591003,36.382999,0000,1.000000,101.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55379.977729,12.980000,0.033000,12.118000,0.038000,1018.692993,30.881001,897.258972,31.193001,0000,1.000000,92.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.044071,13.040000,0.035000,12.100000,0.040000,963.534973,30.888000,911.781006,33.791000,0000,0.500000,98.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.110032,12.948000,0.033000,12.167000,0.039000,1048.637939,31.466999,857.778015,30.535000,0000,1.000000,102.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.176375,12.947000,0.036000,12.129000,0.038000,1049.614990,34.549999,887.757996,31.047001,0000,1.000000,107.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.242336,12.942000,0.033000,12.093000,0.038000,1054.688965,32.456001,918.317017,32.054001,0000,1.000000,109.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.308679,13.016000,0.035000,12.150000,0.036000,985.171997,31.798000,870.818970,29.052000,0000,0.500000,106.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.374639,13.013000,0.035000,12.067000,0.034000,987.870972,31.825001,939.765015,29.552000,0000,1.000000,103.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55380.639247,13.008000,0.035000,12.182000,0.043000,992.265015,31.785000,845.703979,33.591999,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55566.291570,13.020000,0.038000,12.366000,0.050000,981.439026,34.622002,714.088989,33.189999,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55566.159265,13.190000,0.051000,12.229000,0.040000,839.299988,39.296001,809.593018,29.872999,0000,1.000000,96.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55566.688356,13.072000,0.037000,12.202000,0.041000,935.635986,31.674000,829.950012,31.100000,0000,0.500000,93.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55566.820660,12.950000,0.035000,12.245000,0.042000,1047.286987,33.537998,798.213989,30.805000,0000,1.000000,105.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55567.217446,13.047000,0.039000,12.229000,0.041000,957.564026,34.459999,809.919006,30.424000,0000,1.000000,90.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55567.349623,13.072000,0.040000,12.162000,0.044000,935.919983,34.297001,861.388977,35.199001,0000,1.000000,83.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55567.614233,13.086000,0.038000,12.204000,0.042000,923.549988,32.112000,828.830017,32.346001,0000,1.000000,88.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55568.275500,13.027000,0.034000,12.205000,0.041000,975.598999,30.978001,828.203003,30.966999,0000,1.000000,86.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55568.539981,12.995000,0.036000,12.248000,0.051000,1004.406006,33.316002,795.859009,37.119999,0000,1.000000,84.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55568.672286,13.193000,0.043000,12.308000,0.044000,836.901978,33.027000,752.898010,30.514999,0000,0.500000,92.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55568.804590,13.033000,0.040000,12.199000,0.051000,969.838989,35.311001,832.513977,38.799999,0000,1.000000,104.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55568.936767,13.099000,0.037000,12.217000,0.040000,913.192017,31.011000,819.099976,30.292999,0000,0.500000,110.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55569.333553,13.072000,0.050000,12.202000,0.041000,935.937988,42.997002,829.880981,31.226999,0000,1.000000,83.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55565.233517,13.001000,0.035000,12.213000,0.048000,999.192993,32.446999,821.984009,36.238998,0000,1.000000,90.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55565.365694,13.016000,0.037000,12.226000,0.048000,985.330994,33.681000,812.112976,35.618999,0000,1.000000,83.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55565.630303,13.047000,0.036000,12.173000,0.039000,957.283020,31.483999,853.038025,30.702999,0000,1.000000,89.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55565.894784,13.013000,0.035000,12.167000,0.039000,987.659973,31.490000,857.663025,30.783001,0000,1.000000,109.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55566.027088,13.026000,0.035000,12.187000,0.040000,976.687012,31.708000,842.083008,31.099001,0000,1.000000,106.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55566.556051,13.118000,0.041000,12.188000,0.038000,896.629028,33.976002,841.197021,29.733999,0000,1.000000,85.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55376.802698,12.997000,0.039000,12.144000,0.035000,1002.643982,36.384998,875.974976,28.318001,0000,1.000000,85.000000,0000,1,allwise,,,,,,,,,,,
255.252566,64.202533,55203.800601,12.963000,0.032000,12.129000,0.042000,1034.425049,30.603001,888.375977,34.443001,0000,1.000000,104.000000,0000,1,allwise,,,,,,,,,,,
