ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
323.1159272,10.1386776,55336.0021944,9.526,0.024,8.489,0.019,24520.074,532.872,25373.578,438.016,0000,1.0,68.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.1344984,9.514,0.025,8.482,0.022,24806.975,580.526,25537.188,518.259,0000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.2668023,9.543,0.026,8.495,0.021,24133.234,574.964,25233.045,489.7,0000,1.0,21.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.333018,9.541,0.025,8.497,0.021,24180.258,558.559,25181.46,494.797,0000,1.0,15.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.3991063,9.549,0.029,8.498,0.026,24010.041,640.493,25172.576,612.17,0000,1.0,16.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55513.9670411,9.529,0.023,,,24460.047,513.552,,,0000,1.0,26.0,0111,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55335.8698904,9.548,0.022,8.513,0.021,24023.719,481.496,24809.93,477.381,0000,1.0,109.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.5314078,9.513,0.022,8.477,0.018,24819.135,495.65,25662.457,417.369,0000,1.0,40.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.5976234,9.531,0.022,8.502,0.021,24400.771,504.728,25064.004,492.808,0000,1.0,57.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.7299273,9.524,0.023,8.503,0.019,24566.445,525.299,25040.662,427.456,0000,1.0,99.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.8622313,9.553,0.022,8.534,0.029,23930.834,481.968,24342.91,653.627,0000,1.0,112.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55336.465322,9.519,0.023,8.492,0.024,24678.73,512.757,25298.56,565.909,0000,1.0,25.0,0000,1,allwise,,,,,,,,,,,
323.1159272,10.1386776,55517.7366265,9.612,0.028,8.501,0.022,22665.475,580.863,25095.844,497.577,0000,1.0,24.0,0000,1,allwise,,,,,,,,,,,
