ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
343.524522,-17.5820354,55344.7402309,9.926,0.026,8.993,0.02,16973.078,399.585,15950.192,300.946,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55526.4601813,9.952,0.032,9.019,0.024,16568.07,484.197,15573.39,338.028,0000,1.0,69.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55344.938623,9.935,0.024,9.015,0.02,16821.33,367.928,15634.029,290.813,0000,1.0,71.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55345.0048386,9.897,0.024,8.977,0.022,17426.484,392.413,16193.606,327.721,0000,1.0,50.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55345.0709268,9.907,0.021,8.995,0.023,17268.686,330.683,15915.422,338.225,0000,1.0,29.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55345.1371424,9.932,0.024,9.01,0.028,16867.451,379.575,15699.911,411.289,0000,1.0,9.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55345.2032306,9.912,0.02,8.955,0.023,17179.385,322.093,16512.373,352.445,0000,1.0,1.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55345.3355345,9.93,0.022,8.964,0.019,16909.348,337.545,16388.732,291.473,0000,1.0,-14.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55345.4678383,9.897,0.022,8.999,0.029,17419.305,354.783,15857.945,425.807,0000,1.0,6.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.4682164,9.89,0.022,8.997,0.019,17541.717,363.505,15887.807,283.697,0000,1.0,66.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.600522,9.899,0.025,9.05,0.021,17397.023,394.034,15130.603,297.724,0000,1.0,24.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.7326989,9.911,0.025,9.057,0.023,17206.955,395.46,15040.218,322.6,0000,1.0,-1.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.7328262,9.901,0.025,8.999,0.026,17358.05,400.368,15861.903,375.613,0000,1.0,-1.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.7989147,9.869,0.022,8.976,0.021,17875.287,364.765,16203.16,309.935,0000,1.0,-10.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.8650032,9.915,0.021,9.02,0.025,17134.084,323.942,15559.401,352.793,0000,1.0,-15.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.9310917,9.886,0.026,9.014,0.023,17599.0,425.389,15650.083,332.375,0000,1.0,-7.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.931219,9.903,0.026,8.957,0.025,17329.902,415.02,16493.533,379.012,0000,1.0,-6.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55525.9973074,9.895,0.024,9.043,0.022,17451.729,389.888,15233.946,313.747,0000,0.5,10.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55526.0633959,9.911,0.022,9.002,0.024,17197.14,340.919,15813.147,351.055,0000,1.0,32.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55526.1957002,10.005,0.024,9.046,0.021,15770.501,355.319,15187.446,290.791,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55526.3280044,9.879,0.023,9.046,0.019,17720.398,379.335,15193.912,263.794,0000,1.0,104.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55344.8725347,9.9,0.023,8.978,0.018,17374.031,364.148,16169.139,274.934,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55344.607927,9.928,0.03,8.918,0.022,16942.56,466.449,17094.934,351.395,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
343.524522,-17.5820354,55344.4756232,9.839,0.022,8.976,0.026,18376.453,365.534,16208.25,385.466,0000,1.0,8.0,0000,1,allwise,,,,,,,,,,,
343.5245262,-17.5820533,57349.81958216,,,,,,,,,0000,1.0,-4.186999797821045,00,1,neowise,9.989,0.014,9.034,0.013,75.4,80.8,20390.0,270.59,17487.0,216.49,AA
343.5245233,-17.5820529,57349.55726515,,,,,,,,,0000,1.0,51.2599983215332,00,1,neowise,9.996,0.017,9.055,0.013,64.8,83.6,20251.0,312.5,17162.0,205.19,AA
343.5245208,-17.5820434,57349.88516134,,,,,,,,,0000,1.0,-10.99899959564209,00,1,neowise,9.966,0.016,9.059,0.014,67.3,79.0,20819.0,309.26,17100.0,216.47,AA
343.5245291,-17.5820505,57350.14747834,,,,,,,,,0000,0.5,48.66299819946289,00,1,neowise,10.012,0.015,9.036,0.013,72.8,81.9,19960.0,274.2,17463.0,213.17,AA
343.5245301,-17.5820584,57349.75400293,,,,,,,,,0000,1.0,4.193999767303467,00,1,neowise,10.013,0.018,9.033,0.014,61.5,80.2,19944.0,324.33,17516.0,218.55,AA
343.5245253,-17.582048,57350.01631985,,,,,,,,,0000,1.0,7.2820000648498535,00,1,neowise,9.994,0.015,9.03,0.014,70.8,74.9,20289.0,286.74,17562.0,234.45,AA
343.5245376,-17.5820419,57349.68842366,,,,,,,,,0000,1.0,11.942000389099121,00,1,neowise,9.997,0.015,9.054,0.015,71.7,74.0,20230.0,281.96,17177.0,232.23,AA
343.524531,-17.5820425,57350.27863676,,,,,,,,,0000,1.0,89.0469970703125,00,1,neowise,10.002,0.015,9.034,0.013,71.7,81.6,20133.0,280.7,17487.0,214.21,AA
343.5245259,-17.5820451,57708.39913108,,,,,,,,,0000,1.0,105.22200012207031,00,1,neowise,9.959,0.016,9.019,0.013,67.3,82.4,20955.0,311.42,17789.0,215.88,AA
343.5245276,-17.5820467,57708.53016207,,,,,,,,,0000,1.0,65.45600128173828,00,1,neowise,9.945,0.016,9.034,0.014,67.2,76.9,21233.0,316.04,17541.0,227.98,AA
343.5245177,-17.5820492,57708.66119307,,,,,,,,,0000,1.0,23.948999404907227,00,1,neowise,9.969,0.016,8.989,0.016,68.9,68.3,20763.0,301.54,18277.0,267.62,AA
343.5245344,-17.5820552,57708.72664495,,,,,,,,,0000,0.5,9.491000175476074,00,1,neowise,9.956,0.015,8.988,0.012,70.5,91.3,21012.0,298.24,18292.0,200.39,AA
343.5245223,-17.582087,57708.92312779,,,,,,,,,0000,1.0,-10.322999954223633,00,1,neowise,9.964,0.016,9.013,0.014,66.1,79.3,20849.0,315.28,17879.0,225.42,AA
343.5245334,-17.5820574,57709.11973804,,,,,,,,,0000,1.0,34.13100051879883,00,1,neowise,9.971,0.018,9.023,0.014,61.9,77.9,20714.0,334.43,17721.0,227.39,AA
343.5245269,-17.5820718,57709.25064168,,,,,,,,,0000,1.0,75.54100036621094,00,1,neowise,9.941,0.015,9.015,0.014,72.1,77.2,21313.0,295.76,17840.0,231.09,AA
343.5245429,-17.5820423,57708.79222411,,,,,,,,,0000,1.0,2.6080000400543213,00,1,neowise,9.969,0.019,9.033,0.015,57.4,71.0,20761.0,361.42,17548.0,247.3,AA
343.5245556,-17.5820608,57708.79209679,,,,,,,,,0000,1.0,1.940000057220459,00,1,neowise,9.969,0.018,9.008,0.015,60.9,74.5,20757.0,340.99,17962.0,241.11,AA
343.5245388,-17.582035,57708.857676,,,,,,,,,0000,1.0,-6.96999979019165,00,1,neowise,9.942,0.017,8.999,0.017,65.7,65.0,21274.0,323.67,18104.0,278.64,AA
343.5245278,-17.5820371,57708.988707,,,,,,,,,0000,1.0,-2.0759999752044678,00,1,neowise,9.97,0.018,9.017,0.013,59.2,84.7,20740.0,350.49,17819.0,210.39,AA
343.5245158,-17.5820426,58796.79716194,,,,,,,,,0000,0.5,7.184000015258789,00,1,neowise,10.06,0.019,9.075,0.016,57.7,69.8,19074.0,330.32,16879.0,241.98,AA
343.5245231,-17.5820511,58796.92793792,,,,,,,,,0000,1.0,-9.093000411987305,00,1,neowise,10.131,0.017,9.084,0.015,63.0,74.8,17863.0,283.38,16744.0,223.76,AA
343.5245249,-17.5820504,58797.25506888,,,,,,,,,0000,0.5,67.86799621582031,00,1,neowise,10.087,0.02,9.086,0.018,55.4,60.1,18607.0,335.82,16707.0,278.01,AA
343.5245079,-17.5820599,58797.32039321,,,,,,,,,0000,1.0,87.572998046875,00,1,neowise,10.065,0.015,9.075,0.014,73.7,76.8,18980.0,257.43,16875.0,219.86,AA
343.5245113,-17.5820514,58797.38584485,,,,,,,,,0000,1.0,104.7300033569336,00,1,neowise,10.066,0.017,9.05,0.015,64.9,72.0,18961.0,292.21,17268.0,239.78,AA
343.5245219,-17.5820454,58797.51662148,,,,,,,,,0000,0.5,80.61900329589844,00,1,neowise,10.073,0.02,9.091,0.014,55.6,79.8,18849.0,339.31,16640.0,208.47,AA
343.5245345,-17.5820682,58797.64752477,,,,,,,,,0000,1.0,39.064998626708984,00,1,neowise,10.074,0.015,9.095,0.016,72.0,68.7,18819.0,261.37,16566.0,241.13,AA
343.5245239,-17.5820549,58797.77830079,,,,,,,,,0000,1.0,9.053999900817871,00,1,neowise,10.082,0.014,9.093,0.013,76.3,81.5,18680.0,244.67,16604.0,203.64,AA
343.5245599,-17.5820366,58797.05871395,,,,,,,,,0000,1.0,6.952000141143799,00,1,neowise,10.022,0.019,9.08,0.015,58.3,73.7,19747.0,338.43,16810.0,228.23,AA
343.5245218,-17.5820234,58797.05884131,,,,,,,,,0000,1.0,7.63700008392334,00,1,neowise,10.083,0.017,9.079,0.015,62.5,72.5,18667.0,298.86,16815.0,231.91,AA
343.5245589,-17.5820489,58797.18961723,,,,,,,,,0000,0.5,47.01300048828125,00,1,neowise,10.088,0.015,9.064,0.014,70.7,76.4,18579.0,262.79,17056.0,223.39,AA
343.5245255,-17.582018,59367.30198876,,,,,,,,,0000,1.0,12.38700008392334,11,1,neowise,10.222,0.016,9.215,0.016,70.0,67.4,16425.0,234.55,14842.0,220.32,AA
343.5245403,-17.5820636,57349.29494824,,,,,,,,,0000,1.0,93.43499755859375,00,1,neowise,9.969,0.018,9.05,0.014,59.7,76.1,20764.0,347.77,17234.0,226.54,AA
343.524524,-17.5820403,57349.4261067,,,,,,,,,0000,1.0,92.34700012207031,00,1,neowise,9.974,0.02,9.025,0.014,54.8,76.9,20656.0,376.69,17639.0,229.53,AA
343.524519,-17.5820625,58069.18732044,,,,,,,,,0000,1.0,51.327999114990234,00,1,neowise,9.933,0.016,8.997,0.013,66.1,81.6,21444.0,324.33,18140.0,222.26,AA
343.5245216,-17.5820515,58069.31822384,,,,,,,,,0000,1.0,91.43900299072266,00,1,neowise,9.882,0.018,8.966,0.013,60.7,80.8,22473.0,370.01,18657.0,230.77,AA
343.5245369,-17.5820605,58069.44925456,,,,,,,,,0000,1.0,95.39800262451172,00,1,neowise,9.903,0.017,8.986,0.015,64.3,72.2,22031.0,342.49,18329.0,253.96,AA
343.5245222,-17.5820371,58069.51470631,,,,,,,,,0000,1.0,75.24600219726562,00,1,neowise,9.935,0.019,8.995,0.015,57.9,70.4,21399.0,369.62,18179.0,258.23,AA
343.5245197,-17.5820379,58069.58015801,,,,,,,,,0000,1.0,54.35200119018555,00,1,neowise,9.896,0.016,8.992,0.014,68.5,80.2,22184.0,323.7,18230.0,227.29,AA
343.5244934,-17.5820417,58069.64560976,,,,,,,,,0000,1.0,33.46500015258789,00,1,neowise,9.907,0.016,9.016,0.013,68.4,81.6,21962.0,320.87,17822.0,218.28,AA
343.5245113,-17.5820443,58069.90741661,,,,,,,,,0000,1.0,-10.322999954223633,00,1,neowise,9.922,0.014,8.98,0.014,76.6,78.3,21655.0,282.59,18422.0,235.22,AA
343.5245383,-17.5820504,58069.05641704,,,,,,,,,0000,1.0,9.553999900817871,00,1,neowise,9.914,0.016,8.975,0.016,66.5,67.2,21816.0,327.97,18503.0,275.18,AA
343.524574,-17.5820205,58069.38367554,,,,,,,,,0000,1.0,105.59600067138672,00,1,neowise,9.937,0.019,8.972,0.015,58.7,72.1,21366.0,364.19,18563.0,257.49,AA
343.5245468,-17.5820586,58069.44912725,,,,,,,,,0000,0.5,95.14800262451172,00,1,neowise,9.898,0.017,8.983,0.015,65.8,73.5,22140.0,336.48,18367.0,249.91,AA
343.5245481,-17.5820532,58069.77651316,,,,,,,,,0000,1.0,6.172999858856201,00,1,neowise,9.917,0.016,8.991,0.015,70.0,71.9,21762.0,310.95,18240.0,253.56,AA
343.5245342,-17.582038,58070.03832001,,,,,,,,,0000,1.0,5.631999969482422,00,1,neowise,9.914,0.015,8.972,0.014,70.6,75.6,21807.0,309.01,18567.0,245.45,AA
343.5244756,-17.5820687,58429.65552971,,,,,,,,,0000,1.0,34.67100143432617,00,1,neowise,9.998,0.02,9.022,0.016,54.0,67.3,20187.0,374.05,17719.0,263.2,AA
