ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
217.277405,1.2850312,55220.6200231,10.104,0.028,9.154,0.025,14398.803,370.65,13752.063,317.264,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55220.6201504,10.097,0.029,9.153,0.018,14499.654,390.267,13771.977,226.35,0000,1.0,61.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55220.7524547,10.11,0.024,9.111,0.019,14320.694,320.895,14313.429,249.014,0000,1.0,104.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55220.884759,10.104,0.021,9.132,0.024,14399.223,277.359,14034.581,309.945,0000,1.0,101.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55220.9509748,10.13,0.029,9.138,0.022,14056.065,381.074,13962.095,281.424,0000,1.0,80.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55221.0170633,10.084,0.028,9.086,0.027,14673.893,378.525,14643.547,365.829,0000,1.0,60.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.0740199,10.075,0.023,9.122,0.022,14787.978,314.962,14160.943,292.441,0000,1.0,48.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55221.1493676,10.112,0.036,9.112,0.019,14289.81,476.636,14295.929,250.139,0000,1.0,31.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55221.149495,10.151,0.025,9.112,0.027,13787.696,321.674,14293.834,354.291,0000,1.0,30.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55221.2155835,10.091,0.023,9.098,0.021,14569.491,308.968,14486.262,277.782,0000,1.0,23.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55221.3478878,10.124,0.028,9.154,0.021,14134.382,363.057,13749.083,260.405,0000,1.0,10.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55221.4803194,10.108,0.029,9.134,0.029,14352.97,389.518,14002.793,376.447,0000,1.0,24.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55399.9417162,10.082,0.022,9.087,0.028,14689.729,302.316,14625.933,374.207,0000,1.0,17.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55221.0832792,10.078,0.02,9.119,0.021,14751.396,265.552,14205.567,276.446,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.2063237,10.072,0.023,9.158,0.023,14827.972,313.884,13699.682,296.488,0000,1.0,90.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55587.796436,10.043,0.022,,,15229.297,312.749,,,0000,1.0,118.0,0111,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.3386274,10.059,0.023,9.093,0.024,15006.5,320.421,14542.091,319.037,0000,1.0,115.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.4047157,10.056,0.024,9.12,0.02,15048.412,333.555,14186.142,258.283,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.4709312,10.065,0.023,9.14,0.018,14931.975,319.451,13926.056,226.486,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.5370195,10.043,0.024,9.096,0.02,15230.617,331.196,14502.194,268.282,0000,1.0,53.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.6693232,10.07,0.023,9.133,0.021,14859.29,311.555,14019.287,268.182,0000,1.0,27.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.8016271,10.058,0.022,9.085,0.022,15024.63,310.073,14650.538,297.127,0000,1.0,9.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55400.9339308,10.052,0.025,9.131,0.022,15111.679,346.709,14048.345,280.924,0000,1.0,15.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55584.4237591,10.033,0.02,9.149,0.021,15372.615,286.381,13817.287,265.982,0000,1.0,15.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55584.5560634,10.044,0.021,9.143,0.021,15214.711,295.093,13892.208,274.66,0000,1.0,43.0,0000,1,allwise,,,,,,,,,,,
217.277405,1.2850312,55584.6883677,10.065,0.025,9.154,0.029,14933.945,349.119,13755.731,365.263,0000,0.5,84.0,0000,1,allwise,,,,,,,,,,,
