ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
166.698632,72.5688144,55495.2693743,7.245,0.046,6.868,0.039,200492.39,8496.377,112916.89,4055.832,HHHH,1.0,87.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55495.203286,7.254,0.07,6.857,0.046,198749.83,12757.833,114087.92,4845.817,HHHH,1.0,91.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55495.33559,7.197,0.048,6.891,0.043,209531.12,9263.106,110538.414,4402.863,HHHH,1.0,83.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55495.4016783,7.183,0.065,6.648,0.033,212153.31,12673.646,138243.06,4242.706,HHHH,1.0,82.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55495.5339822,7.163,0.07,6.72,0.036,216227.58,13937.118,129461.24,4251.056,HHHH,1.0,84.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55495.6000706,7.337,0.109,6.799,0.035,184230.64,18510.234,120314.84,3901.676,HHHH,1.0,87.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55495.7323746,7.219,0.038,6.707,0.056,205382.69,7232.555,130922.14,6698.362,HHHH,1.0,98.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55495.8645512,8.049,0.116,7.872,0.105,95595.26,10219.347,44802.926,4338.645,HHHH,1.0,108.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55499.6342596,7.255,0.05,6.9,0.029,198631.22,9084.057,109650.07,2939.823,HHHH,1.0,89.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55303.3703088,7.384,0.097,7.11,0.047,176371.72,15725.822,90376.62,3874.245,HHHH,1.0,102.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55303.4363972,7.35,0.1,7.123,0.056,182050.62,16821.836,89305.875,4578.959,HHHH,1.0,98.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55303.502613,7.52,0.114,7.129,0.091,155525.53,16307.555,88802.695,7480.887,HHHH,1.0,93.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55303.5687014,7.423,0.087,7.156,0.053,170118.11,13570.078,86580.32,4207.598,HHHH,1.0,88.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55303.6349172,7.415,0.093,7.12,0.084,171375.34,14751.08,89560.695,6908.832,HHHH,1.0,85.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55304.0318298,7.355,0.371,7.192,0.071,181174.81,61832.75,83778.695,5515.283,HHHH,1.0,97.0,0000,1,allwise,,,,,,,,,,,
166.698632,72.5688144,55304.0979183,7.599,0.136,7.172,0.098,144694.23,18083.06,85324.49,7715.257,HHHH,1.0,101.0,0000,1,allwise,,,,,,,,,,,
