ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
133.7036392,20.1085075,55503.7445971,10.148,0.023,9.173,0.019,13834.676,293.617,13510.405,242.102,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55503.6124204,10.162,0.026,9.116,0.019,13646.767,323.913,14239.835,254.371,0000,1.0,67.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.009205,10.16,0.023,9.083,0.017,13676.169,285.881,14684.274,228.096,0000,1.0,74.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.0752933,10.169,0.02,9.134,0.018,13569.542,254.612,14009.581,237.972,0000,1.0,58.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.1413816,10.184,0.024,9.047,0.023,13384.263,300.995,15170.659,318.894,0000,1.0,49.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.141509,10.194,0.023,9.066,0.021,13261.489,283.83,14918.704,284.694,0000,0.5,48.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.2075973,10.114,0.021,9.148,0.024,14265.369,277.439,13826.667,299.705,0000,1.0,41.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.3399014,10.14,0.023,9.207,0.019,13931.15,290.928,13092.525,234.362,0000,1.0,26.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.472078,10.203,0.027,9.073,0.023,13145.05,321.887,14820.931,310.181,0000,1.0,36.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55504.604388,10.059,0.018,9.006,0.013,15007.02,243.014,15754.432,189.481,0000,0.5,65.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.3573223,10.404,0.029,9.362,0.028,10926.167,292.143,11360.066,289.186,0000,1.0,115.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.4896266,10.396,0.027,9.379,0.023,11006.849,277.254,11178.372,238.14,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.6219308,10.396,0.028,9.347,0.021,11007.39,286.278,11514.703,225.751,0000,1.0,51.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.6880193,10.394,0.022,9.358,0.023,11028.846,226.352,11398.729,246.261,0000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.7542351,10.345,0.032,9.324,0.025,11537.062,344.441,11762.967,274.579,0000,1.0,34.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.8203236,10.392,0.022,9.315,0.022,11045.134,225.139,11853.928,243.381,0000,1.0,29.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.8865394,10.374,0.031,9.31,0.023,11226.18,324.992,11907.128,257.318,0000,1.0,30.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.9526278,10.368,0.024,9.349,0.021,11294.482,244.702,11490.459,225.639,0000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55313.0849321,10.355,0.028,9.281,0.023,11429.785,298.9,12229.345,261.776,0000,1.0,66.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55313.2172363,10.364,0.024,9.355,0.03,11333.07,250.687,11429.762,311.213,0000,1.0,104.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55503.876901,10.172,0.021,9.179,0.019,13533.013,262.963,13439.245,238.882,0000,1.0,113.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.2248907,10.435,0.04,9.364,0.023,10616.068,392.163,11332.653,234.906,0000,1.0,106.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.357195,10.416,0.027,9.381,0.026,10802.572,273.069,11157.106,265.673,0000,1.0,115.0,0000,1,allwise,,,,,,,,,,,
133.7036392,20.1085075,55312.225018,10.449,0.029,9.372,0.031,10482.634,279.198,11252.321,324.871,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
133.7036919,20.1085276,59161.56277801,,,,,,,,,0000,1.0,26.399999618530273,11,1,neowise,10.469,0.018,9.476,0.019,59.7,56.0,13081.0,219.15,11669.0,208.46,AA
133.7036728,20.1084983,60407.99239384,,,,,,,,,0000,1.0,31.26300048828125,00,1,neowise,10.053,0.015,9.105,0.014,73.2,76.6,19192.0,262.25,16424.0,214.4,AA
133.703656,20.1085075,60408.12062317,,,,,,,,,0000,1.0,52.433998107910156,00,1,neowise,10.099,0.018,9.126,0.015,60.5,71.0,18396.0,303.98,16102.0,226.79,AA
133.7036668,20.1085207,60408.12049586,,,,,,,,,0000,1.0,51.974998474121094,00,1,neowise,10.089,0.018,9.124,0.015,60.9,72.2,18571.0,305.18,16141.0,223.7,AA
