ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
213.4513808,44.0039058,55372.0344138,10.037,0.023,8.981,0.021,15311.636,322.788,16133.701,319.116,0000,1.0,77.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55373.5558432,10.066,0.032,8.972,0.022,14910.066,440.588,16260.339,323.395,0000,1.0,82.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55372.2990213,10.043,0.025,8.938,0.021,15234.731,345.057,16781.469,330.341,0000,1.0,131.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55372.431325,10.041,0.023,8.997,0.019,15258.59,327.792,15889.168,278.373,0000,1.0,102.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55372.4974132,10.054,0.025,8.964,0.019,15073.541,340.377,16388.316,293.226,0000,1.0,90.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55372.5636288,10.044,0.026,8.976,0.02,15220.389,365.686,16203.698,299.464,0000,1.0,82.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55372.6297169,10.036,0.02,8.95,0.02,15326.255,277.607,16592.729,309.627,0000,1.0,74.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55372.6959324,10.027,0.027,8.936,0.024,15456.143,388.198,16811.271,374.865,0000,1.0,64.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55560.609867,10.02,0.02,8.997,0.02,15555.006,286.935,15896.692,294.829,0000,1.0,81.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55560.7421714,10.063,0.025,9.004,0.021,14961.684,344.877,15790.621,312.306,0000,0.5,109.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55560.8744758,10.123,0.032,8.988,0.023,14145.548,422.29,16020.067,341.591,0000,0.5,125.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55560.9405643,10.03,0.024,9.064,0.023,15414.246,342.755,14938.794,322.483,0000,0.5,110.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55561.0066529,10.025,0.025,9.005,0.023,15489.034,351.116,15775.02,336.967,0000,0.5,96.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55561.0728687,10.012,0.024,8.96,0.018,15677.133,348.122,16444.666,270.894,0000,0.5,85.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55561.2050458,10.036,0.019,9.007,0.021,15332.131,267.751,15742.55,304.792,0000,1.0,69.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55561.2712617,10.022,0.023,9.066,0.019,15529.383,330.592,14918.552,265.613,0000,0.5,59.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55561.3373502,10.09,0.025,8.981,0.02,14590.3,338.28,16129.442,295.795,0000,0.5,55.0,0000,1,allwise,,,,,,,,,,,
213.4513808,44.0039058,55561.4034387,10.041,0.027,8.972,0.027,15254.915,385.668,16262.598,404.785,0000,1.0,56.0,0000,1,allwise,,,,,,,,,,,
