ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
196.3875521,-10.5553788,55208.7129379,11.382,0.036,10.254,0.022,4437.221,148.64,4994.676,101.117,0000,1.0,87.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55571.5317927,11.382,0.023,10.28,0.031,4436.328,95.933,4876.062,140.033,0000,1.0,29.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55208.7791539,11.35,0.023,10.236,0.021,4571.064,95.181,5075.116,100.078,0000,1.0,106.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55208.9114586,11.36,0.027,10.236,0.025,4529.321,113.975,5075.292,117.804,0000,1.0,85.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55209.0438907,11.362,0.025,10.25,0.032,4522.155,103.144,5013.957,145.705,0000,1.0,43.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55382.872365,11.364,0.03,10.349,0.034,4510.336,124.994,4575.107,145.36,0000,1.0,-2.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.0046687,11.352,0.025,10.269,0.022,4562.387,106.682,4923.569,99.695,0000,1.0,21.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.1369724,11.377,0.025,10.238,0.023,4456.713,102.119,5066.957,108.68,0000,1.0,62.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.2030606,11.391,0.022,10.237,0.019,4400.591,90.687,5069.997,88.023,0000,1.0,83.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.2692766,11.425,0.049,10.267,0.026,4264.284,191.635,4933.829,118.194,0000,1.0,103.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.3353647,11.395,0.023,10.25,0.023,4383.573,92.414,5010.306,104.357,0000,1.0,111.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.4014529,11.397,0.03,10.261,0.027,4377.538,119.796,4960.413,124.018,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.4015802,11.401,0.031,10.298,0.022,4361.202,125.589,4793.771,95.948,0000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.4676684,11.348,0.022,10.251,0.025,4577.76,93.77,5006.578,115.737,0000,1.0,70.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.5999721,11.374,0.024,10.243,0.022,4470.341,100.781,5045.508,104.161,0000,1.0,29.0,0000,1,allwise,,,,,,,,,,,
196.3875521,-10.5553788,55383.7322758,11.376,0.022,10.216,0.024,4462.333,88.944,5172.219,115.972,0000,1.0,10.0,0000,1,allwise,,,,,,,,,,,
