ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
123.6078974,29.6876747,55490.9134027,14.929,0.1,13.725,0.112,169.151,15.561,204.21,21.009,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.0457067,14.718,0.084,13.804,0.108,205.505,15.814,189.765,18.886,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.111795,14.856,0.09,13.914,0.12,180.993,15.024,171.593,18.99,0000,1.0,61.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.1778833,14.822,0.084,13.725,0.102,186.707,14.495,204.092,19.247,0000,1.0,54.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.1780106,14.856,0.098,13.747,0.115,181.035,16.39,200.07,21.101,0000,1.0,54.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.2597056,14.933,0.095,13.859,0.14,168.619,14.814,180.469,23.234,0000,1.0,121.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.3920098,14.968,0.095,13.689,0.117,163.25,14.323,211.045,22.706,0000,1.0,107.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.5243138,15.038,0.119,13.694,0.103,153.026,16.774,210.164,19.982,0000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.656618,14.78,0.086,13.693,0.11,194.172,15.45,210.253,21.244,0000,1.0,55.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.7227064,14.739,0.086,13.709,0.102,201.535,16.046,207.186,19.545,0000,1.0,46.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.7228337,14.988,0.109,13.868,0.121,160.268,16.085,178.968,19.947,0000,1.0,46.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.7889221,14.979,0.103,13.739,0.112,161.549,15.254,201.626,20.781,0000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.8550105,15.263,0.163,13.898,0.123,124.385,18.62,174.128,19.655,0000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.8551378,14.97,0.103,13.645,0.1,162.996,15.514,219.794,20.154,0000,1.0,39.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.9212262,14.758,0.087,13.754,0.122,198.017,15.89,198.709,22.351,0000,1.0,42.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55299.9874419,14.847,0.093,13.72,0.1,182.486,15.594,205.139,18.934,0000,1.0,52.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55300.1197461,14.778,0.088,13.683,0.104,194.388,15.705,212.31,20.386,0000,1.0,81.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.2440989,14.734,0.077,13.859,0.115,202.396,14.413,180.46,19.049,0000,1.0,45.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.3101872,14.895,0.094,13.873,0.118,174.502,15.079,178.223,19.42,0000,1.0,37.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.3764029,14.903,0.093,13.907,0.127,173.239,14.817,172.693,20.213,0000,1.0,37.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.5085795,14.867,0.089,13.831,0.127,179.22,14.761,185.237,21.688,0000,1.0,50.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.6408835,14.868,0.086,13.733,0.1,179.056,14.122,202.721,18.662,0000,1.0,79.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55491.7731875,15.024,0.1,13.7,0.102,155.013,14.28,208.862,19.709,0000,1.0,117.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55300.2520502,14.871,0.096,13.751,0.111,178.41,15.83,199.432,20.37,0000,1.0,118.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55300.3843543,14.682,0.078,13.851,0.117,212.404,15.306,181.87,19.666,0000,1.0,109.0,0000,1,allwise,,,,,,,,,,,
123.6078974,29.6876747,55490.7810987,14.895,0.093,13.77,0.112,174.628,15.02,195.917,20.285,0000,1.0,119.0,0000,1,allwise,,,,,,,,,,,
123.607881,29.6877154,60397.13007707,,,,,,,,,0000,0.5,62.229000091552734,00,1,neowise,14.262,0.062,13.506,0.112,17.5,9.7,397.64,22.747,285.02,29.517,AB
123.6077935,29.6876994,60397.0018477,,,,,,,,,0000,0.5,41.5620002746582,00,1,neowise,14.27,0.078,13.205,0.094,13.9,11.5,394.95,28.499,376.17,32.712,AA
