ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
346.5590874,-1.0068065,55534.134215,13.796,0.055,13.065,0.07,480.302,24.389,375.091,24.123,0000,0.5,63.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55355.850693,13.755,0.044,12.926,0.06,498.942,20.33,425.999,23.707,0000,1.0,109.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55534.2665194,13.774,0.051,13.132,0.073,490.156,22.863,352.407,23.602,0000,1.0,105.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55534.3988237,13.739,0.048,13.149,0.081,506.458,22.566,347.166,25.91,0000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55534.5310007,13.813,0.057,13.209,0.078,473.021,24.873,328.435,23.502,0000,1.0,52.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55534.531128,13.864,0.066,13.0,0.073,451.429,27.618,397.971,26.724,0000,1.0,52.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55534.663305,13.913,0.053,13.074,0.073,431.235,21.228,371.78,25.104,0000,1.0,22.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55534.2004309,13.802,0.05,13.035,0.071,477.842,22.211,385.332,25.144,0000,1.0,85.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55355.7183892,13.827,0.052,13.027,0.077,466.857,22.242,388.163,27.416,0000,1.0,92.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55533.8036452,13.852,0.057,13.125,0.071,456.165,23.818,354.816,23.183,0000,1.0,4.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55533.6713409,13.721,0.045,13.133,0.071,514.77,21.464,352.3,22.966,0000,1.0,21.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55356.7106039,13.707,0.054,12.915,0.062,521.292,25.852,430.538,24.67,0000,1.0,90.0,0000,1,allwise,,,,,,,,,,,
346.5590874,-1.0068065,55356.5783002,13.679,0.045,13.055,0.066,535.082,22.297,378.451,23.003,0000,1.0,47.0,0000,1,allwise,,,,,,,,,,,
