ra,dec,mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,cc_flags,qi_fact,saa_sep,moon_masked,nb,source_table,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w1snr,w2snr,w1flux,w1sigflux,w2flux,w2sigflux,ph_qual
153.4726253,24.8212466,55327.5744743,12.87,0.036,11.799,0.033,1127.608,37.29,1203.571,37.129,d000,1.0,63.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55327.4421702,12.888,0.034,11.733,0.03,1108.336,34.976,1278.559,34.782,d000,1.0,92.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55327.7067784,12.826,0.035,11.797,0.036,1173.838,37.449,1205.805,39.683,d000,1.0,46.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55519.1519942,12.879,0.034,11.84,0.044,1117.719,35.193,1158.825,46.804,d000,1.0,53.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55327.9052984,12.825,0.036,11.739,0.042,1174.469,39.184,1271.258,48.736,d000,1.0,38.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55327.9713868,12.84,0.032,11.723,0.031,1158.938,34.593,1290.464,37.171,d000,1.0,47.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55328.0376025,12.848,0.032,11.796,0.037,1149.881,33.791,1206.765,40.622,d000,1.0,61.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55328.103691,12.962,0.043,11.779,0.037,1036.012,41.068,1225.323,42.188,d000,1.0,75.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55328.1699072,12.867,0.036,11.77,0.037,1130.171,37.285,1235.625,41.605,d000,1.0,93.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55328.3022113,12.812,0.029,11.733,0.035,1189.071,31.895,1278.983,41.656,d000,1.0,133.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55328.4345155,12.917,0.038,11.801,0.035,1079.709,38.014,1200.651,38.756,d000,1.0,94.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.1598975,12.86,0.032,11.821,0.041,1137.615,34.011,1179.246,44.038,d000,1.0,52.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.2922016,13.006,0.036,11.792,0.037,994.77,32.866,1211.239,40.767,d000,0.5,34.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.4245058,12.856,0.036,11.826,0.036,1141.868,37.882,1174.051,39.027,d000,1.0,35.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.4905941,12.867,0.03,11.811,0.033,1129.855,31.413,1190.255,36.624,d000,1.0,44.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.5566888,12.911,0.037,11.82,0.039,1085.345,37.017,1180.332,42.296,d000,1.0,58.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.6229046,12.876,0.035,11.785,0.032,1120.871,36.052,1218.951,35.626,d000,1.0,73.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.688993,12.908,0.035,11.782,0.04,1088.421,35.36,1222.327,45.015,d000,1.0,91.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.7550815,12.941,0.039,11.803,0.042,1055.805,37.49,1198.938,46.2,d000,1.0,111.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55518.8873857,12.835,0.042,11.84,0.035,1163.848,45.479,1158.66,37.79,d000,1.0,113.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55519.01969,12.837,0.034,11.777,0.034,1162.417,35.935,1228.515,39.017,d000,1.0,75.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55519.1518668,12.879,0.045,11.856,0.038,1117.585,45.961,1142.181,39.51,d000,0.5,53.0,0000,1,allwise,,,,,,,,,,,
153.4726253,24.8212466,55327.8390826,12.84,0.035,11.751,0.035,1158.329,37.497,1258.1,40.859,d000,1.0,36.0,0000,1,allwise,,,,,,,,,,,
153.4726098,24.82125,59171.95864365,,,,,,,,,0000,0.5,110.87699890136719,00,1,neowise,13.044,0.031,11.834,0.044,35.1,24.9,1221.1,34.826,1329.5,53.449,AA
153.4726073,24.8212755,59172.08941962,,,,,,,,,0000,1.0,70.30799865722656,00,1,neowise,12.967,0.03,11.821,0.033,36.4,33.0,1310.6,35.976,1346.0,40.758,AA
153.4727147,24.8212678,59171.50035458,,,,,,,,,0000,0.5,22.15399932861328,00,1,neowise,13.036,0.034,11.8,0.036,31.9,30.1,1229.6,38.486,1371.7,45.646,AA
153.4726275,24.8212715,59171.63163992,,,,,,,,,0000,1.0,44.236000061035156,00,1,neowise,13.043,0.031,11.825,0.041,35.0,26.2,1222.3,34.968,1340.8,51.102,AA
153.4726536,24.8212375,59171.76241594,,,,,,,,,0000,0.5,81.30899810791016,00,1,neowise,13.001,0.031,11.887,0.034,34.8,32.4,1270.6,36.528,1266.1,39.097,AA
153.4726754,24.8212145,59171.82786758,,,,,,,,,0000,0.5,102.42400360107422,00,1,neowise,12.973,0.032,11.898,0.041,33.7,26.3,1303.6,38.67,1253.8,47.607,AA
153.4726285,24.82124,59171.89319196,,,,,,,,,0000,1.0,123.61900329589844,00,1,neowise,12.954,0.032,11.841,0.037,34.2,29.6,1326.2,38.804,1320.9,44.58,AA
153.4726347,24.8212551,59172.02396797,,,,,,,,,0000,0.5,90.30799865722656,00,1,neowise,12.991,0.031,11.788,0.032,34.6,33.6,1282.1,37.079,1387.0,41.311,AA
153.4726675,24.8212637,59172.22019559,,,,,,,,,0000,1.0,40.3650016784668,00,1,neowise,12.952,0.029,11.921,0.043,37.4,25.2,1329.3,35.503,1228.0,48.777,AA
153.4726553,24.8212614,59172.35097156,,,,,,,,,0000,0.5,24.08799934387207,00,1,neowise,12.973,0.036,11.804,0.042,30.1,26.2,1303.1,43.28,1367.5,52.284,AA
153.4726385,24.8212217,59172.48123828,,,,,,,,,0000,0.5,20.663000106811523,00,1,neowise,12.947,0.029,11.881,0.036,37.5,30.4,1334.9,35.632,1273.8,41.956,AA
153.4726115,24.8212337,57345.06463714,,,,,,,,,0000,1.0,70.41600036621094,00,1,neowise,12.879,0.029,11.746,0.031,37.7,35.2,1422.6,37.77,1439.0,40.898,AA
153.472593,24.8212547,57344.93347866,,,,,,,,,0000,0.5,108.05799865722656,00,1,neowise,12.904,0.028,11.708,0.034,39.4,32.3,1390.9,35.33,1490.2,46.166,AA
153.4726352,24.8213028,57345.26137472,,,,,,,,,0000,1.0,39.742000579833984,00,1,neowise,12.932,0.029,11.8,0.033,37.6,33.3,1355.2,36.058,1369.2,41.082,AA
153.4726757,24.8213003,57345.19579553,,,,,,,,,0000,1.0,47.75,00,1,neowise,12.789,0.035,11.659,0.051,31.3,21.2,1546.5,49.345,1559.0,73.438,AA
153.4726784,24.8212446,57344.80232022,,,,,,,,,0000,1.0,113.10199737548828,00,1,neowise,12.83,0.027,11.802,0.031,40.3,34.5,1489.4,36.991,1367.1,39.615,AA
153.4726553,24.8212651,57345.65485449,,,,,,,,,0000,1.0,68.59700012207031,00,1,neowise,12.907,0.037,11.827,0.034,29.7,32.0,1387.1,46.646,1336.0,41.793,AA
153.4726667,24.8212206,57345.78601295,,,,,,,,,0000,1.0,107.81400299072266,00,1,neowise,12.907,0.03,11.8,0.032,36.3,33.7,1386.6,38.175,1369.9,40.615,AA
