source_id,canonical_id
PKS,PKS
Mrk 501,Mrk 501
PG,PG
3C 279,3C 279
3C 66A,3C 66A
IIZw 136,IIZw 136
4C 34.47,4C 34.47
TON 153,TON 153
Mrk 421,Mrk 421
4C 29.45,4C 29.45
TON 1542,TON 1542
3C 371,3C 371
Mrk 734,Mrk 734
3C 232,3C 232
HS,HS
MR,MR
B2,B2
BL Lac,BL Lac
IIZw 1,IIZw 1
3C 351,3C 351
3C 446,3C 446
NGC 1275,NGC 1275
OJ 287,OJ 287
3C 273,3C 273
3C 120,3C 120
Mrk 205,Mrk 205
Fairall 9,Fairall 9
3C 345,3C 345
TON 490,TON 490
AKN 120,AKN 120
IIIZw 2,IIIZw 2
Mrk 180,Mrk 180
Mrk 1383,Mrk 1383
3C 382.0,3C 382.0
