source_id,error,timestamp
4FGL J0124.8-0625,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:30:28.105776+00:00
4FGL J0123.1+3421,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:31:04.660952+00:00
4FGL J0123.7-2311,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:31:04.675433+00:00
4FGL J0123.7+4209,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:31:04.719779+00:00
4FGL J0136.5+3906,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:34:40.654329+00:00
4FGL J0128.2-1722,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:34:40.658521+00:00
4FGL J0135.1+0255,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:35:01.509520+00:00
4FGL J0134.5+2637,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:35:01.512192+00:00
4FGL J0135.0+5338,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:35:01.513739+00:00
4FGL J0134.3-3842,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:35:01.547902+00:00
4FGL J0133.2-4533,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:37:39.256336+00:00
4FGL J0132.8+4324,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:38:16.099263+00:00
4FGL J0133.1-5201,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:38:16.102854+00:00
4FGL J0127.9+4857,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:38:36.842409+00:00
4FGL J0131.2+5547,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:38:36.846091+00:00
4FGL J0132.8-4413,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:38:36.848445+00:00
4FGL J0132.7-1654,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:38:36.848487+00:00
4FGL J0131.1+6120,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:39:12.525891+00:00
4FGL J0130.6+1844,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:41:14.966636+00:00
4FGL J0129.7+3436,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:41:51.433411+00:00
4FGL J0049.7+0237,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:43:46.960628+00:00
4FGL J0009.8-6358,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:47:18.910575+00:00
4FGL J0008.0-3937,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:47:18.916026+00:00
4FGL J0004.4-4737,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:49:40.859633+00:00
4FGL J0004.3+4614,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:49:40.866861+00:00
4FGL J0007.7+4008,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:50:35.059735+00:00
4FGL J0004.0+0840,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:50:35.059847+00:00
4FGL J0003.9-1149,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:50:35.081441+00:00
4FGL J0010.6+2043,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:50:35.085954+00:00
4FGL J0015.9+2440,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:50:54.201651+00:00
4FGL J0010.8-2154,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:50:54.227567+00:00
4FGL J0015.2+3537,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:53:16.340679+00:00
4FGL J0015.6+5551,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:53:16.340887+00:00
4FGL J0013.1-3955,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:56:51.635682+00:00
4FGL J0012.0+7043,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:57:31.114816+00:00
4FGL J0011.4+0057,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:57:31.124034+00:00
4FGL J0011.4-4110,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:57:51.453043+00:00
4FGL J0014.1+1910,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:57:51.460697+00:00
4FGL J0016.2-0016,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:57:51.700818+00:00
4FGL J0003.5+0717,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T09:57:51.774581+00:00
5BZQ J2356+8152,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:01:06.455098+00:00
5BZQ J2357+0448,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:01:06.455181+00:00
5BZG J2356+4036,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:01:26.793734+00:00
5BZB J2356-0023,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:01:26.794882+00:00
5BZQ J2356-6820,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:01:26.977214+00:00
5BZQ J2355-3357,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:01:27.080001+00:00
5BZU J2354-0405,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:02:19.852209+00:00
5BZB J2357-0152,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:02:19.875249+00:00
5BZU J2354-4106,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:04:42.833120+00:00
5BZQ J2354-1513,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:04:42.859924+00:00
5BZQ J2354-0957,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:05:02.184513+00:00
5BZQ J2352-2825,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:06:50.734648+00:00
4FGL J0003.3-5905,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:00.045619+00:00
5BZB J2357-1718,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:00.069433+00:00
5BZQ J2354+4553,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:00.069470+00:00
5BZQ J2357-5311,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:00.072416+00:00
4FGL J0003.1-5248,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:18.212946+00:00
4FGL J0002.4-5156,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:18.272878+00:00
4FGL J0002.3-0815,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:37.522487+00:00
4FGL J0002.1-6728,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:10:26.133599+00:00
4FGL J0001.8-2153,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.369635+00:00
4FGL J0001.5+2113,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.374543+00:00
4FGL J0001.6-4156,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.376103+00:00
4FGL J0001.4-0010,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.451786+00:00
