Loaded 156,950 sources from data/benchmark/benchmark_master_v3.csv
Cards directory: cards/benchmark_v3
Workers: 8 | Timeout: 60s | Max retries: 3
Starting at 2026-03-02T09:16:25.223599+00:00
------------------------------------------------------------
Queued initial batch: 64 in-flight requests
[heartbeat] processed=0/156,950 in_flight=64 done=0 skipped=0 failed=0 cards=0.00GB elapsed=0h00m ETA=0:00:00
[heartbeat] processed=8/156,950 in_flight=64 done=8 skipped=0 failed=0 cards=0.00GB elapsed=0h01m ETA=14 days, 19:47:47
[heartbeat] processed=31/156,950 in_flight=64 done=15 skipped=16 failed=0 cards=0.00GB elapsed=0h01m ETA=5 days, 16:34:17
[heartbeat] processed=31/156,950 in_flight=64 done=15 skipped=16 failed=0 cards=0.00GB elapsed=0h02m ETA=7 days, 10:46:56
[heartbeat] processed=41/156,950 in_flight=64 done=21 skipped=20 failed=0 cards=0.00GB elapsed=0h02m ETA=6 days, 23:23:50
[heartbeat] processed=49/156,950 in_flight=64 done=29 skipped=20 failed=0 cards=0.00GB elapsed=0h03m ETA=7 days, 0:33:57
[heartbeat] processed=49/156,950 in_flight=64 done=29 skipped=20 failed=0 cards=0.00GB elapsed=0h03m ETA=8 days, 3:16:15
[heartbeat] processed=49/156,950 in_flight=64 done=29 skipped=20 failed=0 cards=0.00GB elapsed=0h04m ETA=9 days, 5:58:32
[heartbeat] processed=54/156,950 in_flight=64 done=34 skipped=20 failed=0 cards=0.00GB elapsed=0h04m ETA=9 days, 12:45:34
[heartbeat] processed=66/156,950 in_flight=64 done=38 skipped=28 failed=0 cards=0.00GB elapsed=0h05m ETA=8 days, 15:41:03
[heartbeat] processed=73/156,950 in_flight=64 done=45 skipped=28 failed=0 cards=0.00GB elapsed=0h05m ETA=8 days, 13:41:16
[heartbeat] processed=81/156,950 in_flight=64 done=53 skipped=28 failed=0 cards=0.00GB elapsed=0h06m ETA=8 days, 12:05:21
[heartbeat] processed=89/156,950 in_flight=64 done=61 skipped=28 failed=0 cards=0.00GB elapsed=0h06m ETA=8 days, 9:43:46
[heartbeat] processed=93/156,950 in_flight=64 done=63 skipped=30 failed=0 cards=0.00GB elapsed=0h07m ETA=8 days, 15:25:44
[heartbeat] processed=103/156,950 in_flight=64 done=71 skipped=32 failed=0 cards=0.00GB elapsed=0h07m ETA=8 days, 8:40:04
[heartbeat] processed=117/156,950 in_flight=64 done=79 skipped=38 failed=0 cards=0.00GB elapsed=0h08m ETA=7 days, 20:39:30
[heartbeat] processed=117/156,950 in_flight=64 done=79 skipped=38 failed=0 cards=0.00GB elapsed=0h08m ETA=8 days, 7:50:23
[heartbeat] processed=134/156,950 in_flight=64 done=92 skipped=42 failed=0 cards=0.00GB elapsed=0h09m ETA=7 days, 17:39:42
[heartbeat] processed=135/156,950 in_flight=64 done=93 skipped=42 failed=0 cards=0.00GB elapsed=0h10m ETA=8 days, 2:56:20
[heartbeat] processed=136/156,950 in_flight=64 done=94 skipped=42 failed=0 cards=0.00GB elapsed=0h10m ETA=8 days, 12:13:44
[heartbeat] processed=139/156,950 in_flight=64 done=97 skipped=42 failed=0 cards=0.00GB elapsed=0h11m ETA=8 days, 17:38:30
[heartbeat] processed=139/156,950 in_flight=64 done=97 skipped=42 failed=0 cards=0.00GB elapsed=0h11m ETA=9 days, 3:03:02
[heartbeat] processed=143/156,950 in_flight=64 done=101 skipped=42 failed=0 cards=0.00GB elapsed=0h12m ETA=9 days, 7:04:45
[heartbeat] processed=143/156,950 in_flight=64 done=101 skipped=42 failed=0 cards=0.00GB elapsed=0h12m ETA=9 days, 16:13:32
[heartbeat] processed=143/156,950 in_flight=64 done=101 skipped=42 failed=0 cards=0.00GB elapsed=0h13m ETA=10 days, 1:22:22
[heartbeat] processed=143/156,950 in_flight=64 done=101 skipped=42 failed=0 cards=0.00GB elapsed=0h13m ETA=10 days, 10:31:10
[heartbeat] processed=144/156,950 in_flight=64 done=101 skipped=42 failed=1 cards=0.00GB elapsed=0h14m ETA=10 days, 19:48:50
[heartbeat] processed=147/156,950 in_flight=64 done=101 skipped=42 failed=4 cards=0.00GB elapsed=0h14m ETA=11 days, 5:26:33
[heartbeat] processed=151/156,950 in_flight=64 done=105 skipped=42 failed=4 cards=0.00GB elapsed=0h15m ETA=11 days, 7:12:00
[heartbeat] processed=151/156,950 in_flight=64 done=105 skipped=42 failed=4 cards=0.00GB elapsed=0h15m ETA=11 days, 16:06:03
[heartbeat] processed=151/156,950 in_flight=64 done=105 skipped=42 failed=4 cards=0.00GB elapsed=0h16m ETA=12 days, 1:00:01
[heartbeat] processed=151/156,950 in_flight=64 done=105 skipped=42 failed=4 cards=0.00GB elapsed=0h16m ETA=12 days, 9:53:52
[heartbeat] processed=151/156,950 in_flight=64 done=105 skipped=42 failed=4 cards=0.00GB elapsed=0h17m ETA=12 days, 18:47:40
[heartbeat] processed=153/156,950 in_flight=64 done=107 skipped=42 failed=4 cards=0.00GB elapsed=0h17m ETA=13 days, 0:10:30
[heartbeat] processed=155/156,950 in_flight=64 done=107 skipped=42 failed=6 cards=0.00GB elapsed=0h18m ETA=13 days, 9:42:16
[heartbeat] processed=159/156,950 in_flight=64 done=107 skipped=42 failed=10 cards=0.00GB elapsed=0h18m ETA=13 days, 18:44:15
[heartbeat] processed=160/156,950 in_flight=64 done=108 skipped=42 failed=10 cards=0.00GB elapsed=0h19m ETA=14 days, 1:19:55
[heartbeat] processed=160/156,950 in_flight=64 done=108 skipped=42 failed=10 cards=0.00GB elapsed=0h19m ETA=14 days, 10:03:10
[heartbeat] processed=160/156,950 in_flight=64 done=108 skipped=42 failed=10 cards=0.00GB elapsed=0h20m ETA=14 days, 18:46:40
[heartbeat] processed=160/156,950 in_flight=64 done=108 skipped=42 failed=10 cards=0.00GB elapsed=0h20m ETA=15 days, 3:30:12
[heartbeat] processed=161/156,950 in_flight=64 done=108 skipped=42 failed=11 cards=0.00GB elapsed=0h21m ETA=15 days, 12:52:18
[heartbeat] processed=163/156,950 in_flight=64 done=108 skipped=42 failed=13 cards=0.00GB elapsed=0h21m ETA=15 days, 22:07:04
[heartbeat] processed=167/156,950 in_flight=64 done=108 skipped=42 failed=17 cards=0.00GB elapsed=0h22m ETA=16 days, 7:03:03
[heartbeat] processed=168/156,950 in_flight=64 done=108 skipped=42 failed=18 cards=0.00GB elapsed=0h22m ETA=16 days, 15:57:17
[heartbeat] processed=168/156,950 in_flight=64 done=108 skipped=42 failed=18 cards=0.00GB elapsed=0h23m ETA=17 days, 0:40:39
[heartbeat] processed=169/156,950 in_flight=64 done=109 skipped=42 failed=18 cards=0.00GB elapsed=0h24m ETA=17 days, 7:48:00
[heartbeat] processed=169/156,950 in_flight=64 done=109 skipped=42 failed=18 cards=0.00GB elapsed=0h24m ETA=17 days, 16:27:59
[heartbeat] processed=171/156,950 in_flight=64 done=110 skipped=42 failed=19 cards=0.00GB elapsed=0h25m ETA=17 days, 23:35:33
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h25m ETA=17 days, 21:08:17
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h26m ETA=18 days, 5:31:14
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h26m ETA=18 days, 13:54:46
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h27m ETA=18 days, 22:17:55
[heartbeat] processed=179/156,950 in_flight=64 done=116 skipped=42 failed=21 cards=0.00GB elapsed=0h27m ETA=19 days, 2:05:41
