audit,bin,n_total,n_rejected,rejection_rate,ci_low,ci_high
baseline_years,"(-0.001, 8.514]",47,46,0.9787234042553191,0.8888701895837066,0.996234231961403
baseline_years,"(13.513, 13.953]",47,2,0.0425531914893617,0.01174827596678936,0.14248527677899447
baseline_years,"(13.953, 13.96]",46,0,0.0,0.0,0.07707356308558039
baseline_years,"(13.96, 14.002]",46,2,0.043478260869565216,0.012005445598556624,0.1453225902621907
baseline_years,"(14.002, 14.528]",47,0,0.0,0.0,0.07555760416399632
baseline_years,"(8.514, 13.513]",46,22,0.4782608695652174,0.34124689434045685,0.6186258692719597
n_points,"(-0.001, 11.0]",49,49,1.0,0.9273021807795035,0.9999999999999999
n_points,"(11.0, 61.333]",44,22,0.5,0.35831760539989393,0.641682394600106
n_points,"(153.0, 191.333]",46,0,0.0,0.0,0.07707356308558039
n_points,"(191.333, 224.0]",47,0,0.0,0.0,0.07555760416399632
n_points,"(224.0, 1333.0]",46,0,0.0,0.0,0.07707356308558039
n_points,"(61.333, 153.0]",47,1,0.02127659574468085,0.0037657680385967812,0.11112981041629329
band_coverage,"W1,W2",241,34,0.14107883817427386,0.10274533661748408,0.19067498184788712
band_coverage,W1_only,7,7,1.0,0.6456695649333126,1.0
band_coverage,none,31,31,1.0,0.889744604539564,1.0
