source_id,canonical_id,score,status,n_points,baseline_days,band_coverage,baseline_years,delta_mag,delta_mag_method,rejection_reason,status_normalized,baseline_years_recomputed,baseline_years_diff,baseline_years_consistent,is_ok,source_id_normalized,source_id_matches_canonical,id_mismatch_reason,is_ambiguous_id,has_w1,has_w2,strict_quality,score_is_missing,score_is_finite,rejection_bucket
000000.57+055630.8,000000.57+055630.8,,TOO_FEW_POINTS,10,4749.163452740002,W1_only,13.00250089730322,,,Only 10 epochs (need 20),TOO_FEW_POINTS,13.002500897303221,1.7763568394002505e-15,True,False,000000.57+055630.8,True,,False,True,False,False,True,False,few_epochs
000000.66+145828.8,000000.66+145828.8,,TOO_FEW_POINTS,13,3814.820363760002,"W1,W2",10.444408935687887,,,Only 13 epochs (need 20),TOO_FEW_POINTS,10.444408935687889,1.7763568394002505e-15,True,False,000000.66+145828.8,True,,False,True,True,False,True,False,few_epochs
000001.08+295225.0,000001.08+295225.0,0.2522704720157607,OK,50,4910.913288780001,"W1,W2",13.44534781322382,0.2424060820972476,seasonal_median_flux,,OK,13.44534781322382,0.0,True,True,000001.08+295225.0,True,,False,True,True,True,False,True,ok
000002.46+214939.3,000002.46+214939.3,0.4302231414031255,OK,80,5116.362469489999,"W1,W2",14.007837014346336,0.2654913456433456,seasonal_median_flux,,OK,14.007837014346336,0.0,True,True,000002.46+214939.3,True,,False,True,True,True,False,True,ok
000003.87-024228.0,000003.87-024228.0,0.3046651908283149,OK,25,4911.546609999998,"W1,W2",13.447081752224497,0.0360501062564171,seasonal_median_flux,,OK,13.447081752224497,0.0,True,True,000003.87-024228.0,True,,False,True,True,False,False,True,ok
000005.39+212944.8,000005.39+212944.8,0.1962508543419905,OK,109,4911.1307564300005,"W1,W2",13.445943207200548,0.2091141256811405,seasonal_median_flux,,OK,13.445943207200548,0.0,True,True,000005.39+212944.8,True,,False,True,True,True,False,True,ok
000008.03-002727.4,000008.03-002727.4,0.2663189925259717,OK,26,4910.611698960005,"W1,W2",13.444522105297755,0.0,seasonal_median_flux,,OK,13.444522105297755,0.0,True,True,000008.03-002727.4,True,,False,True,True,False,False,True,ok
000012.59-014216.7,000012.59-014216.7,,TOO_FEW_POINTS,9,4017.5779121400046,"W1,W2",10.999528849117056,,,Only 9 epochs (need 20),TOO_FEW_POINTS,10.999528849117056,0.0,True,False,000012.59-014216.7,True,,False,True,True,False,True,False,few_epochs
000014.74+003203.2,000014.74+003203.2,0.2930501102918829,OK,118,5113.710011610005,"W1,W2",14.000574980451756,-0.0426495048148171,seasonal_median_flux,,OK,14.000574980451757,1.7763568394002505e-15,True,True,000014.74+003203.2,True,,False,True,True,True,False,True,ok
000015.56+194941.0,000015.56+194941.0,0.3426707092588864,OK,66,5116.257160070003,"W1,W2",14.007548692867909,0.2666557500231062,seasonal_median_flux,,OK,14.007548692867907,1.7763568394002505e-15,True,True,000015.56+194941.0,True,,False,True,True,True,False,True,ok
000017.38-085123.7,000017.38-085123.7,0.467672523538522,OK,165,5114.021345379995,"W1,W2",14.001427365858987,0.1569473357456506,seasonal_median_flux,,OK,14.001427365858987,0.0,True,True,000017.38-085123.7,True,,False,True,True,True,False,True,ok
000018.12+013637.1,000018.12+013637.1,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 4 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,000018.12+013637.1,True,,False,False,False,False,True,False,too_few_points_other
000020.66+312202.7,000020.66+312202.7,,TOO_FEW_POINTS,6,3105.354965040002,"W1,W2",8.501998535359348,,,Only 6 epochs (need 20),TOO_FEW_POINTS,8.501998535359348,0.0,True,False,000020.66+312202.7,True,,False,True,True,False,True,False,few_epochs
000022.17+255005.3,000022.17+255005.3,0.2508907956746108,OK,221,5116.74588776,"W1,W2",14.00888675635866,0.0463541912367102,seasonal_median_flux,,OK,14.00888675635866,0.0,True,True,000022.17+255005.3,True,,False,True,True,True,False,True,ok
000023.94+083348.0,000023.94+083348.0,0.2174630116144954,OK,188,5114.050639290006,"W1,W2",14.001507568213569,0.1442680007443827,seasonal_median_flux,,OK,14.001507568213569,0.0,True,True,000023.94+083348.0,True,,False,True,True,True,False,True,ok
000026.27+022140.8,000026.27+022140.8,0.1726426726901941,OK,102,4749.770215259996,"W1,W2",13.00416212254619,-0.0098892344575248,seasonal_median_flux,,OK,13.00416212254619,0.0,True,True,000026.27+022140.8,True,,False,True,True,True,False,True,ok
000026.31+242016.5,000026.31+242016.5,,TOO_FEW_POINTS,28,4385.46555719,"W1,W2",12.00675032769336,,,Only 3 post-gap epochs (need 5); NEOWISE-R data missing or insufficient,TOO_FEW_POINTS,12.00675032769336,0.0,True,False,000026.31+242016.5,True,,False,True,True,False,True,False,few_epochs
000026.47+021359.2,000026.47+021359.2,0.2676725366646053,OK,66,4911.69534785,"W1,W2",13.447488974264202,0.2274917118350082,seasonal_median_flux,,OK,13.447488974264202,0.0,True,True,000026.47+021359.2,True,,False,True,True,True,False,True,ok
000028.24+184005.3,000028.24+184005.3,0.2732367223635733,OK,134,5115.759904839993,"W1,W2",14.00618728224502,0.3708168779380644,seasonal_median_flux,,OK,14.006187282245019,1.7763568394002505e-15,True,True,000028.24+184005.3,True,,False,True,True,True,False,True,ok
000030.64-064100.0,000030.64-064100.0,0.1320530291414456,OK,193,5114.118378359999,"W1,W2",14.00169302767967,0.121273102267431,seasonal_median_flux,,OK,14.00169302767967,0.0,True,True,000030.64-064100.0,True,,False,True,True,True,False,True,ok
000031.97+002249.9,000031.97+002249.9,0.3369055932257842,OK,95,5113.710011610005,"W1,W2",14.000574980451756,0.1147577105348721,seasonal_median_flux,,OK,14.000574980451757,1.7763568394002505e-15,True,True,000031.97+002249.9,True,,False,True,True,True,False,True,ok
000033.71+102012.0,000033.71+102012.0,0.4347423754555139,OK,26,3285.9404943499976,"W1,W2",8.996414768925387,0.1671268992667368,seasonal_median_flux,,OK,8.996414768925387,0.0,True,True,000033.71+102012.0,True,,False,True,True,False,False,True,ok
000034.80+210108.1,000034.80+210108.1,0.2914584274973444,OK,230,5116.814009100002,"W1,W2",14.009073262423003,0.1878639137691417,seasonal_median_flux,,OK,14.009073262423005,1.7763568394002505e-15,True,True,000034.80+210108.1,True,,False,True,True,True,False,True,ok
000036.73+044503.3,000036.73+044503.3,0.273186250951443,OK,138,5113.9718151199995,"W1,W2",14.001291759397672,-0.0305887189980797,seasonal_median_flux,,OK,14.001291759397672,0.0,True,True,000036.73+044503.3,True,,False,True,True,True,False,True,ok
